18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2022.0.1 RV (1113)"
,CompMgr:,,"BEMCmpMgr 2022.0.1 RV (6107)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.865.0+dhwloop.68861ec.94 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2020-01-08 19:38:19"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz10\instance.cibd22"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.844508,1.34308,5.20058,0,5.367,3.94427,0,0,4.53713,19.049,0,0,0,0,0,49.3997,0,0,0,0,0,49.3997,49.3997,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,2,0,0,2.34954,0,0,1.06752,1.34308,5.20058,0,5.367,3.94427,0,0,4.76013,19.272,0,0,0,0,0,34.5766,0,0,0,0,0,34.5766,34.5766,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,3,0,0,2.34954,0,0,1.06751,1.34308,5.20058,0,5.367,3.94427,0,0,4.76013,19.272,0,0,0,0,0,54.0202,0,0,0,0,0,54.0202,54.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,4,0,0,2.39677,0,0,0.8428,1.34308,5.20058,0,5.367,3.94427,0,0,4.58265,19.0945,3.64343,0,0,0,0,184.782,0,0,0,0,0,188.425,188.425,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,5,0,0,2.58292,0,0,1.06408,1.34308,5.20058,0,5.367,3.94427,0,0,4.99007,19.5019,18.0025,0,0,0,0,208.082,0,0,0,0,0,226.084,226.084,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,6,0,0,3.24875,0,0,0.842805,1.34308,13.1446,0,13.311,3.94427,0,0,5.43463,35.8345,83.7934,0,0,0,0,348.269,0,0,0,0,0,432.063,432.063,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,7,0,0,9.04726,0,0,1.06755,1.34168,19.1026,0,19.269,3.94427,0,0,11.4565,53.7724,531.086,0,0,0,0,115.354,0,27.1049,0,0,0,646.44,673.545,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,8,3.9353e-005,0,7.23532,0,0.0276497,1.07814,1.32125,19.1026,0,19.269,3.94427,0,0,9.6624,51.9783,310.704,0,0,0,0,142.006,0,27.1049,0,0,0,452.711,479.816,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,9,0.0243326,0,9.11956,0,0.270742,1.31765,2.2577,20.1782,0,19.269,3.94427,0,0,12.99,56.3814,608.194,0,0,0,0,209.528,0,0,0,0,0,817.721,817.721,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
1,1,10,0.0157369,0,5.73584,0,0.0853339,1.3292,2.2409,20.1782,0,19.269,3.94427,0,0,9.407,52.7984,422.376,0,0,0,0,179.016,0,0,0,0,0,601.392,601.392,0,0,0,0,0,0,0,0,0,0,0,0,0,271.613,2716.13,2747.04,
