18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,""
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 17:49:24"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz11\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.3578,0,0,0.222202,1.34308,5.20058,0,5.367,0.984739,0,0,3.92308,15.4754,0,0,0,0,0,0.988706,0,0,0,0,0,0.988706,0.988706,0,0,0,0,0,0,0,0,0,0,0,0,0,24.83,2084.1,4194.5,
1,1,2,0,0,2.3578,0,0,0.444369,1.34308,5.20058,0,5.367,0.984739,0,0,4.14525,15.6976,0,0,0,0,0,0.988788,0,0,0,0,0,0.988788,0.988788,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,2084.1,4194.5,
1,1,3,0,0,2.36006,0,0,0.444322,1.34308,5.20058,0,5.367,0.984739,0,0,4.14746,15.6998,0.175953,0,0,0,0,1.23589,0,0,0,0,0,1.76375,1.76375,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,2084.1,4194.5,
1,1,4,0,0,2.37968,0,0,0.440614,1.34308,5.20058,0,5.367,0.984739,0,0,4.16337,15.7157,1.8088,0,0,0,0,0.983618,0,0,0,0,0,6.41,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,2084.1,4194.5,
1,1,5,0,0,2.40669,0,0,0.220295,1.34308,5.20058,0,5.367,0.984739,0,0,3.97006,15.5224,4.08267,0,0,0,0,0.983853,0,0,0,0,0,13.2319,13.2319,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69,2084.1,4194.5,
1,1,6,0.00196731,0,3.39647,0,0.00886543,0.440673,1.34308,13.1446,0,13.311,0.984739,0,0,5.19106,32.6314,39.5142,0,0,0,0,1.23783,0,0,0,0,0,119.78,119.78,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93,2084.1,4194.5,
1,1,7,0.00204537,0,9.40016,0,0.00880505,0.444313,1.34308,19.1026,0,19.269,0.984739,0,0,11.1984,50.5547,453.178,0,0,0,0,0.988785,0,27.1049,0,0,0,1360.52,1387.63,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,8,0.00206416,0,7.07019,0,0.00879509,0.611846,1.34062,19.1026,0,19.269,0.984739,0,0,9.03352,48.3898,292.703,0,0,0,0,1.25483,0,27.1049,0,0,0,879.365,906.47,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,9,0.0254058,0,9.03196,0,0.285359,0.69291,2.27792,20.1782,0,19.269,0.984739,0,0,12.3136,52.7455,576.329,0,0,0,0,1.2678,0,0,0,0,0,1730.25,1730.25,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,2084.1,4194.5,
1,1,10,0.0169476,0,6.0989,0,0.0491183,0.785566,2.18291,20.1782,0,19.269,0.984739,0,0,9.13344,49.5653,397.828,0,0,0,0,1.2811,0,0,0,0,0,1194.77,1194.77,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,2084.1,4194.5,
