18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2022.0.1 RV (1113)"
,CompMgr:,,"BEMCmpMgr 2022.0.1 RV (6107)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,""
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2020-01-08 19:43:38"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz11\instance.cibd22"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.35049,0,0,0.223931,1.34308,5.20058,0,5.367,3.94427,0,0,3.9175,18.4293,0.0731458,0,0,0,0,0.988927,0,0,0,0,0,1.06207,1.06207,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,2,0,0,2.38899,0,0,0.447808,1.34308,5.20058,0,5.367,3.94427,0,0,4.17988,18.6917,3.04344,0,0,0,0,0.988793,0,0,0,0,0,4.03223,4.03223,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,3,0,0,2.44594,0,0,0.447722,1.34308,5.20058,0,5.367,3.94427,0,0,4.23674,18.7486,7.43596,0,0,0,0,1.23589,0,0,0,0,0,8.67185,8.67185,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,4,0,0,2.52769,0,0,0.444055,1.34308,5.20058,0,5.367,3.94427,0,0,4.31482,18.8267,13.7421,0,0,0,0,0.983617,0,0,0,0,0,14.7257,14.7257,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,5,0,0,2.61496,0,0,0.222042,1.34308,5.20058,0,5.367,3.94427,0,0,4.18008,18.6919,20.4743,0,0,0,0,0.983853,0,0,0,0,0,21.4582,21.4582,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,6,1.37449e-005,0,3.56381,0,0.0138257,0.444076,1.34308,13.1446,0,13.311,3.94427,0,0,5.3648,35.7647,70.2037,0,0,0,0,1.23785,0,0,0,0,0,71.4415,71.4415,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,7,0.000102348,0,9.91262,0,0.0262483,0.352561,1.34308,19.1026,0,19.269,3.94427,0,0,11.6346,53.9505,514.639,0,0,0,0,0.988809,0,27.1049,0,0,0,515.628,542.733,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,8,0.000122465,0,6.97211,0,0.0276258,0.557066,1.33748,19.1026,0,19.269,3.94427,0,0,8.89441,51.2103,291.793,0,0,0,0,1.25483,0,27.1049,0,0,0,293.048,320.153,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,9,0.0207857,0,8.52045,0,0.226407,0.70117,2.21635,20.1782,0,19.269,3.94427,0,0,11.6852,55.0766,543.06,0,0,0,0,1.26782,0,0,0,0,0,544.328,544.328,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,10,0.0146398,0,5.59113,0,0.077882,0.713554,2.17748,20.1782,0,19.269,3.94427,0,0,8.57469,51.9661,395.957,0,0,0,0,1.28126,0,0,0,0,0,397.238,397.238,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,11,0.00915378,0,5.45453,0,0.0591803,1.64824,7.77637,20.6736,0,13.311,3.94427,0,0,14.9475,52.8763,298.341,0,0,0,0,2.07322,0,0,0,0,0,300.414,300.414,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,12,0.00679693,0,5.1238,0,0.0564718,1.83994,7.84633,20.6736,0,13.311,3.94427,0,0,14.8733,52.8022,227.091,0,0,0,0,2.13067,0,10.842,0,0,0,229.222,240.064,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,13,0.00300876,0,4.8347,0,0.0550807,1.95436,10.5878,24.9759,0,13.311,3.94427,0,0,17.4349,59.6661,131.114,0,0,0,0,2.32673,0,10.842,0,0,0,133.44,144.282,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,14,0.00291543,0,4.75059,0,0.0550598,2.02643,10.6068,24.9759,0,13.311,3.94427,0,0,17.4417,59.6729,123.545,0,0,0,0,2.34479,0,0,0,0,0,125.89,125.89,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,15,0.00306829,0.00279782,4.734,0,0.055075,2.02795,10.7912,24.9759,0,13.311,3.94427,0,0,17.6141,59.8453,125.61,0,0,0,0,2.24011,0,0,0,0,0,127.85,127.85,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,16,0.003714,0.0893705,4.78677,0,0.0551754,2.04999,10.6204,24.9759,0,13.311,3.94427,0,0,17.6054,59.8366,140.898,0,0,0,0,2.0734,0,0,0,0,0,142.971,142.971,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,17,0.00532072,0.0171517,4.87785,0,0.0557917,2.096,11.3147,24.9759,0,13.311,3.94427,0,0,18.3669,60.598,180.206,0,0,0,0,2.32942,0,27.1049,0,0,0,182.535,209.64,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,18,0.00827123,0,5.1506,0,0.0582998,1.73807,8.53542,20.6736,0,13.311,3.94427,0,0,15.4907,53.4195,258.908,0,0,0,0,2.28819,0,27.1049,0,0,0,261.196,288.301,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,19,0.0117819,0,4.3608,0,0.0639965,1.58313,4.42551,28.2873,0,25.227,3.94427,0,0,10.4452,67.9038,244.681,0,0,0,0,1.8147,0,27.1049,0,0,0,246.496,273.601,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,20,0,0,2.48383,0,0,1.43292,1.34308,33.0046,0,33.171,3.94427,0,0,5.25982,75.3797,10.3589,0,0,0,0,1.8076,0,0,0,0,0,12.1665,12.1665,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,21,0,0,2.46255,0,0,1.18616,1.34308,36.9766,0,37.143,3.94427,0,0,4.99179,83.0557,8.71737,0,0,0,0,1.79353,0,0,0,0,0,10.5109,10.5109,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,22,0,0,2.6691,0,0,0.968915,1.34308,33.0046,0,33.171,3.94427,0,0,4.98109,75.101,24.6504,0,0,0,0,1.36505,0,0,0,0,0,26.0154,26.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,23,0,0,2.34954,0,0,0.459379,1.34308,25.0606,0,25.227,3.94427,0,0,4.152,58.3839,0,0,0,0,0,1.19551,0,0,0,0,0,1.19551,1.19551,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,1,24,0,0,2.34954,0,0,0.444133,1.34308,13.1446,0,13.311,3.94427,0,0,4.13675,34.5366,0,0,0,0,0,1.21546,0,0,0,0,0,1.21546,1.21546,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,1,0,0,2.36223,0,0,0.218424,1.34308,5.20058,0,5.367,3.94427,0,0,3.92373,18.4356,0.978859,0,0,0,0,0.99053,0,0,0,0,0,1.96939,1.96939,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,2,0,0,2.47584,0,0,0.220234,1.34308,5.20058,0,5.367,3.94427,0,0,4.03915,18.551,9.74237,0,0,0,0,0.980656,0,0,0,0,0,10.723,10.723,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,3,0,0,2.78732,0,0,0.440467,1.34308,5.20058,0,5.367,3.94427,0,0,4.57087,19.0827,33.7701,0,0,0,0,0.980821,0,0,0,0,0,34.7509,34.7509,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,4,0,0,3.03688,0,0,0.218403,1.34308,5.20058,0,5.367,3.94427,0,0,4.59836,19.1102,53.021,0,0,0,0,0.976062,0,0,0,0,0,53.997,53.997,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,5,0,0,3.11081,0,0,0.218418,1.34308,5.20058,0,5.367,3.94427,0,0,4.6723,19.1842,58.7234,0,0,0,0,0.976092,0,0,0,0,0,59.6995,59.6995,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,6,0,0,3.41977,0,0,0.218375,1.65868,13.2976,0,13.311,3.94427,0,0,5.29682,35.8497,96.986,0,0,0,0,0.98257,0,0,0,0,0,97.9686,97.9686,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,7,0.0236292,0,14.0042,0,0.250787,0.218393,1.65868,19.2556,0,20.664,3.94427,0,0,16.1557,60.0195,1026.89,0,0,0,0,0.980643,0,27.1049,0,0,0,1027.88,1054.98,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,8,0.0174091,0,8.81864,0,0.0894515,0.960356,5.97539,23.0943,0,20.664,3.94427,0,0,15.8612,63.5638,685.3,0,0,0,0,1.86695,0,27.3752,0,0,0,687.167,714.542,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,9,0.0126913,0,7.50034,0,0.0677821,1.29464,13.6444,31.3838,0,20.664,3.94427,0,0,22.5198,78.5119,515.273,0,0,0,0,2.24128,0,0.27023,0,0,0,517.514,517.785,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,10,0.00947573,0,6.86944,0,0.061993,1.70278,20.191,39.9884,0,20.664,3.94427,0,0,28.8347,93.4313,413.375,0,0,0,0,2.55854,0,0.27023,0,0,0,415.933,416.204,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,11,0.00902481,0,7.16218,0,0.0611386,2.45135,20.6928,34.0304,0,14.706,3.94427,0,0,30.3765,83.0571,425.928,0,0,0,0,3.28638,0,0.486415,0,0,0,429.214,429.701,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,12,0.00838747,0,7.11458,0,0.0597311,3.17093,21.0079,34.0304,0,14.706,3.94427,0,0,31.3615,84.0421,405.052,0,0,0,0,3.77873,0,11.3284,0,0,0,408.831,420.16,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,13,0.00758587,0,6.71854,0,0.0582854,3.45429,20.5166,34.0304,0,14.706,3.94427,0,0,30.7553,83.4359,357.823,0,0,0,0,4.23127,0,11.3284,0,0,0,362.055,373.383,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,14,0.00670335,0,6.18459,0,0.0571307,3.59054,20.0257,34.0304,0,14.706,3.94427,0,0,29.8647,82.5453,296.816,0,0,0,0,4.23875,0,0.486415,0,0,0,301.055,301.542,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,15,0.00592318,0,5.71127,0,0.056329,2.80866,19.9835,34.0304,0,14.706,3.94427,0,0,28.5657,81.2463,239.632,0,0,0,0,3.38417,0,0.405346,0,0,0,243.016,243.422,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,16,0.00523346,0,5.74689,0,0.0558173,2.51486,20.0432,34.0304,0,14.706,3.94427,0,0,28.366,81.0466,215.409,0,0,0,0,3.04189,0,0.405346,0,0,0,218.45,218.856,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,17,0.00533985,0,5.76866,0,0.0558441,2.50202,21.3947,34.0304,0,14.706,3.94427,0,0,29.7266,82.4072,217.93,0,0,0,0,3.452,0,27.5103,0,0,0,221.382,248.892,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,18,0.00570763,0,5.86398,0,0.0561043,2.65699,19.6763,32.8064,0,14.706,3.94427,0,0,28.2591,79.7157,243.977,0,0,0,0,2.96394,0,27.5103,0,0,0,246.941,274.451,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,19,0.00862037,0,5.33383,0,0.0600298,2.53995,13.1959,37.6569,0,26.622,3.94427,0,0,21.1383,89.3615,274.905,0,0,0,0,2.82787,0,27.1049,0,0,0,277.733,304.838,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,20,0.00922763,0,4.99009,0,0.0618605,1.75341,13.1959,45.6009,0,34.566,3.94427,0,0,20.0104,104.122,263.305,0,0,0,0,2.35455,0,0,0,0,0,265.659,265.659,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,21,0.0102141,0,4.96373,0,0.0648626,1.9921,11.5372,47.1158,0,38.538,3.94427,0,0,18.5681,108.166,280.513,0,0,0,0,2.38493,0,0,0,0,0,282.898,282.898,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,22,0,0,3.78496,0,0,1.29369,5.37231,36.6903,0,34.566,3.94427,0,0,10.451,85.6516,125.157,0,0,0,0,1.87032,0,0,0,0,0,127.027,127.027,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
1,2,23,0,0,2.91403,0,0,0.707417,1.65868,25.2136,0,25.227,3.94427,0,0,5.28012,59.665,57.9737,0,0,0,0,1.27746,0,0,0,0,0,59.2511,59.2511,0,0,0,0,0,0,0,0,0,0,0,0,0,274.704,2747.04,5404.06,
