18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 18:46:20"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-case2\cz12\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.845636,1.34308,5.20058,0,5.367,3.94427,0,0,4.53825,19.0501,0,0,0,0,0,56.2983,0,0,0,0,0,56.2983,56.2983,0,0,0,0,0,0,0,0,0,0,0,0,0,24.83,2084.1,4194.5,
1,1,2,0,0,2.34954,0,0,1.06955,1.34308,5.20058,0,5.367,3.94427,0,0,4.76217,19.274,0,0,0,0,0,39.0823,0,0,0,0,0,39.0823,39.0823,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,2084.1,4194.5,
1,1,3,0,0,2.34954,0,0,1.06947,1.34308,5.20058,0,5.367,3.94427,0,0,4.76209,19.2739,0,0,0,0,0,60.1578,0,0,0,0,0,60.1578,60.1578,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,2084.1,4194.5,
1,1,4,1.46577e-005,0,2.82741,0,0.0138259,1.06583,1.34308,5.20058,0,5.367,3.94427,0,0,5.25015,19.762,0.279346,0,0,0,0,201.739,0,0,0,0,0,202.577,202.577,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,2084.1,4194.5,
1,1,5,4.04687e-005,0,2.87719,0,0.0138191,0.843745,1.34308,5.20058,0,5.367,3.94427,0,0,5.07788,19.5897,0.7941,0,0,0,0,227.132,0,0,0,0,0,229.514,229.514,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,2084.1,4194.5,
1,1,6,2.97185,0,4.21212,0,0.0345338,1.06584,1.34308,13.1446,0,13.311,3.94427,0,0,9.62742,40.0273,3.08905,0,0,0,0,387.556,0,0,0,0,0,396.823,396.823,0,0,0,0,0,0,0,0,0,0,0,0,0,24.94,2084.1,4194.5,
1,1,7,3.08824,0,7.28774,0,0.0365929,1.06949,1.34308,19.1026,0,19.269,3.94427,0,0,12.8251,55.141,234.25,0,0,0,0,128.297,0,27.1049,0,0,0,831.047,858.152,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,8,3.12854,0,5.59154,0,0.0276011,1.08118,1.34241,19.1026,0,19.269,3.94427,0,0,11.1713,53.4871,130.198,0,0,0,0,159.557,0,27.1049,0,0,0,550.151,577.256,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,9,3.14797,0,8.52082,0,0.275324,1.32304,2.36174,20.1782,0,19.269,3.94427,0,0,15.6289,59.0203,469.234,0,0,0,0,236.192,0,0,0,0,0,1643.89,1643.89,0,0,0,0,0,0,0,0,0,0,0,0,0,24.87,2084.1,4194.5,
1,1,10,3.16474,0,5.97582,0,0.091485,1.33537,2.35064,20.1782,0,19.269,3.94427,0,0,12.918,56.3095,388.338,0,0,0,0,200.602,0,0,0,0,0,1365.62,1365.62,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,2084.1,4194.5,
