18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2022.0.1 RV (1113)"
,CompMgr:,,"BEMCmpMgr 2022.0.1 RV (6107)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.865.0+dhwloop.68861ec.94 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2020-01-14 18:53:02"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac_autosizing\runs\mumr-baseline\cz04\instance.cibd22"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.84562,0,0,0.845265,1.34308,5.20058,0,5.367,3.94427,0,0,5.03396,19.5458,0,0,0,0,0,51.6191,0,0,0,0,0,51.6191,51.6191,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1803,281.616,281.701,
1,1,2,0,0,2.84562,0,0,1.06896,1.34308,5.20058,0,5.367,3.94427,0,0,5.25765,19.7695,0,0,0,0,0,35.5752,0,0,0,0,0,35.5752,35.5752,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1637,281.55,281.634,
1,1,3,0,0,2.84562,0,0,1.06896,1.34308,5.20058,0,5.367,3.94427,0,0,5.25766,19.7695,0,0,0,0,0,55.9785,0,0,0,0,0,55.9785,55.9785,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9991,280.431,280.516,
1,1,4,0,0,2.8471,0,0,0.843399,1.34308,5.20058,0,5.367,3.94427,0,0,5.03357,19.5454,0.111929,0,0,0,0,192.58,0,0,0,0,0,192.692,192.692,0,0,0,0,0,0,0,0,0,0,0,0,0,27.867,278.614,278.698,
1,1,5,0,0,2.85197,0,0,1.0653,1.34308,5.20058,0,5.367,3.94427,0,0,5.26035,19.7722,0.479941,0,0,0,0,217.076,0,0,0,0,0,217.556,217.556,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9536,280.955,281.04,
1,1,6,0,0,3.41011,0,0,1.06531,1.34308,13.1446,0,13.311,3.94427,0,0,5.8185,36.2184,56.5799,0,0,0,0,367.815,0,0,0,0,0,424.395,424.395,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1756,281.655,281.74,
1,1,7,0,0,6.29421,0,0,0.845272,1.34308,19.1026,0,19.269,3.94427,0,0,8.48256,50.7984,296.755,0,0,0,0,120.679,0,27.1049,0,0,0,417.434,444.539,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1916,281.727,281.812,
1,1,8,1.12939e-005,0,5.30779,0,0.00691192,1.30972,1.34293,19.1026,0,19.269,3.94427,0,0,7.96738,50.2832,175.224,0,0,0,0,149.804,0,27.1049,0,0,0,325.028,352.133,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1821,281.737,281.821,
1,1,9,0.0189303,0,8.09858,0,0.199462,1.32166,2.36803,20.1782,0,19.269,3.94427,0,0,12.0067,55.3981,463.079,0,0,0,0,221.946,0,0,0,0,0,685.025,685.025,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8338,281.718,281.803,
1,1,10,0.0126951,0,6.04932,0,0.0729649,1.33396,2.36243,20.1782,0,19.269,3.94427,0,0,9.83137,53.2228,367.203,0,0,0,0,188.763,0,0,0,0,0,555.966,555.966,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5905,280.183,280.267,
