Time,BASESYS5 F1:DesPer 1:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Heat Cap [W],BASESYS5 F1:DesPer 1:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 1:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 2:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Heat Cap [W],BASESYS5 F1:DesPer 2:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 2:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 3:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Heat Cap [W],BASESYS5 F1:DesPer 3:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 3:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 4:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Heat Cap [W],BASESYS5 F1:DesPer 4:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 4:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 5:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Heat Cap [W],BASESYS5 F1:DesPer 5:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 5:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 6:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Heat Cap [W],BASESYS5 F1:DesPer 6:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 6:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 7:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Heat Cap [W],BASESYS5 F1:DesPer 7:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 7:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 8:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Heat Cap [W],BASESYS5 F1:DesPer 8:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 8:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 9:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Heat Cap [W],BASESYS5 F1:DesPer 9:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 9:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS1:DesPer 4:Des Heat Cap [W],DOAS1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS1:DesPer 4:Des Sens Cool Cap [W],DOAS1:DesPer 4:Des Tot Cool Cap [W],DOAS1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS1:DesPer 5:Des Heat Cap [W],DOAS1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS1:DesPer 5:Des Sens Cool Cap [W],DOAS1:DesPer 5:Des Tot Cool Cap [W],DOAS1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS1:DesPer 6:Des Heat Cap [W],DOAS1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS1:DesPer 6:Des Sens Cool Cap [W],DOAS1:DesPer 6:Des Tot Cool Cap [W],DOAS1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS1:DesPer 7:Des Heat Cap [W],DOAS1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS1:DesPer 7:Des Sens Cool Cap [W],DOAS1:DesPer 7:Des Tot Cool Cap [W],DOAS1:DesPer 8:Des Heat Mass Flow [kg/s],DOAS1:DesPer 8:Des Heat Cap [W],DOAS1:DesPer 8:Des Cool Mass Flow [kg/s],DOAS1:DesPer 8:Des Sens Cool Cap [W],DOAS1:DesPer 8:Des Tot Cool Cap [W],DOAS1:DesPer 9:Des Heat Mass Flow [kg/s],DOAS1:DesPer 9:Des Heat Cap [W],DOAS1:DesPer 9:Des Cool Mass Flow [kg/s],DOAS1:DesPer 9:Des Sens Cool Cap [W],DOAS1:DesPer 9:Des Tot Cool Cap [W]
00:15:00,3.371072E+00,0.000000E+00,4.353617E+00,6.163579E+04,5.004557E+04,3.371072E+00,0.000000E+00,3.659892E+00,1.850454E+04,5.074699E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.488412E+00,6.931212E+04,9.022648E+04,3.371072E+00,0.000000E+00,4.373214E+00,6.179591E+04,8.299330E+04,3.371072E+00,0.000000E+00,4.359070E+00,5.901295E+04,8.012630E+04,3.371072E+00,0.000000E+00,4.470187E+00,8.419311E+04,6.104226E+04,3.371072E+00,0.000000E+00,4.166007E+00,4.886650E+04,3.236364E+04,3.371072E+00,0.000000E+00,4.538036E+00,7.256673E+04,7.830075E+04,9.125014E-01,8.145133E+03,1.127083E+00,1.467404E+04,1.091808E+04,9.125014E-01,1.667263E+04,1.006154E+00,4.765716E+03,1.329758E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,6.678037E+03,1.151217E+00,1.641682E+04,2.138142E+04,9.125014E-01,8.190521E+03,1.130932E+00,1.467259E+04,1.974721E+04,9.125014E-01,8.879598E+03,1.124158E+00,1.390611E+04,1.894888E+04,9.125014E-01,2.567418E+03,1.169946E+00,2.074195E+04,1.388510E+04,9.125014E-01,1.075106E+04,1.099300E+00,1.174635E+04,6.741473E+03,9.125014E-01,6.021970E+03,1.155681E+00,1.712391E+04,1.796044E+04
00:30:00,3.371072E+00,0.000000E+00,4.413959E+00,6.214925E+04,5.070035E+04,3.371072E+00,0.000000E+00,3.716500E+00,1.895586E+04,5.055443E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.548742E+00,6.982565E+04,9.086188E+04,3.371072E+00,0.000000E+00,4.433262E+00,6.231987E+04,8.365884E+04,3.371072E+00,0.000000E+00,4.419116E+00,5.949162E+04,8.074912E+04,3.371072E+00,0.000000E+00,4.535151E+00,8.528216E+04,6.227477E+04,3.371072E+00,0.000000E+00,4.226742E+00,4.912363E+04,3.282962E+04,3.371072E+00,0.000000E+00,4.598562E+00,7.304802E+04,7.889188E+04,9.125014E-01,8.279922E+03,9.125014E-01,1.209641E+04,7.681245E+03,9.125014E-01,1.680742E+04,9.125014E-01,3.568914E+03,1.151137E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,6.812826E+03,9.125014E-01,1.356351E+04,1.779557E+04,9.125014E-01,8.321184E+03,9.125014E-01,1.205515E+04,1.644882E+04,9.125014E-01,9.022640E+03,9.125014E-01,1.135369E+04,1.573401E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.095737E+04,9.125014E-01,9.418959E+03,3.842937E+03,9.125014E-01,6.166387E+03,9.125014E-01,1.420994E+04,1.430553E+04
00:45:00,3.371072E+00,0.000000E+00,4.465970E+00,6.252324E+04,5.123396E+04,3.371072E+00,0.000000E+00,3.766702E+00,1.930081E+04,5.021909E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.599433E+00,7.017782E+04,9.135651E+04,3.371072E+00,0.000000E+00,4.485010E+00,6.270475E+04,8.420471E+04,3.371072E+00,0.000000E+00,4.470839E+00,5.983033E+04,8.124999E+04,3.371072E+00,0.000000E+00,4.590520E+00,8.621056E+04,6.336720E+04,3.371072E+00,0.000000E+00,4.278417E+00,4.922710E+04,3.310840E+04,3.371072E+00,0.000000E+00,4.649381E+00,7.336679E+04,7.934569E+04,9.125014E-01,8.414712E+03,9.125014E-01,1.196162E+04,7.544844E+03,9.125014E-01,1.694221E+04,9.125014E-01,3.434125E+03,1.111263E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,6.947616E+03,9.125014E-01,1.342872E+04,1.765823E+04,9.125014E-01,8.451848E+03,9.125014E-01,1.192448E+04,1.631567E+04,9.125014E-01,9.165681E+03,9.125014E-01,1.121065E+04,1.558825E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.116368E+04,9.125014E-01,9.212649E+03,3.634336E+03,9.125014E-01,6.310805E+03,9.125014E-01,1.406553E+04,1.415886E+04
01:00:00,3.371072E+00,0.000000E+00,4.509986E+00,6.276331E+04,5.160729E+04,3.371072E+00,0.000000E+00,3.811701E+00,1.955910E+04,4.976660E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.642335E+00,7.039937E+04,9.169746E+04,3.371072E+00,0.000000E+00,4.528733E+00,6.295519E+04,8.458912E+04,3.371072E+00,0.000000E+00,4.514559E+00,6.003498E+04,8.158929E+04,3.371072E+00,0.000000E+00,4.638088E+00,8.700817E+04,6.430599E+04,3.371072E+00,0.000000E+00,4.323385E+00,4.921863E+04,3.324081E+04,3.371072E+00,0.000000E+00,4.692365E+00,7.355418E+04,7.964660E+04,9.125014E-01,8.549501E+03,9.125014E-01,1.182683E+04,7.408428E+03,9.125014E-01,1.707700E+04,9.125014E-01,3.299336E+03,1.071618E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.082405E+03,9.125014E-01,1.329393E+04,1.752089E+04,9.125014E-01,8.582511E+03,9.125014E-01,1.179382E+04,1.618253E+04,9.125014E-01,9.308723E+03,9.125014E-01,1.106761E+04,1.544248E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.136999E+04,9.125014E-01,9.006339E+03,3.425720E+03,9.125014E-01,6.455222E+03,9.125014E-01,1.392111E+04,1.401218E+04
01:15:00,3.371072E+00,0.000000E+00,4.555721E+00,6.319688E+04,5.212856E+04,3.371072E+00,0.000000E+00,3.854157E+00,1.994032E+04,4.972032E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.687966E+00,7.083116E+04,9.220526E+04,3.371072E+00,0.000000E+00,4.574435E+00,6.339836E+04,8.512105E+04,3.371072E+00,0.000000E+00,4.560007E+00,6.044341E+04,8.208678E+04,3.371072E+00,0.000000E+00,4.686563E+00,8.781958E+04,6.520277E+04,3.371072E+00,0.000000E+00,4.367965E+00,4.945689E+04,3.356423E+04,3.371072E+00,0.000000E+00,4.738004E+00,7.396239E+04,8.012194E+04,9.125014E-01,8.639361E+03,9.125014E-01,1.173697E+04,7.317479E+03,9.125014E-01,1.716686E+04,9.125014E-01,3.209476E+03,1.045313E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.172265E+03,9.125014E-01,1.320407E+04,1.742934E+04,9.125014E-01,8.669620E+03,9.125014E-01,1.170671E+04,1.609376E+04,9.125014E-01,9.404085E+03,9.125014E-01,1.097225E+04,1.534529E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.150753E+04,9.125014E-01,8.868798E+03,3.286654E+03,9.125014E-01,6.551500E+03,9.125014E-01,1.382483E+04,1.391441E+04
01:30:00,3.371072E+00,0.000000E+00,4.595225E+00,6.352579E+04,5.248097E+04,3.371072E+00,0.000000E+00,3.892088E+00,2.024538E+04,4.954955E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.727303E+00,7.115720E+04,9.254242E+04,3.371072E+00,0.000000E+00,4.613877E+00,6.373636E+04,8.548154E+04,3.371072E+00,0.000000E+00,4.599201E+00,6.074678E+04,8.241288E+04,3.371072E+00,0.000000E+00,4.728676E+00,8.852409E+04,6.592710E+04,3.371072E+00,0.000000E+00,4.406684E+00,4.959662E+04,3.372931E+04,3.371072E+00,0.000000E+00,4.777316E+00,7.426428E+04,8.042593E+04,9.125014E-01,8.729220E+03,9.125014E-01,1.164711E+04,7.226545E+03,9.125014E-01,1.725672E+04,9.125014E-01,3.119616E+03,1.019109E+04,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.262125E+03,9.125014E-01,1.311421E+04,1.733778E+04,9.125014E-01,8.756728E+03,9.125014E-01,1.161960E+04,1.600499E+04,9.125014E-01,9.499446E+03,9.125014E-01,1.087689E+04,1.524813E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.164507E+04,9.125014E-01,8.731258E+03,3.147572E+03,9.125014E-01,6.647778E+03,9.125014E-01,1.372855E+04,1.381663E+04
01:45:00,3.371072E+00,0.000000E+00,4.630507E+00,6.378418E+04,5.277484E+04,3.371072E+00,0.000000E+00,3.927907E+00,2.051473E+04,4.934031E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.762400E+00,7.141243E+04,9.282434E+04,3.371072E+00,0.000000E+00,4.649120E+00,6.400423E+04,8.578451E+04,3.371072E+00,0.000000E+00,4.634203E+00,6.098013E+04,8.268115E+04,3.371072E+00,0.000000E+00,4.766420E+00,8.915564E+04,6.659427E+04,3.371072E+00,0.000000E+00,4.441184E+00,4.966582E+04,3.383859E+04,3.371072E+00,0.000000E+00,4.812343E+00,7.449463E+04,8.067612E+04,9.125014E-01,8.819080E+03,9.125014E-01,1.155725E+04,7.135596E+03,9.125014E-01,1.734657E+04,9.125014E-01,3.029757E+03,9.930037E+03,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.351984E+03,9.125014E-01,1.302435E+04,1.724623E+04,9.125014E-01,8.843837E+03,9.125014E-01,1.153249E+04,1.591622E+04,9.125014E-01,9.594807E+03,9.125014E-01,1.078152E+04,1.515094E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.178261E+04,9.125014E-01,8.593718E+03,3.008504E+03,9.125014E-01,6.744056E+03,9.125014E-01,1.363228E+04,1.371884E+04
02:00:00,3.371072E+00,0.000000E+00,4.660825E+00,6.395905E+04,5.298651E+04,3.371072E+00,0.000000E+00,3.959136E+00,2.070641E+04,4.903426E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.792485E+00,7.158329E+04,9.302544E+04,3.371072E+00,0.000000E+00,4.679362E+00,6.418795E+04,8.600448E+04,3.371072E+00,0.000000E+00,4.664212E+00,6.112945E+04,8.286615E+04,3.371072E+00,0.000000E+00,4.799095E+00,8.970190E+04,6.718052E+04,3.371072E+00,0.000000E+00,4.470789E+00,4.965272E+04,3.386720E+04,3.371072E+00,0.000000E+00,4.842349E+00,7.464045E+04,8.084743E+04,9.125014E-01,8.908940E+03,9.125014E-01,1.146739E+04,7.044662E+03,9.125014E-01,1.743643E+04,9.125014E-01,2.939897E+03,9.669978E+03,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.441844E+03,9.125014E-01,1.293449E+04,1.715466E+04,9.125014E-01,8.930946E+03,9.125014E-01,1.144539E+04,1.582745E+04,9.125014E-01,9.690168E+03,9.125014E-01,1.068616E+04,1.505376E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.192015E+04,9.125014E-01,8.456178E+03,2.869423E+03,9.125014E-01,6.840334E+03,9.125014E-01,1.353600E+04,1.362106E+04
02:15:00,3.371072E+00,0.000000E+00,4.687821E+00,6.416133E+04,5.320341E+04,3.371072E+00,0.000000E+00,3.987378E+00,2.093014E+04,4.889021E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.819233E+00,7.178136E+04,9.323309E+04,3.371072E+00,0.000000E+00,4.706296E+00,6.439677E+04,8.622696E+04,3.371072E+00,0.000000E+00,4.690917E+00,6.131159E+04,8.306133E+04,3.371072E+00,0.000000E+00,4.828378E+00,9.019140E+04,6.768740E+04,3.371072E+00,0.000000E+00,4.497121E+00,4.971188E+04,3.394562E+04,3.371072E+00,0.000000E+00,4.868999E+00,7.481907E+04,8.103154E+04,9.125014E-01,8.976334E+03,9.125014E-01,1.140000E+04,6.976454E+03,9.125014E-01,1.750383E+04,9.125014E-01,2.872502E+03,9.475580E+03,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.509238E+03,9.125014E-01,1.286709E+04,1.708599E+04,9.125014E-01,8.996278E+03,9.125014E-01,1.138005E+04,1.576087E+04,9.125014E-01,9.761689E+03,9.125014E-01,1.061464E+04,1.498088E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.202331E+04,9.125014E-01,8.353022E+03,2.765129E+03,9.125014E-01,6.912543E+03,9.125014E-01,1.346379E+04,1.354773E+04
02:30:00,3.371072E+00,0.000000E+00,4.711689E+00,6.431121E+04,5.336747E+04,3.371072E+00,0.000000E+00,4.012645E+00,2.110375E+04,4.868165E+04,3.371072E+00,3.914388E+04,3.371072E+00,0.000000E+00,0.000000E+00,3.371072E+00,0.000000E+00,4.842848E+00,7.192690E+04,9.338930E+04,3.371072E+00,0.000000E+00,4.730105E+00,6.455324E+04,8.639660E+04,3.371072E+00,0.000000E+00,4.714503E+00,6.144146E+04,8.320341E+04,3.371072E+00,0.000000E+00,4.857049E+00,9.067060E+04,6.819641E+04,3.371072E+00,0.000000E+00,4.520345E+00,4.971896E+04,3.396998E+04,3.371072E+00,0.000000E+00,4.897124E+00,7.502234E+04,8.126317E+04,9.125014E-01,9.043729E+03,9.125014E-01,1.133260E+04,6.908247E+03,9.125014E-01,1.757122E+04,9.125014E-01,2.805108E+03,9.281736E+03,9.125014E-01,2.842498E+04,9.125014E-01,0.000000E+00,0.000000E+00,9.125014E-01,7.576633E+03,9.125014E-01,1.279970E+04,1.701734E+04,9.125014E-01,9.061609E+03,9.125014E-01,1.131472E+04,1.569430E+04,9.125014E-01,9.833210E+03,9.125014E-01,1.054312E+04,1.490799E+04,9.125014E-01,2.567418E+03,9.125014E-01,1.780891E+04,1.017565E+04,9.125014E-01,1.212646E+04,9.125014E-01,8.249867E+03,2.660822E+03,9.125014E-01,6.984752E+03,9.125014E-01,1.339158E+04,1.347439E+04
