Time,BASESYS5 F1:DesPer 1:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Heat Cap [W],BASESYS5 F1:DesPer 1:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 1:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 2:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Heat Cap [W],BASESYS5 F1:DesPer 2:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 2:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 3:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Heat Cap [W],BASESYS5 F1:DesPer 3:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 3:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 4:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Heat Cap [W],BASESYS5 F1:DesPer 4:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 4:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 5:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Heat Cap [W],BASESYS5 F1:DesPer 5:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 5:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 6:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Heat Cap [W],BASESYS5 F1:DesPer 6:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 6:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 7:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Heat Cap [W],BASESYS5 F1:DesPer 7:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 7:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 8:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Heat Cap [W],BASESYS5 F1:DesPer 8:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 8:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 9:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Heat Cap [W],BASESYS5 F1:DesPer 9:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 9:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS1:DesPer 4:Des Heat Cap [W],DOAS1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS1:DesPer 4:Des Sens Cool Cap [W],DOAS1:DesPer 4:Des Tot Cool Cap [W],DOAS1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS1:DesPer 5:Des Heat Cap [W],DOAS1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS1:DesPer 5:Des Sens Cool Cap [W],DOAS1:DesPer 5:Des Tot Cool Cap [W],DOAS1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS1:DesPer 6:Des Heat Cap [W],DOAS1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS1:DesPer 6:Des Sens Cool Cap [W],DOAS1:DesPer 6:Des Tot Cool Cap [W],DOAS1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS1:DesPer 7:Des Heat Cap [W],DOAS1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS1:DesPer 7:Des Sens Cool Cap [W],DOAS1:DesPer 7:Des Tot Cool Cap [W],DOAS1:DesPer 8:Des Heat Mass Flow [kg/s],DOAS1:DesPer 8:Des Heat Cap [W],DOAS1:DesPer 8:Des Cool Mass Flow [kg/s],DOAS1:DesPer 8:Des Sens Cool Cap [W],DOAS1:DesPer 8:Des Tot Cool Cap [W],DOAS1:DesPer 9:Des Heat Mass Flow [kg/s],DOAS1:DesPer 9:Des Heat Cap [W],DOAS1:DesPer 9:Des Cool Mass Flow [kg/s],DOAS1:DesPer 9:Des Sens Cool Cap [W],DOAS1:DesPer 9:Des Tot Cool Cap [W]
00:15:00,3.282443E+00,0.000000E+00,4.356475E+00,5.645113E+04,7.692657E+04,3.282443E+00,5.325436E+03,3.572165E+00,8.671447E+03,2.513120E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.483537E+00,6.451545E+04,6.964967E+04,3.282443E+00,0.000000E+00,5.150641E+00,1.171089E+05,1.337540E+05,3.282443E+00,0.000000E+00,4.970859E+00,1.055227E+05,1.319850E+05,3.282443E+00,0.000000E+00,4.350021E+00,7.830785E+04,4.072251E+04,3.282443E+00,0.000000E+00,4.167538E+00,4.745526E+04,4.438060E+04,3.282443E+00,0.000000E+00,4.435162E+00,6.420199E+04,6.485308E+04,8.885112E-01,9.427372E+03,1.146525E+00,1.335203E+04,1.825694E+04,8.885112E-01,1.880207E+04,9.612519E-01,1.862988E+03,6.051594E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,7.820281E+03,1.175797E+00,1.529397E+04,1.604664E+04,8.885112E-01,0.000000E+00,1.334457E+00,2.832843E+04,3.215990E+04,8.885112E-01,0.000000E+00,1.290990E+00,2.550731E+04,3.197645E+04,8.885112E-01,3.482029E+03,1.172765E+00,1.959831E+04,8.916782E+03,8.885112E-01,1.100589E+04,1.109422E+00,1.134962E+04,9.969823E+03,8.885112E-01,7.685910E+03,1.175322E+00,1.542299E+04,1.501166E+04
00:30:00,3.282443E+00,0.000000E+00,4.417529E+00,5.671267E+04,7.731679E+04,3.282443E+00,6.087364E+03,3.627700E+00,8.840502E+03,2.431736E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.544391E+00,6.477387E+04,7.001048E+04,3.282443E+00,0.000000E+00,5.214091E+00,1.181737E+05,1.349253E+05,3.282443E+00,0.000000E+00,5.034017E+00,1.065824E+05,1.331034E+05,3.282443E+00,0.000000E+00,4.415865E+00,7.941091E+04,4.197718E+04,3.282443E+00,0.000000E+00,4.231006E+00,4.771915E+04,4.482553E+04,3.282443E+00,0.000000E+00,4.496371E+00,6.448116E+04,6.524359E+04,8.885112E-01,9.633615E+03,8.885112E-01,1.020701E+04,1.431497E+04,8.885112E-01,1.900831E+04,8.885112E-01,8.323142E+02,4.412007E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.026524E+03,8.885112E-01,1.181410E+04,1.170746E+04,8.885112E-01,0.000000E+00,9.011608E-01,2.338467E+04,2.604278E+04,8.885112E-01,0.000000E+00,8.909216E-01,2.094108E+04,2.629328E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.122285E+04,8.885112E-01,8.617775E+03,6.547789E+03,8.885112E-01,7.888136E+03,8.885112E-01,1.195249E+04,1.068708E+04
00:45:00,3.282443E+00,0.000000E+00,4.470121E+00,5.683256E+04,7.758946E+04,3.282443E+00,6.849293E+03,3.677508E+00,8.914687E+03,2.339498E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.595466E+00,6.486858E+04,7.023483E+04,3.282443E+00,0.000000E+00,5.280820E+00,1.192931E+05,1.362080E+05,3.282443E+00,0.000000E+00,5.087287E+00,1.074763E+05,1.341071E+05,3.282443E+00,0.000000E+00,4.473271E+00,8.037331E+04,4.311558E+04,3.282443E+00,0.000000E+00,4.285183E+00,4.782529E+04,4.511496E+04,3.282443E+00,0.000000E+00,4.547875E+00,6.459782E+04,6.549575E+04,8.885112E-01,9.839858E+03,8.885112E-01,1.000077E+04,1.410482E+04,8.885112E-01,1.921455E+04,8.885112E-01,6.260709E+02,3.858461E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.232768E+03,8.885112E-01,1.160786E+04,1.149802E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.143981E+04,8.885112E-01,8.400818E+03,6.327819E+03,8.885112E-01,8.090362E+03,8.885112E-01,1.175026E+04,1.048192E+04
01:00:00,3.282443E+00,0.000000E+00,4.514571E+00,5.681601E+04,7.769939E+04,3.282443E+00,7.611221E+03,3.723282E+00,8.922006E+03,2.238526E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.638624E+00,6.483050E+04,7.030514E+04,3.282443E+00,0.000000E+00,5.337276E+00,1.202404E+05,1.371842E+05,3.282443E+00,0.000000E+00,5.136532E+00,1.083025E+05,1.350492E+05,3.282443E+00,0.000000E+00,4.522579E+00,8.120003E+04,4.409299E+04,3.282443E+00,0.000000E+00,4.332647E+00,4.781941E+04,4.526686E+04,3.282443E+00,0.000000E+00,4.591502E+00,6.458240E+04,6.559387E+04,8.885112E-01,1.004610E+04,8.885112E-01,9.794522E+03,1.389467E+04,8.885112E-01,1.942080E+04,8.885112E-01,4.198276E+02,3.309710E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.439011E+03,8.885112E-01,1.140161E+04,1.128859E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.165676E+04,8.885112E-01,8.183860E+03,6.107837E+03,8.885112E-01,8.292587E+03,8.885112E-01,1.154804E+04,1.027676E+04
01:15:00,3.282443E+00,0.000000E+00,4.560657E+00,5.707944E+04,7.804094E+04,3.282443E+00,8.119173E+03,3.764520E+00,9.106598E+03,2.196054E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.684421E+00,6.508907E+04,7.062602E+04,3.282443E+00,0.000000E+00,5.396932E+00,1.212391E+05,1.382963E+05,3.282443E+00,0.000000E+00,5.196501E+00,1.093063E+05,1.361478E+05,3.282443E+00,0.000000E+00,4.571994E+00,8.202718E+04,4.500938E+04,3.282443E+00,0.000000E+00,4.379266E+00,4.806542E+04,4.561507E+04,3.282443E+00,0.000000E+00,4.637144E+00,6.484829E+04,6.592616E+04,8.885112E-01,1.018360E+04,8.885112E-01,9.657027E+03,1.375458E+04,8.885112E-01,1.955829E+04,8.885112E-01,2.823321E+02,2.946510E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.576506E+03,8.885112E-01,1.126412E+04,1.114897E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.180140E+04,8.885112E-01,8.039222E+03,5.961200E+03,8.885112E-01,8.427404E+03,8.885112E-01,1.141322E+04,1.013998E+04
01:30:00,3.282443E+00,0.000000E+00,4.600409E+00,5.723644E+04,7.820810E+04,3.282443E+00,8.627126E+03,3.802195E+00,9.231686E+03,2.143793E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.723870E+00,6.524096E+04,7.077484E+04,3.282443E+00,0.000000E+00,5.448502E+00,1.221015E+05,1.392124E+05,3.282443E+00,0.000000E+00,5.248404E+00,1.101744E+05,1.370389E+05,3.282443E+00,0.000000E+00,4.615019E+00,8.274698E+04,4.575017E+04,3.282443E+00,0.000000E+00,4.419656E+00,4.820680E+04,4.579068E+04,3.282443E+00,0.000000E+00,4.676490E+00,6.500838E+04,6.608816E+04,8.885112E-01,1.032109E+04,8.885112E-01,9.519531E+03,1.361447E+04,8.885112E-01,1.969579E+04,8.885112E-01,1.448366E+02,2.585397E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.714002E+03,8.885112E-01,1.112662E+04,1.100935E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.194604E+04,8.885112E-01,7.894584E+03,5.814549E+03,8.885112E-01,8.562221E+03,8.885112E-01,1.127840E+04,1.000321E+04
01:45:00,3.282443E+00,0.000000E+00,4.635883E+00,5.732200E+04,7.831905E+04,3.282443E+00,9.135078E+03,3.837448E+00,9.316253E+03,2.085196E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.758997E+00,6.532069E+04,7.087017E+04,3.282443E+00,0.000000E+00,5.493069E+00,1.228471E+05,1.399580E+05,3.282443E+00,0.000000E+00,5.294496E+00,1.109456E+05,1.378546E+05,3.282443E+00,0.000000E+00,4.653628E+00,8.339300E+04,4.643287E+04,3.282443E+00,0.000000E+00,4.455803E+00,4.827730E+04,4.590420E+04,3.282443E+00,0.000000E+00,4.711544E+00,6.509680E+04,6.619569E+04,8.885112E-01,1.045859E+04,8.885112E-01,9.382036E+03,1.347438E+04,8.885112E-01,1.983328E+04,8.885112E-01,7.341031E+00,2.226355E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.851497E+03,8.885112E-01,1.098913E+04,1.086973E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.209068E+04,8.885112E-01,7.749946E+03,5.667897E+03,8.885112E-01,8.697038E+03,8.885112E-01,1.114359E+04,9.866432E+03
02:00:00,3.282443E+00,0.000000E+00,4.666314E+00,5.732269E+04,7.834800E+04,3.282443E+00,9.643030E+03,3.867335E+00,9.310031E+03,2.014820E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.789103E+00,6.531591E+04,7.088694E+04,3.282443E+00,0.000000E+00,5.533146E+00,1.235176E+05,1.406593E+05,3.282443E+00,0.000000E+00,5.334158E+00,1.116085E+05,1.385683E+05,3.282443E+00,0.000000E+00,4.687140E+00,8.395325E+04,4.703390E+04,3.282443E+00,0.000000E+00,4.486922E+00,4.826322E+04,4.593168E+04,3.282443E+00,0.000000E+00,4.741614E+00,6.510135E+04,6.622448E+04,8.885112E-01,1.059608E+04,8.885112E-01,9.244540E+03,1.333428E+04,8.885112E-01,1.997078E+04,8.885112E-01,0.000000E+00,1.869365E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,8.988993E+03,8.885112E-01,1.085163E+04,1.073010E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.223532E+04,8.885112E-01,7.605308E+03,5.521246E+03,8.885112E-01,8.831855E+03,8.885112E-01,1.100877E+04,9.729656E+03
02:15:00,3.282443E+00,0.000000E+00,4.693373E+00,5.739395E+04,7.842566E+04,3.282443E+00,1.002399E+04,3.895731E+00,9.405509E+03,1.973847E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.815820E+00,6.538142E+04,7.095444E+04,3.282443E+00,0.000000E+00,5.567482E+00,1.240913E+05,1.412717E+05,3.282443E+00,0.000000E+00,5.369323E+00,1.121961E+05,1.391832E+05,3.282443E+00,0.000000E+00,4.717202E+00,8.445580E+04,4.755267E+04,3.282443E+00,0.000000E+00,4.514667E+00,4.832627E+04,4.601214E+04,3.282443E+00,0.000000E+00,4.768304E+00,6.517386E+04,6.630142E+04,8.885112E-01,1.069921E+04,8.885112E-01,9.141419E+03,1.322921E+04,8.885112E-01,2.007390E+04,8.885112E-01,0.000000E+00,1.602959E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,9.092115E+03,8.885112E-01,1.074851E+04,1.062539E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.234379E+04,8.885112E-01,7.496829E+03,5.411269E+03,8.885112E-01,8.932968E+03,8.885112E-01,1.090766E+04,9.627075E+03
02:30:00,3.282443E+00,0.000000E+00,4.717250E+00,5.741190E+04,7.845027E+04,3.282443E+00,1.040496E+04,3.920941E+00,9.446508E+03,1.926568E+04,3.282443E+00,4.405185E+04,3.282443E+00,0.000000E+00,0.000000E+00,3.282443E+00,0.000000E+00,4.839359E+00,6.539368E+04,7.097086E+04,3.282443E+00,0.000000E+00,5.598060E+00,1.246021E+05,1.418013E+05,3.282443E+00,0.000000E+00,5.400379E+00,1.127149E+05,1.397305E+05,3.282443E+00,0.000000E+00,4.744038E+00,8.490429E+04,4.801834E+04,3.282443E+00,0.000000E+00,4.539215E+00,4.833576E+04,4.603667E+04,3.282443E+00,0.000000E+00,4.791825E+00,6.519327E+04,6.632696E+04,8.885112E-01,1.080233E+04,8.885112E-01,9.038297E+03,1.312413E+04,8.885112E-01,2.017702E+04,8.885112E-01,0.000000E+00,1.337690E+03,8.885112E-01,2.928476E+04,8.885112E-01,0.000000E+00,0.000000E+00,8.885112E-01,9.195236E+03,8.885112E-01,1.064539E+04,1.052067E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.323337E+04,2.585056E+04,8.885112E-01,0.000000E+00,8.885112E-01,2.091202E+04,2.625522E+04,8.885112E-01,3.482029E+03,8.885112E-01,1.635859E+04,4.822767E+03,8.885112E-01,1.245227E+04,8.885112E-01,7.388351E+03,5.301276E+03,8.885112E-01,9.034081E+03,8.885112E-01,1.080654E+04,9.524494E+03
