18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,""
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 17:49:23"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz11\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.223931,1.34308,5.20058,0,5.367,3.94427,0,0,3.91655,18.4284,0,0,0,0,0,0.988927,0,0,0,0,0,0.988927,0.988927,0,0,0,0,0,0,0,0,0,0,0,0,0,24.83,2084.1,4194.5,
1,1,2,0,0,2.36171,0,0,0.447808,1.34308,5.20058,0,5.367,3.94427,0,0,4.15259,18.6644,0.938481,0,0,0,0,0.988788,0,0,0,0,0,3.80423,3.80423,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,2084.1,4194.5,
1,1,3,0,0,2.40999,0,0,0.447722,1.34308,5.20058,0,5.367,3.94427,0,0,4.20079,18.7126,4.66269,0,0,0,0,1.23589,0,0,0,0,0,15.224,15.224,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,2084.1,4194.5,
1,1,4,0,0,2.46068,0,0,0.444055,1.34308,5.20058,0,5.367,3.94427,0,0,4.24781,18.7597,8.57316,0,0,0,0,0.983617,0,0,0,0,0,26.7031,26.7031,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,2084.1,4194.5,
1,1,5,0,0,2.54371,0,0,0.222042,1.34308,5.20058,0,5.367,3.94427,0,0,4.10882,18.6207,14.9777,0,0,0,0,0.983853,0,0,0,0,0,45.917,45.917,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69,2084.1,4194.5,
1,1,6,3.33149,0,3.02144,0,0,0.444076,1.34308,13.1446,0,13.311,3.94427,0,0,8.14009,38.5399,8.28587,0,0,0,0,1.23783,0,0,0,0,0,26.0954,26.0954,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93,2084.1,4194.5,
1,1,7,3.36086,0,9.05501,0,0.0136971,0.353461,1.34308,19.1026,0,19.269,3.94427,0,0,14.1261,56.442,423.226,0,0,0,0,0.988809,0,27.1049,0,0,0,1270.67,1297.77,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,8,3.3492,0,7.00278,0,0.0276328,0.556143,1.34062,19.1026,0,19.269,3.94427,0,0,12.2764,54.5922,237.143,0,0,0,0,1.25492,0,27.1049,0,0,0,712.683,739.788,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,9,3.26502,0,8.81068,0,0.221559,0.70117,2.27792,20.1782,0,19.269,3.94427,0,0,15.2763,58.6678,511.4,0,0,0,0,1.26782,0,0,0,0,0,1535.47,1535.47,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,2084.1,4194.5,
1,1,10,3.19255,0,5.95921,0,0.078122,0.713531,2.18291,20.1782,0,19.269,3.94427,0,0,12.1263,55.5177,367.543,0,0,0,0,1.2811,0,0,0,0,0,1103.91,1103.91,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,2084.1,4194.5,
