18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 18:58:12"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz12\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.845636,1.34308,5.20058,0,5.367,3.94427,0,0,4.53825,19.0501,0,0,0,0,0,56.2983,0,0,0,0,0,56.2983,56.2983,0,0,0,0,0,0,0,0,0,0,0,0,0,24.83,2084.1,4194.5,
1,1,2,0,0,2.34954,0,0,1.06955,1.34308,5.20058,0,5.367,3.94427,0,0,4.76217,19.274,0,0,0,0,0,39.0823,0,0,0,0,0,39.0823,39.0823,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,2084.1,4194.5,
1,1,3,0,0,2.34954,0,0,1.06947,1.34308,5.20058,0,5.367,3.94427,0,0,4.76209,19.2739,0,0,0,0,0,60.1578,0,0,0,0,0,60.1578,60.1578,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,2084.1,4194.5,
1,1,4,1.01808e-005,0,2.82493,0,0.0138271,1.06579,1.34308,5.20058,0,5.367,3.94427,0,0,5.24764,19.7595,0.400714,0,0,0,0,201.739,0,0,0,0,0,202.941,202.941,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,2084.1,4194.5,
1,1,5,5.95491e-005,0,3.41767,0,0.0276437,0.843745,1.34308,5.20058,0,5.367,3.94427,0,0,5.6322,20.144,2.16995,0,0,0,0,227.132,0,0,0,0,0,233.642,233.642,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,2084.1,4194.5,
1,1,6,2.97189,0,4.22238,0,0.0345247,1.06584,1.34308,13.1446,0,13.311,3.94427,0,0,9.63772,40.0376,4.28489,0,0,0,0,387.556,0,0,0,0,0,400.411,400.411,0,0,0,0,0,0,0,0,0,0,0,0,0,24.94,2084.1,4194.5,
1,1,7,3.08828,0,8.23152,0,0.0361449,1.06953,1.34308,19.1026,0,19.269,3.94427,0,0,13.7686,56.0844,305.414,0,0,0,0,128.297,0,27.1049,0,0,0,1044.54,1071.64,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,8,3.12859,0,6.16191,0,0.0275933,1.08118,1.3424,19.1026,0,19.269,3.94427,0,0,11.7417,54.0575,175.044,0,0,0,0,159.557,0,27.1049,0,0,0,684.689,711.794,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,9,3.14809,0,9.02118,0,0.277918,1.32304,2.36151,20.1782,0,19.269,3.94427,0,0,16.1317,59.5232,508.981,0,0,0,0,236.192,0,0,0,0,0,1763.14,1763.14,0,0,0,0,0,0,0,0,0,0,0,0,0,24.87,2084.1,4194.5,
1,1,10,3.16486,0,6.44029,0,0.0927743,1.33537,2.35014,20.1782,0,19.269,3.94427,0,0,13.3834,56.7749,425.638,0,0,0,0,200.602,0,0,0,0,0,1477.52,1477.52,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,2084.1,4194.5,
