18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-18 16:37:51"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac_autosizing\runs\mumr-baseline\cz13\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.3578,0,0,0.843858,1.34308,5.20058,0,5.367,0.984739,0,0,4.54474,16.0971,0,0,0,0,0,49.9528,0,0,0,0,0,49.9528,49.9528,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,2,0,0,2.3578,0,0,1.06601,1.34308,5.20058,0,5.367,0.984739,0,0,4.76689,16.3192,0,0,0,0,0,37.7967,0,0,0,0,0,37.7967,37.7967,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,2084.1,4194.5,
1,1,3,0,0,2.3578,0,0,1.06596,1.34308,5.20058,0,5.367,0.984739,0,0,4.76684,16.3192,0,0,0,0,0,59.4149,0,0,0,0,0,59.4149,59.4149,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,2084.1,4194.5,
1,1,4,1.06088e-005,0,2.84827,0,0.00251258,1.06226,1.34308,5.20058,0,5.367,0.984739,0,0,5.25613,16.8084,0.202184,0,0,0,0,199.329,0,0,0,0,0,199.935,199.935,0,0,0,0,0,0,0,0,0,0,0,0,0,24.72,2084.1,4194.5,
1,1,5,2.19279e-005,0,2.88656,0,0.00250186,0.841952,1.34308,5.20058,0,5.367,0.984739,0,0,5.07411,16.6264,0.417904,0,0,0,0,224.356,0,0,0,0,0,225.61,225.61,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,2084.1,4194.5,
1,1,6,0.00170573,0,4.20561,0,0.00874235,1.06232,1.34308,13.1446,0,13.311,0.984739,0,0,6.62145,34.0618,32.5078,0,0,0,0,347.881,0,0,0,0,0,445.404,445.404,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,2084.1,4194.5,
1,1,7,0.00142518,0,8.58121,0,0.00895204,1.066,1.34308,19.1026,0,19.269,0.984739,0,0,11.0007,50.357,318.753,0,0,0,0,115.45,0,27.1049,0,0,0,1071.71,1098.81,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35,2084.1,4194.5,
1,1,8,0.00137104,0,6.22698,0,0.00901266,1.18933,1.34191,19.1026,0,19.269,0.984739,0,0,8.7686,48.1249,180.132,0,0,0,0,132.664,0,27.1049,0,0,0,673.06,700.165,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35,2084.1,4194.5,
1,1,9,0.0267848,0,9.67881,0,0.37366,1.3068,2.3577,20.1782,0,19.269,0.984739,0,0,13.7438,54.1757,557.851,0,0,0,0,193.785,0,0,0,0,0,1867.34,1867.34,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,2084.1,4194.5,
1,1,10,0.0185799,0,6.98126,0,0.085561,1.46066,2.34632,20.1782,0,19.269,0.984739,0,0,10.8924,51.3243,451.767,0,0,0,0,165.497,0,0,0,0,0,1520.8,1520.8,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,2084.1,4194.5,
