"",001
"Sun 08-Nov-20   1:20:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",16.2057,0,6.04303,0.133608,0.109188,0,0,0,1.3507,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",16.5943,0,6.6288,0.315891,0.109188,0,0,0,1.4903,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",15.9012,0,6.60231,0,0.113228,0,0,0,1.47911,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",15.8732,0,6.57903,0,0.109188,0,0,0,1.47152,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",15.694,0,6.55483,0,0.113228,0,0,0,1.46443,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",16.2487,0,6.42444,0,0.282875,0,0,0,1.43359,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",17.2581,0,6.06304,0,0.290954,0,0,0,1.3501,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",18.9545,0,5.25719,0,0.521189,0,0,0,1.164,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",10.9878,0,4.36135,0,0.505032,0,0,0,0.955587,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-5.91954
"MtrElec",1,1,10,"",-9.68263,0,2.13165,0,0.456562,0,0,0,0.45648,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-27.5283
"MtrElec",1,1,11,"",-20.0537,0,0.230446,0,0.444444,0,0,0,0.0487096,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-35.352
"MtrElec",1,1,12,"",-4.64642,0,0.568543,0,0.246522,0,0,0,0.119765,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42729,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.6507
"MtrElec",1,1,13,"",-17.408,0,0.211028,0,0.234404,0,0,0,0.0441315,0.756867,0,0,0,0.490407,4.501,0.060527,1.45199,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-27.6549
"MtrElec",1,1,14,"",-10.6893,0,0.261903,0,0.25864,0,0,0,0.0547283,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46798,0,0.217118,0.369024,0.0909886,0,0,0,-19.3508
"MtrElec",1,1,15,"",-16.6315,0,0.00429437,0,0.30711,0,0,0,0.000894699,0.756867,0,0,0,0.490407,4.86538,0.055483,1.44019,0,0.155865,0.673276,0.0956151,0,0,0,-25.4769
"MtrElec",1,1,16,"",-5.28649,0,0,0,0.355581,0,0,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49659,0,0.284372,0.208307,0.104868,0,0,0,-14.2776
"MtrElec",1,1,17,"",7.17832,0,0.319334,0,0.31115,0,0,0,0.0680373,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43889,0,0.0879827,0.881776,0.140338,0,0,0,-3.38784
"MtrElec",1,1,18,"",13.8572,0,1.53202,0.112909,0.214208,0,0,0,0.332919,0.756867,0,1.09188,0,1.02752,6.47423,0.191669,1.53618,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",17.6869,0,2.72192,1.27453,0.181895,0,0,0,0.614264,0.756867,0,1.09188,0,1.96163,6.95786,0.242108,1.68504,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",21.4543,0,2.90757,1.25874,0.274797,0,0,0,0.665747,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",21.5125,0,3.83008,1.60931,0.270757,0,0,0,0.877968,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",21.7253,0,4.52463,1.86217,0.36366,0,0,0,1.04406,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",21.9551,0,6.14757,2.4723,0.129385,0,0,0,1.43187,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",21.5955,0,6.888,2.83068,0.113228,0,0,0,1.61253,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",21.3164,0,7.74611,3.12177,0.117267,0,0,0,1.82824,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.24213,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",22.4588,0,7.73012,3.10469,0.125345,0,0,0,1.81844,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.22403,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",22.0425,0,8.25264,3.23744,0.133424,0,0,0,1.95504,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.18244,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",21.9038,0,8.70209,3.32131,0.113228,0,0,0,2.07425,0.756867,0,1.09188,0,0.396996,4.04224,0.23202,1.16672,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",20.8319,0,7.97293,3.30724,0.113228,0,0,0,1.88181,0.756867,0,1.09188,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",19.8212,0,6.93261,3.02949,0.129385,0,0,0,1.61677,0.756867,0,1.09188,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",19.7386,0,6.27903,2.72749,0.157659,0,0,0,1.4556,0.756867,0,1.09188,0,0.980813,4.75662,0.176537,1.32675,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",20.3093,0,6.36675,2.76838,0.367699,0,0,0,1.47742,0.756867,0,1.09188,0,0.957461,5.11646,0.171493,1.47471,0,0,0,0.0385545,0,0,0,-0.278393
"MtrElec",1,2,9,"",12.7434,0,5.89219,2.62296,0.440405,0,0,0,1.36324,0.756867,0,1.09188,0,0.793992,4.74336,0.166449,1.42486,0,0,0.628229,0.0400967,0,0,0,-7.22118
"MtrElec",1,2,10,"",5.30215,0,5.37277,2.43409,0.266718,0,0,0,1.23881,0.756867,0,1.09188,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-12.9866
"MtrElec",1,2,11,"",6.20187,0,5.50656,2.51186,0.194012,0,0,0,1.26845,0.756867,0,1.09188,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-11.782
"MtrElec",1,2,12,"",14.2898,0,5.34969,2.523,0.262679,0,0,0,1.22578,0.756867,0,1.09188,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-4.29671
"MtrElec",1,2,13,"",4.91328,0,4.528,1.89066,0.226326,0,0,0,1.02375,0.756867,0,1.09188,0,0.490407,4.51254,0.060527,1.33564,0,0.372554,0,0.0539763,0,0,0,-11.4299
"MtrElec",1,2,14,"",-5.4767,0,3.4892,0,0.294993,0,0,0,0.764355,0.756867,0,1.09188,0,0.490407,4.61395,0.055483,1.3004,0,0,1.76392,0.0493497,0,0,0,-20.1475
"MtrElec",1,2,15,"",-10.8064,0,1.84621,0,0.230365,0,0,0,0.399141,0.756867,0,1.09188,0,0.490407,4.7811,0.055483,1.3331,0,0.745026,0,0.0524341,0,0,0,-22.5884
"MtrElec",1,2,16,"",1.36254,0,2.48988,0,0.165738,0,0,0,0.540068,0.756867,0,1.09188,0,0.60717,4.9234,0.060527,1.34088,0,0,0,0.0801933,0,0,0,-10.6941
"MtrElec",1,2,17,"",12.2758,0,2.92962,0,0.238444,0,0,0,0.638196,0.756867,0,1.09188,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,-1.29922
"MtrElec",1,2,18,"",15.0521,0,2.91024,0,0.250561,0,0,0,0.634536,0.756867,0,1.09188,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",21.042,0,2.63304,1.01644,0.440405,0,0,0,0.591328,0.756867,0,1.09188,0,1.96163,6.96974,0.247152,1.63347,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",22.2502,0,3.81788,1.63186,0.36366,0,0,0,0.870885,0.756867,0,1.09188,0,2.73227,7.32996,0.327854,1.65046,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",22.5415,0,4.89778,2.01169,0.290954,0,0,0,1.12842,0.756867,0,1.09188,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",24.1182,0,6.33652,2.34806,0.238444,0,0,0,1.4834,0.756867,0,1.09188,0,2.24186,7.58459,0.529611,1.47614,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",24.9329,0,8.06217,2.75649,0.294993,0,0,0,1.92045,0.756867,0,1.09188,0,1.47122,6.72474,0.458996,1.3766,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",25.1287,0,9.46502,3.10444,0.169777,0,0,0,2.28508,0.756867,0,1.09188,0,0.910755,5.76204,0.317767,1.24959,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",24.9242,0,10.3726,3.31103,0.145542,0,0,0,2.52586,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",25.8459,0,11.5041,3.33959,0.113228,0,0,0,2.83884,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",27.1079,0,12.7694,3.31007,0.125345,0,0,0,3.19652,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",27.8212,0,13.3679,3.25279,0.117267,0,0,0,3.36975,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",28.6218,0,13.7936,3.65801,0.117267,0,0,0,3.49152,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",28.1758,0,13.4575,3.05691,0.15362,0,0,0,3.39993,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",28.9018,0,12.4175,2.78635,0.303071,0,0,0,3.10996,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",25.9306,0,11.3499,2.58719,0.404052,0,0,0,2.81399,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.585314,1.45432,0.0416388,0,0,0,-2.60941
"MtrElec",1,3,9,"",6.92643,0,8.45384,2.20074,0.36366,0,0,0,2.04303,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,0.614262,2.45266,0.0740246,0,0,0,-18.297
"MtrElec",1,3,10,"",-9.33867,0,6.47583,2.00214,0.347503,0,0,0,1.53574,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,1.03593,0.364414,0.0740246,0,0,0,-29.8146
"MtrElec",1,3,11,"",-16.8892,0,5.20953,1.89591,0.440405,0,0,0,1.20412,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,0.153917,1.32043,0.0709402,0,0,0,-35.8023
"MtrElec",1,3,12,"",-22.6201,0,3.10434,1.31925,0.480797,0,0,0,0.698272,0.756867,0,1.09188,0,0.583817,4.54226,0.0807026,1.42598,0,0.557711,1.39571,0.0848198,0,0,0,-38.7425
"MtrElec",1,3,13,"",-24.5536,0,2.20646,0.948645,0.282875,0,0,0,0.490312,0.756867,0,1.09188,0,0.490407,4.501,0.060527,1.44963,0,0.589505,0.448594,0.0971573,0,0,0,-37.9675
"MtrElec",1,3,14,"",-21.214,0,1.54783,0,0.290954,0,0,0,0.332696,0.756867,0,1.09188,0,0.490407,4.63842,0.055483,1.46662,0,0.189473,0.88202,0.0909886,0,0,0,-33.0476
"MtrElec",1,3,15,"",-14.3532,0,0.797106,0,0.246522,0,0,0,0.170636,0.756867,0,1.09188,0,0.490407,4.86538,0.055483,1.43995,0,0.372539,0,0.0956151,0,0,0,-24.7356
"MtrElec",1,3,16,"",-2.79536,0,0.836298,0,0.319228,0,0,0,0.179542,0.756867,0,1.09188,0,0.60717,5.1168,0.060527,1.49569,0,0,1.292,0.104868,0,0,0,-14.6562
"MtrElec",1,3,17,"",9.47973,0,1.3362,0.490102,0.391934,0,0,0,0.297717,0.756867,0,1.09188,0,0.723934,5.74202,0.0958344,1.43606,0,0.545702,0.472187,0.140338,0,0,0,-4.04104
"MtrElec",1,3,18,"",17.6606,0,3.53024,1.51918,0.31115,0,0,0,0.809326,0.756867,0,1.09188,0,1.02752,6.47423,0.191669,1.53469,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",20.7839,0,4.68725,1.84852,0.270757,0,0,0,1.08329,0.756867,0,1.09188,0,1.96163,6.95786,0.242108,1.68476,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",22.0634,0,4.72341,1.8269,0.185934,0,0,0,1.09335,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.64411,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",23.156,0,5.12933,1.88508,0.230365,0,0,0,1.19615,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.58981,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",23.9819,0,6.30621,2.18688,0.226326,0,0,0,1.48476,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.52472,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",24.3143,0,7.91988,2.61118,0.121306,0,0,0,1.88788,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",24.7194,0,9.24235,2.92567,0.169777,0,0,0,2.23052,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",24.8912,0,10.4833,3.14743,0.129385,0,0,0,2.56199,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",26.0148,0,11.7043,3.24507,0.117267,0,0,0,2.89809,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,4,3,"",26.51,0,12.3695,3.23904,0.109188,0,0,0,3.08571,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,4,"",26.5214,0,12.3676,3.2476,0.109188,0,0,0,3.0836,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,5,"",25.8323,0,11.8872,3.32965,0.109188,0,0,0,2.94485,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,6,"",25.1998,0,11.0471,3.17779,0.15362,0,0,0,2.71347,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,7,"",25.2532,0,10.166,2.91536,0.294993,0,0,0,2.47387,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.503799,0.0154218,0,0,0,0
"MtrElec",1,4,8,"",26.4745,0,9.48836,2.81659,0.391934,0,0,0,2.29181,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,1.15916,0.21279,0.768643,0.0416388,0,0,0,0
