16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-11-08 13:23:42"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrgs-roofp-low-base-hp\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.96904,0,0.221825,0,0.00800032,0,0.157419,0.381987,1.36223,0.0680012,0,0,5.1685,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,1.98077,0,0.221825,0,0.00400018,0,0.130041,0.36609,1.25338,0.0680012,0,0,4.02411,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,1.99825,0,0.221825,0,0.00480021,0,0.102664,0.359448,1.18819,0.0665229,0,0,3.9417,0,0,0,0,0.000172911,0,0,0.000859615,0,0,0.00103253,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,2.14296,0,0.221825,0,0.00480021,0,0.116353,0.351165,1.18481,0.0665229,0,0,4.08844,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,2.46494,0,0.221825,0,0.00960038,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.37067,0,0,0,0,0.000172725,0,0,0.000859615,0,0,0.00103234,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,2.34139,0,0.221825,0,0.0192008,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.41684,0,0,0,0,0.414048,0,0,0.00143269,0,0,0.415481,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,1.84725,0,0.221825,0,0.0360015,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.36335,0,0,0,0,0.167016,0,0,0.00286538,0,0,0.169881,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,1.38135,0,0.221825,0,0.045602,0,0.280616,1.16633,1.47115,0.0606096,-0.174106,0,4.45338,0,0,0,0,0.235773,0,0,0.0649113,0,0,0.300684,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,0.863494,0,0.221825,0,0.0432016,0,0.232706,1.03783,1.38334,0.0532183,-0.43447,0,3.40114,0,0,0,0,0.167156,0,0,0.222457,0,0,0.389613,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,0.414527,0,0.221825,0,0.04826,0,0.198484,2.2231,1.33015,0.0443485,-2.03243,0,2.44826,0,0,0,0,0.366916,0,0,0.0993683,0,0,0.466284,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,0.0960533,0,0.221825,0,0.0418596,0,0.184796,2.15679,1.35269,0.0354789,-2.01893,0,2.07056,0,0,0,0,0.223539,0,0,0.508466,0,0,0.732005,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,0.328868,0,0.221825,0,0.0346594,0,0.171107,1.7895,1.33126,0.0236526,-2.34788,0,1.553,0,0,0,0,0.138499,0,0,0.320482,0,0,0.458981,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,0.607421,0,0.221825,0,0.0322594,0,0.14373,1.15694,1.31917,0.0177394,-3.84669,0,-0.347603,0,0,0,0,0.116948,0,0,0.0214245,0,0,0.138372,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.726942,0,0.221825,0,0.0306591,0,0.14373,0.628309,1.35944,0.0162611,-3.39909,0,-0.271922,0,0,0,0,0.0246888,0,0,0.061789,0,0,0.0864778,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
