16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-01-29 10:54:23"
Cond. Area:,,,7320
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-base\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.00969839,0,0.157419,0.377679,1.36223,0.0680012,0,0,2.19685,0,0,0,0,0.0287047,0,0,0.00143269,0,0,0.0301374,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.00969839,0,0.130041,0.357778,1.25338,0.0680012,0,0,2.04073,0,0,0,0,0.0286915,0,0,0.00114615,0,0,0.0298377,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.00969839,0,0.102664,0.348358,1.18819,0.0665229,0,0,1.93726,0,0,0,0,0.0304683,0,0,0.000859615,0,0,0.0313279,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.00969839,0,0.116353,0.337986,1.18481,0.0665229,0,0,1.9372,0,0,0,0,0.0286653,0,0,0.000859615,0,0,0.0295249,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.00969839,0,0.14373,0.320017,1.12527,0.0680012,0,0,1.88854,0,0,0,0,0.0304103,0,0,0.000859615,0,0,0.0312699,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.00969839,0,0.212173,0.316495,1.21935,0.0665229,0,0,2.04606,0,0,0,0,0.502447,0,0,0.00143269,0,0,0.50388,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,0.306486,0,0.221825,0,0.00969839,0,0.28746,0.511912,1.36938,0.0650445,0,0,2.77181,0.452296,0,0,0,0.2626,0,0,0.00286538,0,0,0.717761,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,0.664431,0,0.221825,0,0.00969839,0,0.280616,1.15181,1.47115,0.0606096,0,0,3.86015,0.98053,0,0,0,0.417872,0,0,0.0649113,0,0,1.46331,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,0.330733,0,0.221825,0,0.00969839,0,0.232706,1.03666,1.38334,0.0532183,-0.0918593,0,3.17632,0.488075,0,0,0,0.31846,0,0,0.222457,0,0,1.02899,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,0.209313,0,0.221825,0,0.0234605,0,0.198484,2.2231,1.33015,0.0443485,-0.225167,0,4.02551,0.308892,0,0,0,0.517269,0,0,0.0993683,0,0,0.925529,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,0.131923,0,0.221825,0,0.0234605,0,0.184796,2.15679,1.35269,0.0354789,-0.141271,0,3.96569,0.194684,0,0,0,0.324465,0,0,0.508466,0,0,1.02761,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,0.167997,0,0.221825,0,0.00969839,0,0.171107,1.78913,1.33126,0.0236526,-0.0555739,0,3.6591,0.24792,0,0,0,0.232432,0,0,0.320482,0,0,0.800834,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,0.170599,0,0.221825,0,0.0234605,0,0.14373,1.15655,1.31917,0.0177394,-0.335349,0,2.71772,0.25176,0,0,0,0.180999,0,0,0.0214245,0,0,0.454183,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,0.154397,0,0.221825,0,0.0234605,0,0.14373,0.628297,1.35944,0.0162611,-0.262426,0,2.28499,0.22785,0,0,0,0.0735663,0,0,0.061789,0,0,0.363205,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
