"",001
"Tue 16-Feb-21   5:26:08 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",12.0974,0,3.08174,0,0,0,0.00661819,0,0.691749,0.504578,0,1.09188,0,0.537112,4.64792,0.23202,1.29607,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",12.1114,0,3.51525,0,0,0,0.00661819,0,0.791691,0.504578,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",11.6787,0,3.44583,0,0,0,0.00661819,0,0.771974,0.504578,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",10.6207,0,3.46934,0,0,0,0.00661819,0,0.775467,0.504578,0,0,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",10.2913,0,3.3282,0,0,0,0.00661819,0,0.739191,0.504578,0,0,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",10.0874,0,2.72054,0,0,0,0.00661819,0,0.596632,0.504578,0,0,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",10.7277,0,2.06227,0,0,0,0.00661819,0,0.449026,0.504578,0,0,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.6285,0,1.60372,0,0,0,0.00661819,0,0.350266,0.504578,0,0,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",11.8574,0,1.73349,0,0,0,0.00661819,0,0.376141,0.504578,0,0,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,0
"MtrElec",1,1,10,"",14.7738,0,1.10498,0,0,0,0.00661819,0,0.234337,0.504578,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.0289277
"MtrElec",1,1,11,"",13.6151,0,0.39074,0,0,0,0.00661819,0,0.0824549,0.504578,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.0952295
"MtrElec",1,1,12,"",13.3798,0,1.33526,0,0,0,0.00661819,0,0.287624,0.504578,0,0,0,0.583817,4.54226,0.0807026,1.42696,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.0665876
