"",001
"Fri 29-Jan-21  11:35:03 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.6254,0,4.14483,1.93639,0,0,0.00661819,0,0.968395,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29565,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",16.5176,0,4.98333,2.30041,0,0,0.00661819,0,1.17711,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",16.6768,0,5.24679,2.47464,0,0,0.00661819,0,1.24218,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",17.815,0,5.96541,2.70009,0,0,0.00661819,0,1.42936,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",18.9545,0,6.80956,2.92179,0,0,0.00661819,0,1.6551,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",19.6602,0,7.0071,2.8272,0,0,0.00661819,0,1.71144,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",20.3386,0,6.5993,2.57176,0,0,0.00661819,0,1.60699,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",20.894,0,5.46206,2.21396,0,0,0.00661819,0,1.31302,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-0.113734
"MtrElec",1,1,9,"",18.141,0,4.41353,1.96907,0,0,0.00661819,0,1.03583,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.369406
"MtrElec",1,1,10,"",17.8804,0,2.44665,0.666981,0.0418258,0,0.00661819,0,0.543676,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.626362
"MtrElec",1,1,11,"",14.016,0,0.317495,0,0.0418258,0,0.00661819,0,0.0675192,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.992111
"MtrElec",1,1,12,"",10.3314,0,0.0448029,0,0.0418258,0,0.00661819,0,0.00941423,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42737,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-1.84085
"MtrElec",1,1,13,"",7.83061,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.45476,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-1.9779
"MtrElec",1,1,14,"",6.58471,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.47563,0,0.217118,0.369024,0.0909886,0,0,0,-1.55767
"MtrElec",1,1,15,"",7.70293,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.45276,0,0.155865,0.673276,0.0956151,0,0,0,-0.891167
"MtrElec",1,1,16,"",8.33977,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.50737,0,0.284372,0.208307,0.104868,0,0,0,-0.354956
"MtrElec",1,1,17,"",9.85667,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.45238,0,0.0879827,0.881776,0.140338,0,0,0,-0.0310748
"MtrElec",1,1,18,"",10.5924,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.54871,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.8188,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.69478,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.2735,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.65539,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",13.853,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.6036,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",12.8586,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.24186,7.42686,0.494303,1.53782,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.9356,0,0.114863,0,0,0,0.00661819,0,0.0246356,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.38713,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",11.4494,0,1.05574,0,0,0,0.00661819,0,0.230043,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42987,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",10.1564,0,1.34852,0,0,0,0.00661819,0,0.294626,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.24576,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",10.4347,0,1.51374,0,0,0,0.00661819,0,0.325412,0.756867,0,0,0,0.443701,4.22793,0.23202,1.22457,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",9.64425,0,1.86352,0,0,0,0.00661819,0,0.402034,0.756867,0,0,0,0.35029,4.06638,0.23202,1.18244,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",9.31835,0,2.22727,0,0,0,0.00661819,0,0.483446,0.756867,0,0,0,0.396996,4.04224,0.23202,1.16672,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",9.63115,0,2.59352,0,0,0,0.00661819,0,0.566205,0.756867,0,0,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",9.50683,0,2.03822,0,0,0,0.00661819,0,0.440901,0.756867,0,0,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
