"",001
"Fri 29-Jan-21  12:07:19 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",17.0845,0,5.46503,1.77994,0,0,0.00661819,0,1.26381,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",13.3887,0,4.36465,0,0,0,0.00661819,0,0.967296,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",13.0996,0,4.40932,0,0,0,0.00661819,0,0.977074,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",13.5786,0,4.78963,0,0,0,0.00661819,0,1.0689,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",14.4658,0,5.39088,0.28761,0,0,0.00661819,0,1.21919,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",14.6322,0,5.10201,0.26511,0,0,0.00661819,0,1.15064,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",14.5302,0,4.06616,0,0,0,0.00661819,0,0.903492,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",15.4995,0,2.8875,0,0,0,0.00661819,0,0.633917,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-0.0406911
"MtrElec",1,1,9,"",12.75,0,2.34459,0,0,0,0.00661819,0,0.50685,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.101542
"MtrElec",1,1,10,"",14.6139,0,1.09898,0,0.0418258,0,0.00661819,0,0.232443,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.475008
"MtrElec",1,1,11,"",13.3869,0,0.270653,0,0.0418258,0,0.00661819,0,0.0568411,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.471853
"MtrElec",1,1,12,"",12.5712,0,0.826674,0,0.0418258,0,0.00661819,0,0.175427,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42723,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.548732
"MtrElec",1,1,13,"",10.8451,0,1.59952,0,0.0418258,0,0.00661819,0,0.339904,0.756867,0,0,0,0.490407,4.501,0.060527,1.45097,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.899024
