"",001
"Fri 29-Jan-21  12:26:14 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.1893,0,17.5096,6.21389,0,0,0.0330909,0,5.97002,0.756867,0,1.09188,0,1.31434,3.78911,0,2.06962,0.344591,0,0.0963746,0,0,0,0,0
"MtrElec",1,1,2,"",40.0385,0,17.7569,7.16912,0,0,0.0330909,0,6.07382,0.756867,0,1.09188,0,1.08576,3.58429,0,2.06962,0.325965,0,0.0911652,0,0,0,0,0
"MtrElec",1,1,3,"",38.5283,0,17.4764,6.40491,0,0,0.0330909,0,5.95131,0.756867,0,1.09188,0,0.857176,3.48188,0,2.06962,0.316652,0,0.0885605,0,0,0,0,0
"MtrElec",1,1,4,"",39.3146,0,17.7422,6.70033,0,0,0.0330909,0,6.06205,0.756867,0,1.09188,0,0.971466,3.48188,0,2.06962,0.316652,0,0.0885605,0,0,0,0,0
"MtrElec",1,1,5,"",38.9728,0,17.7127,6.4035,0,0,0.0330909,0,6.04665,0.756867,0,1.09188,0,1.20005,3.27706,0,2.06962,0.298025,0,0.083351,0,0,0,0,0
"MtrElec",1,1,6,"",37.2284,0,17.2172,4.33324,0,0,0.0330909,0,5.83928,0.756867,0,1.09188,0,1.7715,3.6867,0,2.06962,0.335278,0,0.0937699,0,0,0,0,0
"MtrElec",1,1,7,"",38.5008,0,17.311,4.1568,0,0,0.0330909,0,5.87981,0.756867,0,1.09188,0,2.40009,4.30115,0,2.06962,0.391158,0,0.109398,0,0,0,0,0
"MtrElec",1,1,8,"",40.3366,0,17.6924,5.27988,0,0,0.0330909,0,6.03956,0.756867,0,1.09188,0,2.34295,4.50596,0,2.06962,0.409784,0,0.114608,0,0,0,0,0
"MtrElec",1,1,9,"",39.3488,0,17.6561,5.54397,0,0,0.0330909,0,6.02427,0.756867,0,1.09188,0,1.94293,3.78911,0,2.06962,0.344591,0,0.0963746,0,0,0,0,0
"MtrElec",1,1,10,"",38.9312,0,17.7433,5.8598,0,0,0.0330909,0,6.06102,0.756867,0,1.09188,0,1.65721,3.27706,0,2.06962,0.298025,0,0.083351,0,0,0,0,0
"MtrElec",1,1,11,"",38.967,0,17.7411,5.89743,0,0,0.0330909,0,6.06128,0.756867,0,1.09188,0,1.54292,3.37947,0,2.06962,0.307338,0,0.0859558,0,0,0,0,0
"MtrElec",1,1,12,"",38.5193,0,17.6608,5.67654,0,0,0.0330909,0,6.0291,0.756867,0,1.09188,0,1.42863,3.37947,0,2.06962,0.307338,0,0.0859558,0,0,0,0,0
"MtrElec",1,1,13,"",38.0599,0,17.6163,5.62244,0,0,0.0330909,0,6.01123,0.756867,0,1.09188,0,1.20005,3.27706,0,2.06962,0.298025,0,0.083351,0,0,0,0,0
"MtrElec",1,1,14,"",37.432,0,17.4569,5.10456,0,0,0.0330909,0,5.94623,0.756867,0,1.09188,0,1.20005,3.37947,0,2.06962,0.307338,0,0.0859558,0,0,0,0,0
"MtrElec",1,1,15,"",37.4934,0,17.3905,5.02968,0,0,0.0330909,0,5.92022,0.756867,0,1.09188,0,1.20005,3.58429,0,2.06962,0.325965,0,0.0911652,0,0,0,0,0
"MtrElec",1,1,16,"",39.3882,0,17.6367,6.06148,0,0,0.0330909,0,6.02264,0.756867,0,1.09188,0,1.48577,3.78911,0,2.06962,0.344591,0,0.0963746,0,0,0,0,0
"MtrElec",1,1,17,"",40.3275,0,17.5995,5.96706,0,0,0.0330909,0,6.00769,0.756867,0,1.09188,0,1.7715,4.50596,0,2.06962,0.409784,0,0.114608,0,0,0,0,0
"MtrElec",1,1,18,"",41.0933,0,17.3746,5.27822,0,0,0.0330909,0,5.91534,0.756867,0,1.09188,0,2.51438,5.42764,0,2.06962,0.493604,0,0.13805,0,0,0,0,0
"MtrElec",1,1,19,"",41.1184,0,16.7834,3.27502,0,0,0.0330909,0,5.67741,0.756867,0,1.09188,0,4.80018,5.93968,0,2.06962,0.54017,0,0.151074,0,0,0,0,0
"MtrElec",1,1,20,"",41.7272,0,15.9094,2.93992,0,0,0.0330909,0,5.32373,0.756867,0,1.09188,0,6.74312,6.1445,0,2.06962,0.558797,0,0.156283,0,0,0,0,0
"MtrElec",1,1,21,"",42.9657,0,15.9506,2.87001,0,0,0.0330909,0,5.3424,0.756867,0,1.09188,0,6.45739,6.34931,1.30559,2.06962,0.577423,0,0.161493,0,0,0,0,0
"MtrElec",1,1,22,"",42.6077,0,16.4853,2.95999,0,0,0.0330909,0,5.5599,0.756867,0,1.09188,0,5.48592,6.1445,1.30559,2.06962,0.558797,0,0.156283,0,0,0,0,0
"MtrElec",1,1,23,"",42.4834,0,17.1692,4.67633,0,0,0.0330909,0,5.83578,0.756867,0,1.09188,0,3.60014,5.32523,1.30559,2.06962,0.484291,0,0.135445,0,0,0,0,0
"MtrElec",1,1,24,"",43.1204,0,17.7301,6.74997,0,0,0.0330909,0,6.06712,0.756867,0,1.09188,0,2.17151,4.60837,1.30559,2.06962,0.419098,0,0.117212,0,0,0,0,0
"MtrElec",1,2,1,"",41.6727,0,18.0272,7.95728,0,0,0.0330909,0,6.1924,0.756867,0,1.09188,0,1.31434,3.78911,0,2.06962,0.344591,0,0.0963746,0,0,0,0,0
