"",001
"Tue 16-Feb-21   3:16:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.3565,0,5.75984,0,0,0,0.00661819,0,1.02088,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",15.5478,0,6.09687,0.306525,0,0,0.00661819,0,1.08765,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",18.1155,0,6.13266,3.14435,0,0,0.00661819,0,1.12531,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",18.3615,0,6.26953,3.22022,0,0,0.00661819,0,1.15166,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",14.441,0,5.84191,0,0,0,0.00661819,0,1.03097,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",13.6225,0,4.69547,0,0,0,0.00661819,0,0.812606,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",12.955,0,3.83116,0,0,0,0.00661819,0,0.655106,0.756867,0,0,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",14.2245,0,2.82081,0,0,0,0.00661819,0,0.476834,0.756867,0,0,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",12.1508,0,2.20923,0,0,0,0.00661819,0,0.368936,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.427462
"MtrElec",1,1,10,"",13.4371,0,1.41238,0,0,0,0.00661819,0,0.232018,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-1.92297
"MtrElec",1,1,11,"",8.30068,0,0.252887,0,0.0418258,0,0.00661819,0,0.0411161,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-5.52454
