"",001
"Tue 16-Feb-21   3:17:26 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",12.2437,0,3.12346,0,0,0,0.00661819,0,0.544075,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29607,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",12.2421,0,3.56272,0,0,0,0.00661819,0,0.6227,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",11.8117,0,3.49147,0,0,0,0.00661819,0,0.607069,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",10.7528,0,3.51481,0,0,0,0.00661819,0,0.609756,0.756867,0,0,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",10.4281,0,3.37085,0,0,0,0.00661819,0,0.581093,0.756867,0,0,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",10.2461,0,2.75469,0,0,0,0.00661819,0,0.468895,0.756867,0,0,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",10.9096,0,2.08803,0,0,0,0.00661819,0,0.352851,0.756867,0,0,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.8257,0,1.62361,0,0,0,0.00661819,0,0.275233,0.756867,0,0,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",12.0509,0,1.75526,0,0,0,0.00661819,0,0.295603,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,0
"MtrElec",1,1,10,"",14.9892,0,1.11833,0,0,0,0.00661819,0,0.184057,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.0289277
"MtrElec",1,1,11,"",13.8546,0,0.395703,0,0,0,0.00661819,0,0.0647778,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.0952295
"MtrElec",1,1,12,"",13.5865,0,1.35141,0,0,0,0.00661819,0,0.225947,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42697,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.0665876
"MtrElec",1,1,13,"",13.1123,0,2.97962,0,0,0,0.00661819,0,0.506664,0.756867,0,0,0,0.490407,4.501,0.060527,1.44994,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.135809
"MtrElec",1,1,14,"",11.0537,0,2.69285,0,0,0,0.00661819,0,0.456862,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-0.187528
"MtrElec",1,1,15,"",10.4131,0,1.88625,0,0,0,0.00661819,0,0.315286,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-0.327915
"MtrElec",1,1,16,"",10.2654,0,1.55501,0,0,0,0.00661819,0,0.258288,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.189108
"MtrElec",1,1,17,"",11.4819,0,1.40709,0,0,0,0.00661819,0,0.233603,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.0293263
"MtrElec",1,1,18,"",11.8904,0,1.12632,0,0,0,0.00661819,0,0.18675,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",13.2427,0,1.22747,0,0,0,0.00661819,0,0.206501,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",16.4564,0,1.02179,0,0,0,0.00661819,0,0.172401,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",15.0453,0,1.03107,0,0,0,0.00661819,0,0.174025,0.756867,0,0,0,2.63885,7.49676,0.418645,1.59083,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",15.368,0,1.22147,0,0,0,0.00661819,0,0.207746,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.52618,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",14.2999,0,2.14722,0,0,0,0.00661819,0,0.370314,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.37343,0,0,0,0.0138796,0,0,0,0
