"",002
"Fri 05-Feb-21  12:29:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.48726,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.27254,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.95089,0,0,0,0,0,0.0330909,0,0.00407986,0.756867,0,0,0,0.443701,4.27654,0.23202,1.19842,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.74463,0,0,0,0,0,0.0330909,0,0.156678,0.756867,0,0,0,0.35029,4.05412,0.226976,1.16198,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.88252,0,0,0,0,0,0.0330909,0,0.295346,0.756867,0,0,0,0.396996,4.04258,0.226976,1.12604,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.92366,0,0,0,0,0,0.0330909,0,0.503121,0.756867,0,0,0,0.490407,3.83942,0.23202,1.06411,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.52824,0,0,0,0,0,0.0330909,0,0.565412,0.756867,0,0,0,0.723934,4.16041,0.226976,1.05384,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",10.7001,0,0,0,0,0,0.0330909,0,2.30588,0.756867,0,0,0,0.980813,4.67234,0.221932,1.05892,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",14.0733,0,0,0,0,0,0.0330909,0,3.17302,0.756867,0,0,0,0.957461,5.01958,0.2068,1.21799,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",11.2729,0,0,0,0,0,0.0330909,0,1.96168,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47041,0,1.00958,0.98054,0.0740246,0,0,0,-0.708852
"MtrElec",1,1,10,"",12.7335,0,0,0,0,0,0.0330909,0,1.56948,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-2.57819
"MtrElec",1,1,11,"",12.0738,0,0,0,0,0,0.0330909,0,1.25331,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-2.69542
"MtrElec",1,1,12,"",9.66183,0,0,0,0,0,0.0330909,0,1.28075,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-3.72017
"MtrElec",1,1,13,"",6.78745,0,0,0,0,0,0.0330909,0,1.36969,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-4.37027
"MtrElec",1,1,14,"",3.87355,0,0,0,0,0,0.0330909,0,1.3196,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-5.56407
"MtrElec",1,1,15,"",4.69864,0,0,0,0,0,0.0330909,0,1.26478,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-5.13207
"MtrElec",1,1,16,"",8.48608,0,0,0,0,0,0.0330909,0,1.26577,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-1.44736
"MtrElec",1,1,17,"",11.1088,0,0,0,0,0,0.0330909,0,1.231,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.0191872
"MtrElec",1,1,18,"",11.7745,0,0,0,0,0,0.0330909,0,1.17066,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.9664,0,0,0,0,0,0.0330909,0,1.13112,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",16.3142,0,0,0,0,0,0.0330909,0,1.02551,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.9239,0,0,0,0,0,0.0330909,0,1.05823,0.756867,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",13.9518,0,0,0,0,0,0.0330909,0,1.07984,0.756867,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.9113,0,0,0,0,0,0.0330909,0,1.19605,0.756867,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.09227,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.41534,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.21322,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.58313,0,0,0,0,0,0.0330909,0,0.013262,0.756867,0,0,0,0.443701,4.22793,0.23202,1.17245,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.52791,0,0,0,0,0,0.0330909,0,0.190693,0.756867,0,0,0,0.35029,4.06638,0.23202,1.11449,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.98708,0,0,0,0,0,0.0330909,0,0.427934,0.756867,0,0,0,0.396996,4.04224,0.23202,1.09176,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",7.02874,0,0,0,0,0,0.0330909,0,0.617957,0.756867,0,0,0,0.490407,3.85168,0.23202,1.04055,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",7.63169,0,0,0,0,0,0.0330909,0,0.681335,0.756867,0,0,0,0.723934,4.17266,0.186625,1.05559,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",10.3503,0,0,0,0,0,0.0330909,0,2.37505,0.756867,0,0,0,0.980813,4.75662,0.176537,1.24197,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",11.7982,0,0,0,0,0,0.0330909,0,3.2857,0.756867,0,0,0,0.957461,5.11646,0.171493,1.43862,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",8.21508,0,0,0,0,0,0.0330909,0,2.15132,0.756867,0,0,0,0.793992,4.74336,0.166449,1.41668,0,0,0.628229,0.0400967,0,0,0,-2.515
"MtrElec",1,2,10,"",4.31365,0,0,0,0,0,0.0330909,0,1.79634,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-5.40022
"MtrElec",1,2,11,"",7.1044,0,0,0,0,0,0.0330909,0,1.68107,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-2.02085
"MtrElec",1,2,12,"",7.33426,0,0,0,0,0,0.0330909,0,1.53725,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-2.36957
"MtrElec",1,2,13,"",6.62973,0,0,0,0,0,0.0330909,0,1.42683,0.756867,0,0,0,0.490407,4.51254,0.060527,1.33564,0,0.372554,0,0.0539763,0,0,0,-2.41271
"MtrElec",1,2,14,"",7.75989,0,0,0,0,0,0.0330909,0,1.32159,0.756867,0,0,0,0.490407,4.61395,0.055483,1.3004,0,0,1.76392,0.0493497,0,0,0,-2.62515
"MtrElec",1,2,15,"",7.66342,0,0,0,0,0,0.0330909,0,1.25789,0.756867,0,0,0,0.490407,4.7811,0.055483,1.3331,0,0.745026,0,0.0524341,0,0,0,-1.84198
"MtrElec",1,2,16,"",9.04482,0,0,0,0,0,0.0330909,0,1.35007,0.756867,0,0,0,0.60717,4.9234,0.060527,1.34088,0,0,0,0.0801933,0,0,0,-0.107371
"MtrElec",1,2,17,"",10.0079,0,0,0,0,0,0.0330909,0,1.2979,0.756867,0,0,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,0
"MtrElec",1,2,18,"",11.3909,0,0,0,0,0,0.0330909,0,1.19289,0.756867,0,0,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",16.3306,0,0,0,0,0,0.0330909,0,1.02855,0.756867,0,0,0,1.96163,6.96974,0.247152,1.63347,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",15.5353,0,0,0,0,0,0.0330909,0,1.02815,0.756867,0,0,0,2.73227,7.32996,0.327854,1.65046,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",14.2131,0,0,0,0,0,0.0330909,0,1.05931,0.756867,0,0,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",13.7624,0,0,0,0,0,0.0330909,0,1.10942,0.756867,0,0,0,2.24186,7.58459,0.529611,1.47614,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",12.0658,0,0,0,0,0,0.0330909,0,1.22575,0.756867,0,0,0,1.47122,6.72474,0.458996,1.3766,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",9.04553,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.910755,5.76204,0.317767,1.24959,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",7.48367,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.26895,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",7.11855,0,0,0,0,0,0.0330909,0,0.178552,0.756867,0,0,0,0.443701,4.27654,0.23202,1.19162,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",6.93094,0,0,0,0,0,0.0330909,0,0.348064,0.756867,0,0,0,0.35029,4.05412,0.226976,1.1569,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",7.18691,0,0,0,0,0,0.0330909,0,0.603228,0.756867,0,0,0,0.396996,4.04258,0.226976,1.12255,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",7.23934,0,0,0,0,0,0.0330909,0,0.820007,0.756867,0,0,0,0.490407,3.83942,0.23202,1.06289,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",7.89899,0,0,0,0,0,0.0330909,0,0.936157,0.756867,0,0,0,0.723934,4.16041,0.226976,1.05384,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",11.7816,0,0,0,0,0,0.0330909,0,2.65639,0.756867,0,0,0,0.980813,4.67234,0.221932,1.05892,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",10.6746,0,0,0,0,0,0.0330909,0,3.39929,0.756867,0,0,0,0.957461,5.01958,0.2068,1.21689,0,0.585314,1.45432,0.0416388,0,0,0,-2.99666
"MtrElec",1,3,9,"",-4.03799,0,0,0,0.0632513,0,0.0330909,0,1.89298,0.756867,0,0,0,0.793992,4.71994,0.181581,1.46903,0,0.614262,2.45266,0.0740246,0,0,0,-17.0897
