"",001
"Wed 31-Mar-21   1:16:30 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",11.7272,0,2.02273,0.658727,0,0,0.00661819,0,0.466621,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29902,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",10.1391,0,1.70543,0,0,0,0.00661819,0,0.375983,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24388,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",10.1994,0,2.0385,0,0,0,0.00661819,0,0.447593,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22193,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",10.6709,0,2.41705,0,0,0,0.00661819,0,0.53376,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",11.378,0,2.98111,0.162467,0,0,0.00661819,0,0.666284,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",11.6074,0,2.74166,0.140651,0,0,0.00661819,0,0.61066,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",11.8256,0,1.85613,0,0,0,0.00661819,0,0.408846,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.905,0,1.20685,0,0,0,0.00661819,0,0.263663,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-0.584201
"MtrElec",1,1,9,"",9.53583,0,0.817507,0,0,0,0.00661819,0,0.175616,0.756867,0,0,0,0.793992,4.71994,0.181581,1.4774,0,1.00958,0.98054,0.0740246,0,0,0,-1.45784
"MtrElec",1,1,10,"",6.93876,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42545,0,0.414151,5.67248,0.0740246,0,0,0,-6.81968
"MtrElec",1,1,11,"",6.75854,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40387,0,2.39589,3.48997,0.0709402,0,0,0,-6.77439
"MtrElec",1,1,12,"",4.24435,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.43185,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-7.87814
"MtrElec",1,1,13,"",-3.0967,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.45682,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-12.9073
"MtrElec",1,1,14,"",-3.23233,0,0.0293631,0,0.0418258,0,0.00661819,0,0.00613872,0.756867,0,0,0,0.490407,4.63842,0.055483,1.47086,0,0.217118,0.369024,0.0909886,0,0,0,-11.4054
"MtrElec",1,1,15,"",0.639845,0,0.0995012,0,0.0418258,0,0.00661819,0,0.0207964,0.756867,0,0,0,0.490407,4.86538,0.055483,1.44152,0,0.155865,0.673276,0.0956151,0,0,0,-8.0633
"MtrElec",1,1,16,"",5.95803,0,0.50361,0,0.0418258,0,0.00661819,0,0.106411,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49575,0,0.284372,0.208307,0.104868,0,0,0,-3.33509
"MtrElec",1,1,17,"",11.4894,0,0.944775,0,0,0,0.00661819,0,0.201098,0.756867,0,1.09188,0,0.723934,5.74202,0.0958344,1.43519,0,0.0879827,0.881776,0.140338,0,0,0,-0.618869
"MtrElec",1,1,18,"",12.5789,0,0.749896,0,0,0,0.00661819,0,0.159757,0.756867,0,1.09188,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",13.7402,0,0.691067,0,0,0,0.00661819,0,0.148492,0.756867,0,1.09188,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",16.9798,0,0.515511,0,0,0,0.00661819,0,0.110151,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.64419,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",15.541,0,0.501347,0,0,0,0.00661819,0,0.107092,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.59133,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",14.8429,0,0.742885,0,0,0,0.00661819,0,0.160196,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.52715,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",13.2273,0,1.18384,0,0,0,0.00661819,0,0.2592,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.37532,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",12.4643,0,1.89148,0,0,0,0.00661819,0,0.413995,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42508,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",11.5688,0,2.50919,0,0,0,0.00661819,0,0.549854,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.2422,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",12.5909,0,2.38335,0,0,0,0.00661819,0,0.520673,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.22403,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",12.6688,0,3.09715,0.40767,0,0,0.00661819,0,0.693423,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.18244,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",13.8708,0,3.57098,1.77664,0,0,0.00661819,0,0.823618,0.756867,0,1.09188,0,0.396996,4.04224,0.23202,1.16672,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",13.6797,0,3.53932,1.76078,0,0,0.00661819,0,0.816264,0.756867,0,1.09188,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
