"",001
"Wed 31-Mar-21   1:15:18 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",8.69808,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.41795,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",8.16329,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.34949,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",7.81312,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.32174,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",7.81558,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.28903,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",7.67138,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.24954,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",8.21491,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.24051,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",9.67166,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.27096,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.0479,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.37429,0,0.276577,2.39027,0.0416388,0,0,0,-0.0740979
"MtrElec",1,1,9,"",10.4505,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.54429,0,1.00958,0.98054,0.0740246,0,0,0,-0.750675
"MtrElec",1,1,10,"",13.6088,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.51779,0,0.414151,5.67248,0.0740246,0,0,0,-1.33384
"MtrElec",1,1,11,"",11.8342,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.49613,0,2.39589,3.48997,0.0709402,0,0,0,-1.79095
"MtrElec",1,1,12,"",10.6662,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.53572,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-1.56012
"MtrElec",1,1,13,"",8.42671,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.57022,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-1.49726
"MtrElec",1,1,14,"",6.53033,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.58661,0,0.217118,0.369024,0.0909886,0,0,0,-1.72303
"MtrElec",1,1,15,"",7.59615,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.56577,0,0.155865,0.673276,0.0956151,0,0,0,-1.11096
"MtrElec",1,1,16,"",8.07696,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.59438,0,0.284372,0.208307,0.104868,0,0,0,-0.704778
"MtrElec",1,1,17,"",9.88558,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.57808,0,0.0879827,0.881776,0.140338,0,0,0,-0.127859
"MtrElec",1,1,18,"",10.7089,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.66523,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.8973,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.77325,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",16.4526,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.74263,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",15.0439,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.70265,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",14.0464,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.63382,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.9278,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.51888,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",10.2475,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.5137,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",8.6389,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.37136,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",9.79216,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.32933,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",8.57256,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.28442,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",7.7937,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.396996,4.04224,0.23202,1.2609,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",7.66176,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.490407,3.85168,0.23202,1.22612,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",8.23007,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.723934,4.17266,0.186625,1.26988,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",9.21099,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.980813,4.75662,0.176537,1.41236,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",9.19872,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,1.09188,0,0.957461,5.11646,0.171493,1.53807,0,0,0,0.0385545,0,0,0,-0.520505
"MtrElec",1,2,9,"",9.04582,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,1.09188,0,0.793992,4.74336,0.166449,1.49582,0,0,0.628229,0.0400967,0,0,0,-0.719318
"MtrElec",1,2,10,"",6.94386,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.677228,4.45277,0.14123,1.39377,0,0.265345,0.253982,0.0339279,0,0,0,-1.07971
"MtrElec",1,2,11,"",6.20775,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.630523,4.50554,0.110966,1.36113,0,0.107274,0,0.0323858,0,0,0,-1.34537
"MtrElec",1,2,12,"",6.80632,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.38048,0,0,0.882056,0.0447232,0,0,0,-1.47126
"MtrElec",1,2,13,"",6.82689,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.51254,0.060527,1.42146,0,0.372554,0,0.0539763,0,0,0,-0.889884
"MtrElec",1,2,14,"",8.89618,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.61395,0.055483,1.39706,0,0,1.76392,0.0493497,0,0,0,-0.237468
"MtrElec",1,2,15,"",8.15566,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.7811,0.055483,1.41247,0,0.745026,0,0.0524341,0,0,0,-0.144743
"MtrElec",1,2,16,"",7.84026,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.60717,4.9234,0.060527,1.42827,0,0,0,0.0801933,0,0,0,-0.022777
"MtrElec",1,2,17,"",8.78664,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,5.56121,0.0958344,1.47623,0,0,0,0.177351,0,0,0,-0.0114051
"MtrElec",1,2,18,"",10.2923,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.02752,6.40183,0.186625,1.61523,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",15.3845,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.96163,6.96974,0.247152,1.7424,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",14.5696,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.73227,7.32996,0.327854,1.73939,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",13.2331,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.63885,7.6419,0.458996,1.66511,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",12.7452,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.24186,7.58459,0.529611,1.59479,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",10.9349,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.47122,6.72474,0.458996,1.49791,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",9.16448,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.910755,5.76204,0.317767,1.39502,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",7.58937,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.40112,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",7.05777,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.33585,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",6.7105,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.311,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",6.71448,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.27981,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",6.5721,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.24214,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",7.11877,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.23626,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",9.31031,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.980813,4.67234,0.221932,1.27054,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",9.90278,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.957461,5.01958,0.2068,1.37735,0,0.585314,1.45432,0.0416388,0,0,0,-0.545004
"MtrElec",1,3,9,"",9.93477,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.793992,4.71994,0.181581,1.54876,0,0.614262,2.45266,0.0740246,0,0,0,-1.25576
"MtrElec",1,3,10,"",7.30978,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.677228,4.53847,0.151317,1.52931,0,1.03593,0.364414,0.0740246,0,0,0,-1.86623
"MtrElec",1,3,11,"",6.91298,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.50706,0,0.153917,1.32043,0.0709402,0,0,0,-2.31163
"MtrElec",1,3,12,"",7.07798,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.54097,0,0.557711,1.39571,0.0848198,0,0,0,-2.51332
"MtrElec",1,3,13,"",6.10068,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.57609,0,0.589505,0.448594,0.0971573,0,0,0,-2.46791
"MtrElec",1,3,14,"",6.52373,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.60038,0,0.189473,0.88202,0.0909886,0,0,0,-2.22875
"MtrElec",1,3,15,"",6.49764,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.5847,0,0.372539,0,0.0956151,0,0,0,-1.77178
"MtrElec",1,3,16,"",8.48591,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.61083,0,0,1.292,0.104868,0,0,0,-1.1116
"MtrElec",1,3,17,"",9.80641,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.60405,0,0.545702,0.472187,0.140338,0,0,0,-0.322959
"MtrElec",1,3,18,"",10.5615,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.69082,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",11.9137,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.78968,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",13.2644,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.75998,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",13.7625,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.72248,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",12.8224,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,2.24186,7.42686,0.494303,1.65459,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",11.9558,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.54685,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",10.2644,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.53061,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",8.71094,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.43081,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",8.17416,0,0,0,0,0,0.00661819,0,0,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.36036,0,0,0,0.00616872,0,0,0,0
