16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-02-16 17:29:01"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-iaq\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,5.79341,0,0.221825,0,0.00969839,0,0.385211,0.735811,1.11052,0,0,0,8.25648,0,0,0,0,0.0392335,0,0,0.0299892,0,0,0.0692227,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,6.16203,0,0.221825,0,0.00969839,0,0.318218,0.728825,1.0505,0,0,0,8.4911,0,0,0,0,0.045511,0,0,0.0283681,0,0,0.0738791,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,6.70454,0,0.221825,0,0.00969839,0,0.251224,0.725332,1.02048,0,0,0,8.9331,0,0,0,0,0.0645319,0,0,0.0275576,0,0,0.0920895,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,6.70753,0,0.221825,0,0.00969839,0,0.28472,0.725332,1.02048,0,0,0,8.96958,0,0,0,0,0.171062,0,0,0.0275576,0,0,0.19862,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,6.52143,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,8.78347,0,0,0,0,0.190084,0,0,0.0259366,0,0,0.216021,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,4.95149,0,0.221825,0,0.00969839,0,0.519197,0.732318,1.08051,0,0,0,7.51504,0,0,0,0,0.552355,0,0,0.0291787,0,0,0.581534,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,3.95921,0,0.221825,0,0.00969839,0,0.703426,0.753275,1.26059,0,0,0,6.90803,0,0,0,0,0.228502,0,0,0.0340418,0,0,0.262544,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,3.71935,0,0.221825,0,0.00969839,0,0.686679,0.760261,1.32062,0,0,0,6.71844,0,0,0,0,0.298826,0,0,0.0356628,0,0,0.334489,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,2.96298,0,0.221825,0,0.00969839,0,0.56944,0.735811,1.11052,0,0,0,5.61028,0,0,0,0,0.210089,0,0,0.0299892,0,0,0.240078,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,1.99064,0,0.221825,0,0.00969839,0,0.4857,0.718346,0.960451,0,0,0,4.38666,0,0,0,0,0.452382,0,0,0.0259366,0,0,0.478319,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,1.18472,0,0.221825,0,0.00969839,0,0.452204,0.721839,0.990466,0,0,0,3.58075,0,0,0,0,0.277806,0,0,0.0267471,0,0,0.304553,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.542024,0,0.221825,0,0.00969839,0,0.418708,0.721839,0.990466,0,0,0,2.90456,0,0,0,0,0.194663,0,0,0.0267471,0,0,0.22141,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.523897,0,0.221825,0,0.00969839,0,0.351715,0.718346,0.960451,0,0,0,2.78593,0,0,0,0,0.160934,0,0,0.0259366,0,0,0.186871,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.634525,0,0.221825,0,0.00969839,0,0.351715,0.721839,0.990466,0,0,0,2.93007,0,0,0,0,0.0722577,0,0,0.0267471,0,0,0.0990048,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
1,1,15,1.0177,0,0.221825,0,0.00969839,0,0.351715,0.728825,1.0505,0,0,0,3.38026,0,0,0,0,0.135987,0,0,0.0283681,0,0,0.164355,0,0,0,0,0,0,0,0,0,0,0,26.7213,352.219,0,0.000166712,0.004509,
