"",002
"Tue 16-Feb-21   5:30:16 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",13.7138,0,3.07061,1.33187,0,0,0.0330909,0,0.706876,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29782,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",15.0648,0,4.08844,1.94308,0,0,0.0330909,0,0.950074,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24296,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",15.3757,0,4.44546,2.15583,0,0,0.0330909,0,1.03478,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",16.1172,0,4.88143,2.34723,0,0,0.0330909,0,1.14201,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",17.1162,0,5.60159,2.59499,0,0,0.0330909,0,1.32504,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",17.362,0,5.43524,2.50387,0,0,0.0330909,0,1.28198,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",17.1876,0,4.45694,2.10567,0,0,0.0330909,0,1.03792,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.9929,0,2.86466,0.769396,0,0,0.0330909,0,0.647383,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-3.33379
"MtrElec",1,1,9,"",5.87307,0,1.89572,0,0.0256231,0,0.0330909,0,0.411728,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-7.57844
"MtrElec",1,1,10,"",-1.96766,0,0.191752,0,0.0256231,0,0.0330909,0,0.0405186,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-15.9677
"MtrElec",1,1,11,"",-7.41031,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40295,0,2.39589,3.48997,0.0709402,0,0,0,-20.9526
"MtrElec",1,1,12,"",-15.6797,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.43435,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-27.8149
"MtrElec",1,1,13,"",-18.8738,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.46629,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-28.7041
"MtrElec",1,1,14,"",-19.4741,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.48626,0,0.217118,0.369024,0.0909886,0,0,0,-27.6374
"MtrElec",1,1,15,"",-4.75086,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.46414,0,0.155865,0.673276,0.0956151,0,0,0,-13.3666
"MtrElec",1,1,16,"",2.53729,0,0,0,0.0256231,0,0.0330909,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.51693,0,0.284372,0.208307,0.104868,0,0,0,-6.17726
"MtrElec",1,1,17,"",9.32595,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.46663,0,0.0879827,0.881776,0.140338,0,0,0,-0.602522
"MtrElec",1,1,18,"",10.633,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.56282,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.8553,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.70479,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.311,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.66639,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",13.8911,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.61528,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",12.8957,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.24186,7.42686,0.494303,1.54852,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",10.7445,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.47122,6.63975,0.428733,1.401,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",10.199,0,0,0,0,0,0.0330909,0,0,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.43874,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",9.23673,0,0.564782,0,0,0,0.0330909,0,0.121484,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.25645,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",10.5819,0,0.709874,0,0,0,0.0330909,0,0.152437,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.23026,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",9.69328,0,0.980977,0,0,0,0.0330909,0,0.211834,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.18586,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",8.07584,0,1.18564,0,0,0,0.0330909,0,0.254783,0.756867,0,0,0,0.396996,4.04224,0.23202,1.16803,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",8.307,0,1.4901,0,0,0,0.0330909,0,0.318883,0.756867,0,0,0,0.490407,3.85168,0.23202,1.12779,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",8.51508,0,1.20437,0,0,0,0.0330909,0,0.256523,0.756867,0,0,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.79304,0,0.605232,0,0,0,0.0330909,0,0.127835,0.756867,0,0,0,0.980813,4.75662,0.176537,1.32675,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",9.65092,0,0.909659,0,0,0,0.0330909,0,0.19262,0.756867,0,0,0,0.957461,5.11646,0.171493,1.47471,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",10.4787,0,1.63272,0,0,0,0.0330909,0,0.349388,0.756867,0,0,0,0.793992,4.74336,0.166449,1.42486,0,0,0.628229,0.0400967,0,0,0,-0.090331
"MtrElec",1,2,10,"",9.28535,0,1.95658,0,0,0,0.0330909,0,0.420671,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-1.00943
"MtrElec",1,2,11,"",4.74205,0,1.93234,0,0,0,0.0330909,0,0.414408,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-5.04887
"MtrElec",1,2,12,"",6.48492,0,1.78958,0,0,0,0.0330909,0,0.382104,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-3.85335
