"",001
"Tue 16-Feb-21   5:33:38 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",13.1355,0,3.93313,0,0,0,0.00661819,0,0.878931,0.504578,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",12.9237,0,4.18293,0,0,0,0.00661819,0,0.936288,0.504578,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",12.7236,0,4.30055,0,0,0,0.00661819,0,0.96215,0.504578,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",12.792,0,4.35166,0,0,0,0.00661819,0,0.972487,0.504578,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",12.4543,0,4.20302,0,0,0,0.00661819,0,0.935452,0.504578,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",12.5876,0,3.86805,0,0,0,0.00661819,0,0.857348,0.504578,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",13.4218,0,3.36873,0,0,0,0.00661819,0,0.744809,0.504578,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",15.4374,0,3.00565,0,0,0,0.00661819,0,0.665332,0.504578,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",14.7627,0,3.50747,0,0,0,0.00661819,0,0.776569,0.504578,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.361004
"MtrElec",1,1,10,"",17.8746,0,3.16802,0,0,0,0.00661819,0,0.691058,0.504578,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.53977
"MtrElec",1,1,11,"",14.7621,0,1.793,0,0,0,0.00661819,0,0.384467,0.504578,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-1.74431
"MtrElec",1,1,12,"",13.4703,0,2.77069,0,0,0,0.00661819,0,0.600785,0.504578,0,1.09188,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-2.81556
"MtrElec",1,1,13,"",10.4884,0,3.57688,0,0,0,0.00661819,0,0.785917,0.504578,0,1.09188,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-4.47551
"MtrElec",1,1,14,"",3.89453,0,3.25871,0,0.0418258,0,0.00661819,0,0.713249,0.504578,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-7.95852
"MtrElec",1,1,15,"",7.36325,0,3.18955,0,0.0418258,0,0.00661819,0,0.697314,0.504578,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-4.8526
"MtrElec",1,1,16,"",8.88243,0,2.93441,0,0,0,0.00661819,0,0.638978,0.504578,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-3.07987
