16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-01-28 18:47:28"
Cond. Area:,,,7320
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-tier1\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.00969839,0,0.157419,0.378693,1.36223,0.0680012,0,0,2.19786,0,0,0,0,0.0286391,0,0,0.00143269,0,0,0.0300718,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.00969839,0,0.130041,0.359557,1.25338,0.0680012,0,0,2.04251,0,0,0,0,0.0286566,0,0,0.00114615,0,0,0.0298028,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.00969839,0,0.102664,0.350263,1.18819,0.0665229,0,0,1.93917,0,0,0,0,0.0302937,0,0,0.000859615,0,0,0.0311533,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.00969839,0,0.116353,0.340143,1.18481,0.0665229,0,0,1.93935,0,0,0,0,0.0286216,0,0,0.000859615,0,0,0.0294812,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.00969839,0,0.14373,0.322816,1.12527,0.0680012,0,0,1.89134,0,0,0,0,0.0302714,0,0,0.000859615,0,0,0.031131,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.00969839,0,0.212173,0.319587,1.21935,0.0665229,0,0,2.04915,0,0,0,0,0.452171,0,0,0.00143269,0,0,0.453604,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,0.267232,0,0.221825,0,0.00969839,0,0.28746,0.514819,1.36938,0.0650445,0,0,2.73546,0.394391,0,0,0,0.240927,0,0,0.00286538,0,0,0.638183,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,0.638517,0,0.221825,0,0.00969839,0,0.280616,1.15203,1.47115,0.0606096,0,0,3.83445,0.942347,0,0,0,0.387472,0,0,0.0649113,0,0,1.39473,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,0.306618,0,0.221825,0,0.0254303,0,0.232706,1.03658,1.38334,0.0532183,-0.0956281,0,3.16408,0.452517,0,0,0,0.289916,0,0,0.222457,0,0,0.96489,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,0.171671,0,0.221825,0,0.0254303,0,0.198484,2.2231,1.33015,0.0443485,-0.44471,0,3.7703,0.253358,0,0,0,0.429019,0,0,0.0993683,0,0,0.781745,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,0.0570876,0,0.221825,0,0.0254303,0,0.184796,2.15679,1.35269,0.0354789,-0.571099,0,3.463,0.0842521,0,0,0,0.261726,0,0,0.508466,0,0,0.854444,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.0597825,0,0.221825,0,0.0254303,0,0.171107,1.78913,1.33126,0.0236526,-0.285142,0,3.33705,0.0882294,0,0,0,0.169276,0,0,0.320482,0,0,0.577987,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.0505657,0,0.221825,0,0.0254303,0,0.14373,1.15655,1.31917,0.0177394,-0.446756,0,2.48825,0.0746268,0,0,0,0.12929,0,0,0.0214245,0,0,0.225341,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.0461383,0,0.221825,0,0.0254303,0,0.14373,0.628297,1.35944,0.0162611,-0.312606,0,2.12852,0.0680924,0,0,0,0.0577748,0,0,0.061789,0,0,0.187656,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
