16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-01-28 18:48:33"
Cond. Area:,,,7320
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-tier1\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.52615,0,0.221825,0,0.00969839,0,0.157419,0.381987,1.36223,0.0680012,0,0,4.72731,0,0,0,0,0.0286391,0,0,0.00143269,0,0,0.0300718,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,2.79217,0,0.221825,0,0.00969839,0,0.130041,0.36609,1.25338,0.0680012,0,0,4.8412,0,0,0,0,0.0286566,0,0,0.00114615,0,0,0.0298028,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,2.68854,0,0.221825,0,0.00969839,0,0.102664,0.359448,1.18819,0.0665229,0,0,4.63689,0,0,0,0,0.0302937,0,0,0.000859615,0,0,0.0311533,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,2.67949,0,0.221825,0,0.00969839,0,0.116353,0.351165,1.18481,0.0665229,0,0,4.62987,0,0,0,0,0.0286216,0,0,0.000859615,0,0,0.0294812,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,2.67032,0,0.221825,0,0.00969839,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.57615,0,0,0,0,0.0302714,0,0,0.000859615,0,0,0.031131,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,2.62307,0,0.221825,0,0.00969839,0,0.212173,0.336389,1.21935,0.0665229,0,0,4.68902,0,0,0,0,0.452171,0,0,0.00143269,0,0,0.453604,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,2.49268,0,0.221825,0,0.00969839,0,0.28746,0.536381,1.36938,0.0650445,0,0,4.98247,0,0,0,0,0.240927,0,0,0.00286538,0,0,0.243792,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,2.20195,0,0.221825,0,0.00969839,0,0.280616,1.16633,1.47115,0.0606096,0,0,5.41219,0,0,0,0,0.387472,0,0,0.0649113,0,0,0.452383,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,1.87832,0,0.221825,0,0.0254303,0,0.232706,1.03783,1.38334,0.0532183,-1.70726,0,3.1254,0,0,0,0,0.289916,0,0,0.222457,0,0,0.512373,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,1.07855,0,0.221825,0,0.0254303,0,0.198484,2.2231,1.33015,0.0443485,-7.93948,0,-2.81759,0,0,0,0,0.429019,0,0,0.0993683,0,0,0.528387,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,0.401828,0,0.221825,0,0.0254303,0,0.184796,2.15679,1.35269,0.0354789,-10.1959,0,-5.81709,0,0,0,0,0.261726,0,0,0.508466,0,0,0.770192,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,0.201732,0,0.221825,0,0.0254303,0,0.171107,1.78952,1.33126,0.0236526,-5.09068,0,-1.32616,0,0,0,0,0.169276,0,0,0.320482,0,0,0.489758,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,0.074783,0,0.221825,0,0.0254303,0,0.14373,1.15724,1.31917,0.0177394,-7.97597,0,-5.01605,0,0,0,0,0.12929,0,0,0.0214245,0,0,0.150714,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,0.0927993,0,0.221825,0,0.0254303,0,0.14373,0.628696,1.35944,0.0162611,-5.58101,0,-3.09282,0,0,0,0,0.0577748,0,0,0.061789,0,0,0.119564,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
