"",001
"Thu 28-Jan-21   6:51:34 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",29.6723,0,11.7265,6.03197,0,0,0.00661819,0,3.33805,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",30.5405,0,11.7612,7.37248,0,0,0.00661819,0,3.35012,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",28.8592,0,11.7689,6.02702,0,0,0.00661819,0,3.35012,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",29.9645,0,11.768,7.12624,0,0,0.00661819,0,3.35012,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",29.6727,0,11.772,6.98256,0,0,0.00661819,0,3.35012,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",27.302,0,11.7773,4.06025,0,0,0.00661819,0,3.35006,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",28.438,0,11.698,3.85367,0,0,0.00661819,0,3.32577,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",30.4164,0,11.4558,3.69254,0,0,0.00661819,0,3.24931,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",28.3497,0,11.3162,2.78692,0,0,0.00661819,0,3.20478,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.0501547
"MtrElec",1,1,10,"",30.8661,0,10.6546,2.5864,0,0,0.00661819,0,2.99984,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.18242
"MtrElec",1,1,11,"",28.6106,0,9.39162,2.21563,0,0,0.00661819,0,2.61279,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.190714
"MtrElec",1,1,12,"",29.2626,0,10.6021,2.77005,0,0,0.00661819,0,2.98696,0.756867,0,1.09188,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.26322
"MtrElec",1,1,13,"",29.9862,0,11.7622,4.33083,0,0,0.00661819,0,3.34894,0.756867,0,1.09188,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.309218
