16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-01-28 19:04:29"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrgs-low-tier2\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.59217,0,0.221825,0,0.00193968,0,0.157419,0.38262,1.36223,0.0680012,0,0,3.7862,0,0,0,0,0.0268638,0,0,0.00143269,0,0,0.0282965,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,2.09377,0,0.221825,0,0.00193968,0,0.130041,0.366107,1.25338,0.0680012,0,0,4.13507,0,0,0,0,0.0326182,0,0,0.00114615,0,0,0.0337644,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,2.28419,0,0.221825,0,0.00193968,0,0.102664,0.359448,1.18819,0.0665229,0,0,4.22479,0,0,0,0,0.0500534,0,0,0.000859615,0,0,0.050913,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,2.61532,0,0.221825,0,0.00193968,0,0.116353,0.351165,1.18481,0.0665229,0,0,4.55794,0,0,0,0,0.147707,0,0,0.000859615,0,0,0.148567,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,2.98452,0,0.221825,0,0.00193968,0,0.14373,0.3373,1.12527,0.0680012,0,0,4.88258,0,0,0,0,0.165143,0,0,0.000859615,0,0,0.166003,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,3.03668,0,0.221825,0,0.00193968,0,0.212173,0.336389,1.21935,0.0665229,0,0,5.09488,0,0,0,0,0.485457,0,0,0.00143269,0,0,0.48689,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,2.83125,0,0.221825,0,0.00193968,0,0.28746,0.536381,1.36938,0.0650445,0,0,5.31328,0,0,0,0,0.197511,0,0,0.00286538,0,0,0.200376,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,2.36894,0,0.221825,0,0.00193968,0,0.280616,1.16633,1.47115,0.0606096,-0.0333335,0,5.53808,0,0,0,0,0.265278,0,0,0.0649113,0,0,0.330189,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,1.96712,0,0.221825,0,0.00193968,0,0.232706,1.03783,1.38334,0.0532183,-0.108267,0,4.78971,0,0,0,0,0.182026,0,0,0.222457,0,0,0.404483,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,1.01828,0,0.221825,0,0.0141981,0,0.198484,2.2231,1.33015,0.0443485,-0.183576,0,4.86681,0,0,0,0,0.391532,0,0,0.0993683,0,0,0.4909,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,0.350972,0,0.221825,0,0.0141981,0,0.184796,2.15679,1.35269,0.0354789,-0.290771,0,4.02598,0,0,0,0,0.233074,0,0,0.508466,0,0,0.74154,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,0,0,0.221825,0,0.0141981,0,0.171107,1.78978,1.33126,0.0236526,-0.539522,0,3.0123,0,0,0,0,0.142938,0,0,0.320482,0,0,0.46342,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0,0,0.221825,0,0.0141981,0,0.14373,1.1587,1.31917,0.0177394,-0.579689,0,2.29567,0,0,0,0,0.106619,0,0,0.0214245,0,0,0.128043,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.221825,0,0.0141981,0,0.14373,0.631823,1.35944,0.0162611,-0.456527,0,1.93075,0,0,0,0,0.0443043,0,0,0.061789,0,0,0.106093,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
