"",001
"Thu 04-Feb-21  10:33:11 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.8631,0,4.68332,1.52523,0,0,0.00661819,0,1.07878,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",12.5772,0,3.70305,0,0,0,0.00661819,0,0.817427,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",12.3237,0,3.77677,0,0,0,0.00661819,0,0.833737,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",12.7797,0,4.13931,0,0,0,0.00661819,0,0.92032,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",13.5862,0,4.70634,0.251441,0,0,0.00661819,0,1.06037,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",13.7401,0,4.40677,0.229018,0,0,0.00661819,0,0.989851,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",13.6997,0,3.38897,0,0,0,0.00661819,0,0.75012,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",14.2084,0,2.2754,0,0,0,0.00661819,0,0.498465,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-0.584201
"MtrElec",1,1,9,"",10.7141,0,1.78681,0,0,0,0.00661819,0,0.385021,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-1.45784
"MtrElec",1,1,10,"",7.64355,0,0.58301,0,0.0418258,0,0.00661819,0,0.122691,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-6.81968
"MtrElec",1,1,11,"",6.77353,0,0.0138135,0,0.0418258,0,0.00661819,0,0.00288716,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-6.77439
"MtrElec",1,1,12,"",4.93208,0,0.57117,0,0.0418258,0,0.00661819,0,0.120646,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42777,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-7.87814
"MtrElec",1,1,13,"",-1.99598,0,0.912684,0,0.0418258,0,0.00661819,0,0.192771,0.756867,0,0,0,0.490407,4.501,0.060527,1.45209,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-12.9073
