"",002
"Tue 16-Feb-21   5:26:15 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",20.9711,0,7.11226,3.49771,0,0,0.0330909,0,1.75888,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",20.8082,0,7.25084,3.67948,0,0,0.0330909,0,1.79468,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",20.4818,0,7.22162,3.73549,0,0,0.0330909,0,1.78506,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",20.6685,0,7.27976,3.84222,0,0,0.0330909,0,1.79993,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",17.0884,0,7.03188,0.776231,0,0,0.0330909,0,1.68576,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",15.0933,0,5.64498,0,0,0,0.0330909,0,1.3074,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",15.2765,0,4.63527,0,0,0,0.0330909,0,1.05412,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",17.7141,0,4.61507,0,0,0,0.0330909,0,1.05387,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",11.1392,0,4.39509,0,0,0,0.0330909,0,1.00095,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-5.37525
"MtrElec",1,1,10,"",5.19934,0,2.86125,0,0.0469563,0,0.0330909,0,0.632978,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-13.1759
"MtrElec",1,1,11,"",8.27845,0,1.55405,0,0.0469563,0,0.0330909,0,0.336293,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-8.2666
"MtrElec",1,1,12,"",14.1015,0,3.401,0,0,0,0.0330909,0,0.759321,0.756867,0,1.09188,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-3.25198
"MtrElec",1,1,13,"",-3.75238,0,4.03354,0,0.0469563,0,0.0330909,0,0.910506,0.756867,0,1.09188,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-19.6233
"MtrElec",1,1,14,"",-1.33291,0,3.88981,0,0.0469563,0,0.0330909,0,0.876584,0.756867,0,1.09188,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-15.3562
"MtrElec",1,1,15,"",0.875067,0,3.26752,0,0.0469563,0,0.0330909,0,0.728024,0.756867,0,1.09188,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-12.8252
"MtrElec",1,1,16,"",11.5238,0,4.04171,0,0.0469563,0,0.0330909,0,0.914232,0.756867,0,1.09188,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-3.23868
"MtrElec",1,1,17,"",19.019,0,4.8105,2.08454,0,0,0.0330909,0,1.13506,0.756867,0,1.09188,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,0
"MtrElec",1,1,18,"",20.0706,0,4.85912,2.36233,0,0,0.0330909,0,1.15347,0.756867,0,1.09188,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",20.7226,0,4.50638,2.2232,0,0,0.0330909,0,1.06591,0.756867,0,1.09188,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",22.5243,0,3.56649,1.73649,0,0,0.0330909,0,0.840736,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",22.5509,0,4.47055,2.05781,0,0,0.0330909,0,1.06501,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",22.5357,0,5.06604,2.28588,0,0,0.0330909,0,1.22,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",22.3855,0,6.21477,2.84513,0,0,0.0330909,0,1.51848,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",22.1717,0,7.00444,3.24908,0,0,0.0330909,0,1.73407,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",21.3969,0,7.48835,3.50289,0,0,0.0330909,0,1.86953,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.24213,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",23.0992,0,7.86491,3.54245,0,0,0.0330909,0,1.97854,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.22403,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",23.3265,0,8.82045,3.74335,0,0,0.0330909,0,2.26567,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.18244,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",22.4886,0,8.75618,3.75895,0,0,0.0330909,0,2.24744,0.756867,0,1.09188,0,0.396996,4.04224,0.23202,1.16672,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",21.5332,0,8.14644,3.73598,0,0,0.0330909,0,2.06098,0.756867,0,1.09188,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",20.8354,0,7.39471,3.45219,0,0,0.0330909,0,1.84247,0.756867,0,1.09188,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",20.7388,0,6.78319,3.13213,0,0,0.0330909,0,1.67165,0.756867,0,1.09188,0,0.980813,4.75662,0.176537,1.32675,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",21.4691,0,6.93063,3.18471,0,0,0.0330909,0,1.71324,0.756867,0,1.09188,0,0.957461,5.11646,0.171493,1.47471,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",17.6876,0,7.20866,3.20725,0,0,0.0330909,0,1.79533,0.756867,0,1.09188,0,0.793992,4.74336,0.166449,1.42486,0,0,0.628229,0.0400967,0,0,0,-4.20245
"MtrElec",1,2,10,"",12.9473,0,7.17338,3.10094,0.0469563,0,0.0330909,0,1.7892,0.756867,0,1.09188,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-8.17254
"MtrElec",1,2,11,"",21.0908,0,7.97777,3.49424,0,0,0.0330909,0,2.01613,0.756867,0,1.09188,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-0.933393
"MtrElec",1,2,12,"",15.2036,0,6.80981,3.14742,0,0,0.0330909,0,1.67892,0.756867,0,1.09188,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-5.69102
