"",001
"Tue 16-Feb-21   5:38:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",13.3457,0,3.89828,0,0,0,0.00661819,0,0.871673,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",13.125,0,4.14077,0,0,0,0.00661819,0,0.927457,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",12.9152,0,4.25031,0,0,0,0.00661819,0,0.951658,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",12.9763,0,4.29543,0,0,0,0.00661819,0,0.96079,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",12.6346,0,4.14323,0,0,0,0.00661819,0,0.923323,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",12.7642,0,3.80534,0,0,0,0.00661819,0,0.84436,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",13.5943,0,3.30281,0,0,0,0.00661819,0,0.730853,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",15.6025,0,2.93367,0,0,0,0.00661819,0,0.650099,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",14.934,0,3.44062,0,0,0,0.00661819,0,0.762379,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-0.361004
"MtrElec",1,1,10,"",18.0459,0,3.10134,0,0,0,0.00661819,0,0.676745,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.53977
"MtrElec",1,1,11,"",14.9458,0,1.73645,0,0,0,0.00661819,0,0.372367,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-1.74431
"MtrElec",1,1,12,"",13.6642,0,2.72254,0,0,0,0.00661819,0,0.590555,0.756867,0,1.09188,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-2.81556
"MtrElec",1,1,13,"",10.7015,0,3.54391,0,0,0,0.00661819,0,0.779631,0.756867,0,1.09188,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-4.47551
"MtrElec",1,1,14,"",4.13748,0,3.24989,0,0.0418258,0,0.00661819,0,0.71274,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-7.95852
"MtrElec",1,1,15,"",7.58872,0,3.16648,0,0.0418258,0,0.00661819,0,0.693562,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-4.8526
"MtrElec",1,1,16,"",9.09406,0,2.9,0,0,0,0.00661819,0,0.63273,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-3.07987
