"",002
"Fri 05-Feb-21  11:19:03 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5016,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.86352,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.08,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.58828,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.4809,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.46576,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.4898,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.31467,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7236,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.05783,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.2171,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.00378,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.7582,0,0,0,0,0,0.0763637,0,0.730251,6.31333,0,0,0,5.09231,22.1548,0.837808,5.05596,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",74.2201,0,15.2755,0,0,0,0.0763637,0,10.2064,6.31333,0,0,0,5.61357,24.2696,0.780684,5.59561,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",61.1746,0,11.0534,0,0,0,0.0763637,0,4.98472,6.31333,0,0,0,4.90493,22.8832,0.685479,6.71453,0,2.23681,3.41576,0.338707,0,0,0,-2.43262
"MtrElec",1,1,10,"",54.33,0,5.79739,0,0,0,0.0763637,0,2.9112,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-10.9433
"MtrElec",1,1,11,"",32.226,0,4.77293,0,0,0,0.0763637,0,2.03885,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-31.4393
"MtrElec",1,1,12,"",3.70618,0,4.29955,0,0,0,0.0763637,0,2.00458,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-51.7079
"MtrElec",1,1,13,"",9.04071,0,3.57952,0,0,0,0.0763637,0,1.93621,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-44.6739
"MtrElec",1,1,14,"",20.4156,0,2.58249,0,0,0,0.0763637,0,1.81436,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-26.747
"MtrElec",1,1,15,"",13.0633,0,2.42914,0,0,0,0.0763637,0,1.61479,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-35.1854
"MtrElec",1,1,16,"",19.1506,0,2.3276,0,0,0,0.0763637,0,1.34201,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-30.9486
"MtrElec",1,1,17,"",42.6139,0,2.41096,0,0,0,0.0763637,0,0.98291,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-15.6407
"MtrElec",1,1,18,"",66.0971,0,2.7374,0,0,0,0.0763637,0,1.13292,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98545,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",69.2221,0,2.99544,0,0,0,0.0763637,0,1.20746,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.676,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",77.7263,0,2.0708,0.110378,0,0,0.0763637,0,0.989927,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.49402,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",73.2801,0,2.55331,1.16354,0,0,0.0763637,0,1.52878,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24725,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",74.07,0,2.9782,1.2595,0,0,0.0763637,0,2.10879,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94551,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",67.056,0,4.93356,1.96826,0,0,0.0763637,0,3.15884,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.388,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",40.4279,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.59521,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",40.9189,0,0.28224,0.0872149,0,0,0.0763637,0,0.0618589,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.45509,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",38.2881,0,0.932881,0.288442,0,0,0.0763637,0,0.204583,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.21127,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",38.1719,0,1.81893,0.527559,0,0,0.0763637,0,0.529832,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.10054,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",39.6828,0,3.06158,0.901271,0,0,0.0763637,0,1.13831,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,4.85486,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",250.392,0,91.9501,98.3361,0,0,0.0763637,0,22.3957,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,4.90641,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",123.15,0,44.2902,19.337,0,0,0.0763637,0,15.6656,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.71807,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",146.878,0,49.0214,26.5641,0,0,0.0763637,0,21.9226,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.56223,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",87.8266,0,25.9564,9.93833,0,0,0.0763637,0,11.6889,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.46231,1.3606,0,1.75036,0.183466,0,0,0,-15.2876
"MtrElec",1,2,10,"",31.1371,0,19.4627,7.72839,0,0,0.0763637,0,8.72929,6.31333,0,1.22837,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-60.4826
"MtrElec",1,2,11,"",24.3075,0,15.3004,6.57587,0,0,0.0763637,0,6.86059,6.31333,0,1.22837,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-58.6388
"MtrElec",1,2,12,"",24.8789,0,11.5824,5.3016,0,0,0.0763637,0,5.40226,6.31333,0,1.22837,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-51.4454
