"",002
"Fri 05-Feb-21  11:19:06 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5047,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.86658,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.0849,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.59317,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.4853,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.47017,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.4948,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.31968,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7296,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.0638,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.2232,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.00993,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.8501,0,0,0,0,0,0.0763637,0,0.815285,6.31333,0,0,0,5.09231,22.1548,0.837808,5.06285,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",73.9358,0,15.3289,0,0,0,0.0763637,0,9.8596,6.31333,0,0,0,5.61357,24.2696,0.780684,5.60474,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",61.1224,0,11.0798,0,0,0,0.0763637,0,4.90413,6.31333,0,0,0,4.90493,22.8832,0.685479,6.71657,0,2.23681,3.41576,0.338707,0,0,0,-2.43262
"MtrElec",1,1,10,"",54.4465,0,5.95104,0,0,0,0.0763637,0,2.87405,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-10.9433
"MtrElec",1,1,11,"",32.4233,0,4.90834,0,0.143133,0,0.0763637,0,1.95768,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-31.4393
"MtrElec",1,1,12,"",3.89534,0,4.41842,0,0.143133,0,0.0763637,0,1.93174,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-51.7079
"MtrElec",1,1,13,"",9.22924,0,3.69457,0,0.143133,0,0.0763637,0,1.86655,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-44.6739
"MtrElec",1,1,14,"",20.6118,0,2.70758,0,0.143133,0,0.0763637,0,1.74237,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-26.747
"MtrElec",1,1,15,"",13.281,0,2.5452,0,0.143133,0,0.0763637,0,1.57332,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-35.1854
"MtrElec",1,1,16,"",19.3552,0,2.42985,0,0.143133,0,0.0763637,0,1.30119,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-30.9486
"MtrElec",1,1,17,"",42.8086,0,2.49095,0,0.143133,0,0.0763637,0,0.954519,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-15.6407
"MtrElec",1,1,18,"",66.2282,0,2.87692,0,0,0,0.0763637,0,1.12266,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98726,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",69.3426,0,3.14909,0,0,0,0.0763637,0,1.1722,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67812,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",77.873,0,2.2136,0.117526,0,0,0.0763637,0,0.984663,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.49607,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",73.3531,0,2.70904,1.23478,0,0,0.0763637,0,1.37122,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.25082,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",74.1694,0,3.14866,1.33183,0,0,0.0763637,0,1.96361,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94731,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",67.2276,0,5.16664,2.06124,0,0,0.0763637,0,3.00433,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.652,0,0.165432,0.0624078,0,0,0.0763637,0,0.0361378,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",41.1805,0,0.482239,0.159752,0,0,0.0763637,0,0.105661,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.60016,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",42.0304,0,1.00344,0.310608,0,0,0.0763637,0,0.220305,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.4635,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",39.0273,0,1.40824,0.436159,0,0,0.0763637,0,0.309355,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.22262,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",38.6825,0,2.1632,0.629859,0,0,0.0763637,0,0.579904,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.11445,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",39.9661,0,3.25443,0.95791,0,0,0.0763637,0,1.15423,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,4.87276,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",251.046,0,93.1311,97.5372,0,0,0.0763637,0,22.6446,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,4.93001,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",123.071,0,44.7938,19.5123,0,0,0.0763637,0,14.8859,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.73943,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",148.154,0,50.1794,26.9591,0,0,0.0763637,0,21.6431,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.56425,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",88.7583,0,26.8053,10.2626,0,0,0.0763637,0,11.4455,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.46422,1.3606,0,1.75036,0.183466,0,0,0,-15.2876
"MtrElec",1,2,10,"",31.9646,0,20.0814,7.97291,0.143133,0,0.0763637,0,8.55047,6.31333,0,1.22837,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-60.4826
"MtrElec",1,2,11,"",25.1193,0,15.838,6.80652,0.143133,0,0.0763637,0,6.76099,6.31333,0,1.22837,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-58.6388
"MtrElec",1,2,12,"",25.6809,0,12.0768,5.52772,0.143133,0,0.0763637,0,5.34055,6.31333,0,1.22837,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-51.4454
"MtrElec",1,2,13,"",-80.7819,0,10.2791,1.05513,0.143133,0,0.0763637,0,3.86541,6.31333,0,1.22837,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-149.666
"MtrElec",1,2,14,"",-39.4986,0,7.27379,0,0.143133,0,0.0763637,0,2.43338,6.31333,0,1.22837,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-109.984
"MtrElec",1,2,15,"",-21.2881,0,6.09561,0,0.143133,0,0.0763637,0,1.73821,6.31333,0,1.22837,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-85.2036
"MtrElec",1,2,16,"",13.4822,0,6.36234,0,0.143133,0,0.0763637,0,2.10146,6.31333,0,1.22837,0,11.6342,28.0067,0.228493,6.10705,0,0,0,0.366933,0,0,0,-49.0862
"MtrElec",1,2,17,"",48.4187,0,7.41121,0,0.143133,0,0.0763637,0,2.31246,6.31333,0,1.22837,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-19.583
"MtrElec",1,2,18,"",76.4056,0,10.4872,2.27622,0,0,0.0763637,0,3.40327,6.31333,0,1.22837,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",106.734,0,14.6626,6.23718,0,0,0.0763637,0,4.20441,6.31333,0,1.22837,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
