"",002
"Mon 08-Feb-21  10:59:42 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.4723,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.06261,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",36.038,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.77462,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.4368,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.65011,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.4409,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.49417,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.695,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.2576,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.1844,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.19949,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.664,0,0,0,0,0,0.0763637,0,0.432753,6.31333,0,0,0,5.09231,22.1548,0.837808,5.25923,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",52.9619,0,0,0,0,0,0.0763637,0,4.16456,6.31333,0,0,0,5.61357,24.2696,0.780684,5.76193,0,0.602657,5.29585,0.190523,0,0,0,-0.107221
"MtrElec",1,1,9,"",49.4266,0,0,0,0.112722,0,0.0763637,0,2.26116,6.31333,0,0,0,4.90493,22.8832,0.685479,6.73868,0,2.23681,3.41576,0.338707,0,0,0,-0.54052
"MtrElec",1,1,10,"",56.6446,0,0,0,0.112722,0,0.0763637,0,0.94616,6.31333,0,0,0,4.37902,22.0268,0.571233,6.51291,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.00394
"MtrElec",1,1,11,"",55.9203,0,0,0,0.112722,0,0.0763637,0,0.407879,6.31333,0,0,0,4.33448,22.5562,0.456986,6.42245,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.49018
"MtrElec",1,1,12,"",47.7218,0,0,0,0.112722,0,0.0763637,0,0.266215,6.31333,0,0,0,4.12411,22.2214,0.304657,6.56034,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.83285
"MtrElec",1,1,13,"",46.5268,0,0,0,0.112722,0,0.0763637,0,0.139473,6.31333,0,0,0,4.41274,22.8472,0.228493,6.70044,6.21322,0.032629,1.02809,0.444553,0,0,0,-2.02247
"MtrElec",1,1,14,"",41.0847,0,0,0,0.112722,0,0.0763637,0,0.0489569,6.31333,0,0,0,4.41274,23.4856,0.209452,6.80097,0,0.434236,0.738049,0.416328,0,0,0,-1.96399
"MtrElec",1,1,15,"",43.1719,0,0,0,0.112722,0,0.0763637,0,0.0435729,6.31333,0,0,0,4.41274,24.5389,0.209452,6.70504,0,0.31173,1.34655,0.437497,0,0,0,-1.33607
"MtrElec",1,1,16,"",45.9312,0,0,0,0.112722,0,0.0763637,0,0.044111,6.31333,0,0,0,4.93865,25.7089,0.228493,6.93837,0,0.568744,1.30337,0.479835,0,0,0,-0.78171
"MtrElec",1,1,17,"",55.0173,0,0,0,0,0,0.0763637,0,0.0559598,6.31333,0,0,0,5.46456,28.6239,0.361781,6.73726,0,0.550504,6.29167,0.642132,0,0,0,-0.100157
"MtrElec",1,1,18,"",61.2872,0,0,0,0,0,0.0763637,0,0.0982354,6.31333,0,0,0,6.74902,31.933,0.723561,7.17592,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.0582,0,0,0,0,0,0.0763637,0,0.13828,6.31333,0,0,0,10.8458,34.0729,0.913972,7.80506,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.5315,0,0,0,0,0,0.0763637,0,0.0594421,6.31333,0,0,0,14.2339,35.2642,1.14247,7.63926,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.0416,0,0,0,0,0,0.0763637,0,0.0639734,6.31333,0,0,0,13.8131,36.4881,1.58041,7.41869,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",66.7376,0,0,0,0,0,0.0763637,0,0.0671935,6.31333,0,0,0,12.025,36.1513,1.86603,7.12078,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",56.2226,0,0,0,0,0,0.0763637,0,0.214936,6.31333,0,0,0,7.30113,31.2653,1.61849,6.48796,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.3067,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.63219,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.4673,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.86299,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.5374,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.73327,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.9534,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.53078,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.4081,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2101,0.87589,5.44142,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.7599,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.3211,0.87589,5.26147,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",42.7492,0,0,0,0,0,0.0763637,0,5.76209,6.31333,0,0,0,4.44966,19.9323,0.70452,5.41213,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",45.4499,0,0,0,0,0,0.0763637,0,2.39709,6.31333,0,0,0,6.3584,23.3625,0.666438,6.14165,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",51.4348,0,0,0,0,0,0.0763637,0,3.06321,6.31333,0,0,0,8.42304,25.9428,0.647397,6.79232,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",55.8698,0,0,0,0,0,0.0763637,0,1.45466,6.31333,0,0,0,11.5157,26.0117,0.628356,6.58106,1.3606,0,1.75036,0.183466,0,0,0,-0.00586882
"MtrElec",1,2,10,"",55.3114,0,0,0,0,0,0.0763637,0,0.768832,6.31333,0,0,0,11.9498,25.8051,0.53315,6.04356,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.0370707
"MtrElec",1,2,11,"",53.288,0,0,0,0,0,0.0763637,0,0.379946,6.31333,0,0,0,11.7394,26.0582,0.418904,5.88045,0,0.781173,1.67248,0.148184,0,0,0,-0.180514
"MtrElec",1,2,12,"",52.8397,0,0,0,0,0,0.0763637,0,0.124894,6.31333,0,0,0,11.529,26.0582,0.285616,5.9641,0,0.706407,1.78428,0.204636,0,0,0,-0.207151
"MtrElec",1,2,13,"",52.2997,0,0,0,0,0,0.0763637,0,0.0968382,6.31333,0,0,0,11.1083,26.085,0.228493,6.1903,1.41802,0.753625,0,0.246974,0,0,0,-0.217615
"MtrElec",1,2,14,"",59.3997,0,0,0,0,0,0.0763637,0,0.0685909,6.31333,0,0,0,11.1083,26.5565,0.209452,6.05167,1.0564,0,7.93763,0.225805,0,0,0,-0.204383
"MtrElec",1,2,15,"",54.7073,0,0,0,0,0,0.0763637,0,0.0779499,6.31333,0,0,0,11.1083,27.3386,0.209452,6.18478,0,3.35262,0,0.239918,0,0,0,-0.194006
"MtrElec",1,2,16,"",52.8084,0,0,0,0,0,0.0763637,0,0.118265,6.31333,0,0,0,11.6342,28.0067,0.228493,6.23638,0,0,0,0.366933,0,0,0,-0.172322
"MtrElec",1,2,17,"",57.2527,0,0,0,0,0,0.0763637,0,0.214727,6.31333,0,0,0,12.1601,30.9818,0.361781,6.37057,0,0,0,0.811486,0,0,0,-0.037426
"MtrElec",1,2,18,"",59.6227,0,0,0,0,0,0.0763637,0,0.44542,6.31333,0,0,0,10.3962,33.352,0.70452,6.97293,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",81.1715,0,0,0,0,0,0.0763637,0,0.626794,6.31333,0,0,0,13.8616,35.1059,0.933013,7.58308,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",77.5791,0,0,0,0,0,0.0763637,0,0.651738,6.31333,0,0,0,17.3326,36.7715,1.23767,7.63948,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",70.1516,0,0,0,0,0,0.0763637,0,0.681994,6.31333,0,0,0,15.8555,37.9399,1.73274,7.25539,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",68.3579,0,0,0,0,0,0.0763637,0,0.646817,6.31333,0,0,0,13.9016,37.4974,1.99931,6.8999,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",56.3137,0,0,0,0,0,0.0763637,0,0.795473,6.31333,0,0,0,8.31665,32.1726,1.73274,6.44936,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",46.132,0,0,0,0,0,0.0763637,0,0.605009,6.31333,0,0,0,4.77676,27.193,1.19959,5.89734,0,0,0,0.070564,0,0,0,0
