16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-05 11:47:12"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\OneDrive - TRC\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrlc-baseline-all\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.71649,0,1.85033,0,0.0223809,0,1.93299,3.34286,5.08716,0,0,0,14.9522,1.96174,0,0,0,0.306462,0,0,0.135015,0,0,2.40322,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,2.9895,0,1.85033,0,0.0223809,0,1.63121,3.31038,4.81685,0,0,0,14.6207,2.18902,0,0,0,0.160183,0,0,0.127717,0,0,2.47692,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,2.95706,0,1.85033,0,0.0223809,0,1.32942,3.29414,4.68171,0,0,0,14.135,2.16202,0,0,0,0.127037,0,0,0.124068,0,0,2.41312,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,3.06398,0,1.85033,0,0.0223809,0,1.48032,3.29414,4.68171,0,0,0,14.3929,2.25102,0,0,0,0.122907,0,0,0.124068,0,0,2.49799,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,3.48409,0,1.85033,0,0.0223809,0,1.7821,3.26165,4.4114,0,0,0,14.812,2.48256,0,0,0,0.131188,0,0,0.11677,0,0,2.73052,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,3.95744,0,1.85033,0,0.0223809,0,2.53656,3.32662,4.95202,0,0,0,16.6454,2.45736,0,0,0,1.06869,0,0,0.131366,0,0,3.65742,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,3.88611,0,1.85033,0,0.0223809,0,3.36647,3.42408,5.76295,0,0,0,18.3123,2.1763,0,0,0,0.576319,0,0,0.15326,0,0,2.90588,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,20.0391,0,1.85033,0,0.0223809,0,3.47462,3.45656,6.18177,0,0,0,35.0247,1.95751,0,0,0,1.1102,0,0,0.160558,0,0,3.22827,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,13.8161,0,1.85033,0,0.0223809,0,2.9546,3.34286,5.24379,0,0,0,27.2301,1.67895,0,0,0,1.62362,0,0,0.135015,0,0,3.43758,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,6.11825,0,1.85033,0,0.0223809,0,2.57737,3.26165,4.568,0,0,0,18.398,1.30608,0,0,0,1.54869,0,0,0.11677,0,0,2.97154,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,3.05319,0,1.85033,0,0.0223809,0,2.47508,3.2779,4.75176,0,0,0,15.4306,0.618637,0,0,0,1.06204,0,0,0.120419,0,0,1.8011,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,1.92732,0,1.85033,0,0.0223809,0,2.32419,3.2779,4.75176,0,0,0,14.1539,0.32905,0,0,0,1.22181,0,0,0.120419,0,0,1.67128,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.959302,0,1.85033,0,0.0223809,0,2.2303,3.26165,4.85689,0,0,0,13.1809,0.0462625,0,0,0,0.83915,0,0,0.11677,0,0,1.00218,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0.283606,0,1.85033,0,0.0223809,0,2.2303,3.2779,4.99206,0,0,0,12.6566,0,0,0,0,0.49915,0,0,0.120419,0,0,0.619569,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
1,1,15,0.201576,0,1.85033,0,0.0223809,0,2.2303,3.31038,5.26237,0,0,0,12.8773,0,0,0,0,0.670241,0,0,0.127717,0,0,0.797958,0,0,0,0,0,0,0,0,0,0,0,24.8186,353.349,0,0.000168169,0.004509,
