"",002
"Wed 21-Oct-20  11:38:31 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5037,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.86561,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.0796,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.58792,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.4708,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.45572,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.4773,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.3022,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7071,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.04131,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.1949,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,4.98165,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.5516,0,0,0,0,0,0.0763637,0,2.34255,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.0087,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",81.3418,0,17.6879,0.70598,0,0,0.0763637,0,13.0069,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.57002,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",36.5261,0,13.4541,0,0.228599,0,0.0763637,0,7.29837,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.70473,0,2.23681,3.41576,0.338707,0,0,0,-33.2427
"MtrElec",1,1,10,"",-84.8202,0,7.60168,0,0.228599,0,0.0763637,0,4.14877,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-154.592
"MtrElec",1,1,11,"",-132.057,0,5.74477,0,0.228599,0,0.0763637,0,2.41587,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-198.528
"MtrElec",1,1,12,"",-43.6872,0,4.22328,0,0.228599,0,0.0763637,0,1.87339,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-99.1223
