"",002
"Mon 08-Feb-21   1:53:48 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.4538,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.8157,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.0695,0,0,0,0,0,0.0763637,0,0.0823777,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.4954,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",36.3221,0,0.326848,0.0617002,0,0,0.0763637,0,0.578382,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.34007,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",38.5317,0,1.72575,0.319381,0,0,0.0763637,0,1.13033,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.18118,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",39.5504,0,2.88046,0.562182,0,0,0.0763637,0,1.54243,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,4.89949,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",43.6841,0,3.81927,0.787776,0,0,0.0763637,0,2.03785,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,4.82586,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",57.4228,0,4.66519,0.924267,0,0,0.0763637,0,9.80294,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,4.83005,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",116.46,0,30.2816,16.2593,0,0,0.0763637,0,20.0007,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.54768,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",90.2201,0,23.6372,8.49567,0,0,0.0763637,0,13.3599,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.69667,0,2.23681,3.41576,0.338707,0,0,0,-4.0522
"MtrElec",1,1,10,"",70.9679,0,15.1885,2.90508,0,0,0.0763637,0,9.81956,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-14.7384
"MtrElec",1,1,11,"",67.1077,0,13.4487,2.52395,0,0,0.0763637,0,8.46176,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-15.4085
"MtrElec",1,1,12,"",52.8297,0,13.0633,2.40837,0,0,0.0763637,0,8.28632,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-21.2666
"MtrElec",1,1,13,"",47.0493,0,12.3118,2.24934,0,0,0.0763637,0,8.04382,6.31333,0,1.22837,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-24.9829
"MtrElec",1,1,14,"",32.6209,0,10.9168,1.97429,0,0,0.0763637,0,7.54298,6.31333,0,1.22837,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-31.8074
"MtrElec",1,1,15,"",36.1881,0,10.8449,1.92727,0,0,0.0763637,0,7.32054,6.31333,0,1.22837,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-29.3378
"MtrElec",1,1,16,"",59.6187,0,10.9933,1.91958,0,0,0.0763637,0,7.32171,6.31333,0,1.22837,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-8.27392
"MtrElec",1,1,17,"",76.03,0,11.1013,1.92217,0,0,0.0763637,0,7.02719,6.31333,0,1.22837,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.109685
"MtrElec",1,1,18,"",82.0805,0,11.2717,1.95195,0,0,0.0763637,0,6.63072,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",85.0486,0,11.5241,1.99572,0,0,0.0763637,0,6.51239,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",91.1549,0,9.24877,1.56853,0,0,0.0763637,0,5.78835,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.48804,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",85.608,0,9.84308,1.62437,0,0,0.0763637,0,6.11251,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24075,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",86.1593,0,10.4212,1.70421,0,0,0.0763637,0,6.31168,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94429,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",80.0305,0,13.5339,2.19385,0,0,0.0763637,0,7.30743,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",57.2428,0,6.41843,1.01618,0,0,0.0763637,0,1.42015,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",50.9855,0,7.69502,1.20748,0,0,0.0763637,0,1.70283,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.54748,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",52.5337,0,8.66659,1.34597,0,0,0.0763637,0,2.11067,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.37789,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",50.6821,0,9.62646,1.48134,0,0,0.0763637,0,2.79812,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.12518,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",51.8691,0,11.4369,1.74062,0,0,0.0763637,0,3.47367,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.02284,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",54.1704,0,13.3196,1.98674,0,0,0.0763637,0,4.36042,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,4.77687,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",314.634,0,137.134,104.515,0,0,0.0763637,0,35.3647,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,4.81661,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",149.409,0,66.6119,14.3997,0,0,0.0763637,0,24.6015,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.65652,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",170.916,0,70.2489,21.7184,0,0,0.0763637,0,29.5888,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.55192,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",106.022,0,41.233,5.82735,0,0,0.0763637,0,17.8179,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.45245,1.3606,0,1.75036,0.183466,0,0,0,-14.3772
