16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-10-21 11:57:57"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrlc-baseline-all\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.26472,0,1.85033,0,0.0223809,0,1.93299,3.34286,5.08716,0,0,0,15.5005,2.42388,0,0,0,0.355263,0,0,0.135015,0,0,2.91416,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,3.3795,0,1.85033,0,0.0223809,0,1.63121,3.31038,4.81685,0,0,0,15.0107,2.51967,0,0,0,0.167718,0,0,0.127717,0,0,2.8151,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,3.42074,0,1.85033,0,0.0223809,0,1.32942,3.29414,4.68171,0,0,0,14.5987,2.46332,0,0,0,0.127844,0,0,0.124068,0,0,2.71523,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,4.30503,0,1.85033,0,0.0223809,0,1.48032,3.29414,4.68171,0,0,0,15.6339,2.57697,0,0,0,0.122907,0,0,0.124068,0,0,2.82394,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,4.94741,0,1.85033,0,0.0223809,0,1.7821,3.26165,4.4114,0,0,0,16.2753,2.58679,0,0,0,0.132806,0,0,0.11677,0,0,2.83637,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,5.33372,0,1.85033,0,0.0223809,0,2.53656,3.32662,4.95202,0,0,0,18.0216,2.42563,0,0,0,1.34208,0,0,0.131366,0,0,3.89908,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,6.10183,0,1.85033,0,0.0223809,0,3.36647,3.42408,5.76295,0,0,0,20.528,2.45982,0,0,0,0.678867,0,0,0.15326,0,0,3.29195,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,25.2987,0,1.85033,0,0.0223809,0,3.47462,3.45656,6.18177,0,0,0,40.2844,2.56695,0,0,0,1.32251,0,0,0.160558,0,0,4.05002,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,19.171,0,1.85033,0,0.0223809,0,2.9546,3.34286,5.24379,0,0,0,32.585,2.55006,0,0,0,1.98188,0,0,0.135015,0,0,4.66695,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,13.0505,0,1.85033,0,0.0223809,0,2.57737,3.26165,4.568,0,0,0,25.3302,2.59175,0,0,0,1.853,0,0,0.11677,0,0,4.56152,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,12.0445,0,1.85033,0,0.0223809,0,2.47508,3.2779,4.75176,0,0,0,24.4219,2.59703,0,0,0,1.25868,0,0,0.120419,0,0,3.97613,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,11.616,0,1.85033,0,0.0223809,0,2.32419,3.2779,4.75176,0,0,0,23.8425,2.57552,0,0,0,1.5022,0,0,0.120419,0,0,4.19814,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,11.0911,0,1.85033,0,0.0223809,0,2.2303,3.26165,4.85689,0,0,0,23.3126,2.56811,0,0,0,1.00803,0,0,0.11677,0,0,3.69291,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,10.206,0,1.85033,0,0.0223809,0,2.2303,3.2779,4.99206,0,0,0,22.5789,2.52036,0,0,0,0.589927,0,0,0.120419,0,0,3.23071,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
1,1,15,10.0886,0,1.85033,0,0.0223809,0,2.2303,3.31038,5.26237,0,0,0,22.7644,2.49593,0,0,0,0.795536,0,0,0.127717,0,0,3.41918,0,0,0,0,0,0,0,0,0,0,0,25.7784,353.349,0,0.000168169,0.004509,
