"",002
"Thu 28-Jan-21   3:12:22 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.501,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.09126,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",36.0655,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.80217,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.4601,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.67341,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.4672,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.5205,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.7277,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.29023,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.2201,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.2352,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.3102,0,0,0,0,0,0.0763637,0,0.0350281,6.31333,0,0,0,5.09231,22.1548,0.837808,5.30319,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",52.4648,0,0,0,0,0,0.0763637,0,3.74485,6.31333,0,0,0,5.61357,24.2696,0.780684,5.79747,0,0.602657,5.29585,0.190523,0,0,0,-0.220125
"MtrElec",1,1,9,"",49.2553,0,0,0,0.108994,0,0.0763637,0,2.02721,6.31333,0,0,0,4.90493,22.8832,0.685479,6.76488,0,2.23681,3.41576,0.338707,0,0,0,-0.500392
"MtrElec",1,1,10,"",56.5592,0,0,0,0.108994,0,0.0763637,0,0.877948,6.31333,0,0,0,4.37902,22.0268,0.571233,6.5499,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.05432
"MtrElec",1,1,11,"",56.0344,0,0,0,0.108994,0,0.0763637,0,0.386644,6.31333,0,0,0,4.33448,22.5562,0.456986,6.45478,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.38347
"MtrElec",1,1,12,"",47.732,0,0,0,0.108994,0,0.0763637,0,0.250812,6.31333,0,0,0,4.12411,22.2214,0.304657,6.59344,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.83657
"MtrElec",1,1,13,"",46.6781,0,0,0,0.108994,0,0.0763637,0,0.132179,6.31333,0,0,0,4.41274,22.8472,0.228493,6.73562,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.89528
"MtrElec",1,1,14,"",41.2404,0,0,0,0.108994,0,0.0763637,0,0.0365672,6.31333,0,0,0,4.41274,23.4856,0.209452,6.83363,0,0.434236,0.738049,0.416328,0,0,0,-1.82485
"MtrElec",1,1,15,"",43.646,0,0,0,0.108994,0,0.0763637,0,0.0321004,6.31333,0,0,0,4.41274,24.5389,0.209452,6.74092,0,0.31173,1.34655,0.437497,0,0,0,-0.882575
"MtrElec",1,1,16,"",46.3179,0,0,0,0.108994,0,0.0763637,0,0.0343447,6.31333,0,0,0,4.93865,25.7089,0.228493,6.96478,0,0.568744,1.30337,0.479835,0,0,0,-0.407875
"MtrElec",1,1,17,"",55.082,0,0,0,0,0,0.0763637,0,0.0374696,6.31333,0,0,0,5.46456,28.6239,0.361781,6.76016,0,0.550504,6.29167,0.642132,0,0,0,-0.0397836
"MtrElec",1,1,18,"",61.2641,0,0,0,0,0,0.0763637,0,0.0539328,6.31333,0,0,0,6.74902,31.933,0.723561,7.19722,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.0201,0,0,0,0,0,0.0763637,0,0.0803153,6.31333,0,0,0,10.8458,34.0729,0.913972,7.82487,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.536,0,0,0,0,0,0.0763637,0,0.0391907,6.31333,0,0,0,14.2339,35.2642,1.14247,7.66397,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.0652,0,0,0,0,0,0.0763637,0,0.0631409,6.31333,0,0,0,13.8131,36.4881,1.58041,7.44315,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",66.7658,0,0,0,0,0,0.0763637,0,0.0788624,6.31333,0,0,0,12.025,36.1513,1.86603,7.13737,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",56.2696,0,0,0,0,0,0.0763637,0,0.249088,6.31333,0,0,0,7.30113,31.2653,1.61849,6.50072,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.3095,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.63502,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.46,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.8557,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.5213,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.71713,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.9314,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.50885,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.3858,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2101,0.87589,5.41913,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.7398,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.3211,0.87589,5.24133,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",42.8914,0,0,0,0,0,0.0763637,0,5.92099,6.31333,0,0,0,4.44966,19.9323,0.70452,5.39544,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",45.4708,0,0,0,0,0,0.0763637,0,2.42782,6.31333,0,0,0,6.3584,23.3625,0.666438,6.13185,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",51.5044,0,0,0,0,0,0.0763637,0,3.13666,6.31333,0,0,0,8.42304,25.9428,0.647397,6.78842,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",56.0895,0,0,0,0,0,0.0763637,0,1.67305,6.31333,0,0,0,11.5157,26.0117,0.628356,6.58249,1.3606,0,1.75036,0.183466,0,0,0,-0.00596441
"MtrElec",1,2,10,"",55.8239,0,0,0,0,0,0.0763637,0,1.31129,6.31333,0,0,0,11.9498,25.8051,0.53315,6.04316,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.0666513
"MtrElec",1,2,11,"",53.866,0,0,0,0,0,0.0763637,0,1.12162,6.31333,0,0,0,11.7394,26.0582,0.418904,5.86967,0,0.781173,1.67248,0.148184,0,0,0,-0.333369
"MtrElec",1,2,12,"",53.5486,0,0,0,0,0,0.0763637,0,0.90435,6.31333,0,0,0,11.529,26.0582,0.285616,5.9408,0,0.706407,1.78428,0.204636,0,0,0,-0.254431
"MtrElec",1,2,13,"",53.0892,0,0,0,0,0,0.0763637,0,0.879092,6.31333,0,0,0,11.1083,26.085,0.228493,6.15611,1.41802,0.753625,0,0.246974,0,0,0,-0.176139
"MtrElec",1,2,14,"",60.0412,0,0,0,0,0,0.0763637,0,0.734106,6.31333,0,0,0,11.1083,26.5565,0.209452,5.99661,1.0564,0,7.93763,0.225805,0,0,0,-0.17328
"MtrElec",1,2,15,"",55.2705,0,0,0,0,0,0.0763637,0,0.652723,6.31333,0,0,0,11.1083,27.3386,0.209452,6.12937,0,3.35262,0,0.239918,0,0,0,-0.150233
"MtrElec",1,2,16,"",53.4038,0,0,0,0,0,0.0763637,0,0.709236,6.31333,0,0,0,11.6342,28.0067,0.228493,6.16979,0,0,0,0.366933,0,0,0,-0.101277
"MtrElec",1,2,17,"",57.5437,0,0,0,0,0,0.0763637,0,0.583069,6.31333,0,0,0,12.1601,30.9818,0.361781,6.27909,0,0,0,0.811486,0,0,0,-0.0233028
"MtrElec",1,2,18,"",59.6705,0,0,0,0,0,0.0763637,0,0.579084,6.31333,0,0,0,10.3962,33.352,0.70452,6.88705,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",81.1199,0,0,0,0,0,0.0763637,0,0.63951,6.31333,0,0,0,13.8616,35.1059,0.933013,7.5188,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",77.5507,0,0,0,0,0,0.0763637,0,0.666581,6.31333,0,0,0,17.3326,36.7715,1.23767,7.59623,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",70.1355,0,0,0,0,0,0.0763637,0,0.710983,6.31333,0,0,0,15.8555,37.9399,1.73274,7.21031,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",68.3018,0,0,0,0,0,0.0763637,0,0.640005,6.31333,0,0,0,13.9016,37.4974,1.99931,6.85068,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",56.2231,0,0,0,0,0,0.0763637,0,0.751763,6.31333,0,0,0,8.31665,32.1726,1.73274,6.40246,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",46.0286,0,0,0,0,0,0.0763637,0,0.551617,6.31333,0,0,0,4.77676,27.193,1.19959,5.84743,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",40.8911,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.00566,2.4757,0,0,0.035282,0,0,0,0
