"",002
"Thu 28-Jan-21   5:04:16 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",69.6108,0,16.1747,5.29815,0,0,0.0763637,0,3.68546,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",56.6372,0,11.96,0,0,0,0.0763637,0,2.6111,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",55.6407,0,12.4328,0,0,0,0.0763637,0,2.71456,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",57.7705,0,14.137,0,0,0,0.0763637,0,3.10901,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",61.2278,0,16.7787,0.908685,0,0,0.0763637,0,3.74059,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",61.976,0,15.4239,0.803479,0,0,0.0763637,0,3.42957,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",61.1996,0,11.3227,0,0,0,0.0763637,0,2.48042,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",81.2068,0,24.1301,0,0,0,0.0763637,0,5.33923,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-3.33583
"MtrElec",1,1,9,"",60.2474,0,17.2648,0,0,0,0.0763637,0,3.72576,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-8.32435
"MtrElec",1,1,10,"",28.2454,0,8.61854,0,0.186713,0,0.0763637,0,1.81625,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-38.9408
"MtrElec",1,1,11,"",25.776,0,6.13022,0,0.186713,0,0.0763637,0,1.28649,6.31333,0,0,0,4.33448,22.5562,0.456986,6.3874,4.39771,5.02777,6.97994,0.324594,0,0,0,-38.6822
"MtrElec",1,1,12,"",13.0146,0,7.18436,0,0.186713,0,0.0763637,0,1.51264,6.31333,0,0,0,4.12411,22.2214,0.304657,6.50022,6.16207,2.94812,0.0772521,0.388102,0,0,0,-44.9847
"MtrElec",1,1,13,"",-17.7832,0,6.21956,0,0.186713,0,0.0763637,0,1.30784,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60747,6.21322,0.032629,1.02809,0.444553,0,0,0,-73.7014
"MtrElec",1,1,14,"",-13.9016,0,6.83088,0,0.186713,0,0.0763637,0,1.43995,6.31333,0,0,0,4.41274,23.4856,0.209452,6.68064,0,0.434236,0.738049,0.416328,0,0,0,-65.1259
"MtrElec",1,1,15,"",6.10184,0,6.40226,0,0.186713,0,0.0763637,0,1.35008,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-46.042
"MtrElec",1,1,16,"",37.2913,0,8.01701,0,0.186713,0,0.0763637,0,1.70154,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-19.0436
"MtrElec",1,1,17,"",69.0239,0,9.52099,0,0,0,0.0763637,0,2.0342,6.31333,0,6.14185,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-3.53378
"MtrElec",1,1,18,"",77.0423,0,8.15433,0,0,0,0.0763637,0,1.74833,6.31333,0,6.14185,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",79.7469,0,8.08568,0,0,0,0.0763637,0,1.73014,6.31333,0,6.14185,0,10.8458,34.0729,0.913972,7.67435,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",85.275,0,4.78806,0,0,0,0.0763637,0,1.02081,6.31333,0,6.14185,0,14.2339,35.2642,1.14247,7.49148,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",79.7472,0,5.60348,0,0,0,0.0763637,0,1.19795,6.31333,0,6.14185,0,13.8131,36.4881,1.58041,7.24507,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",81.4245,0,7.2302,0,0,0,0.0763637,0,1.55555,6.31333,0,6.14185,0,12.025,36.1513,1.86603,6.94731,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",76.3756,0,11.885,0,0,0,0.0763637,0,2.57875,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.25022,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",67.9948,0,12.057,0,0,0,0.0763637,0,2.63597,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.48546,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",62.8269,0,14.2928,0,0,0,0.0763637,0,3.13072,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.65724,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",63.6621,0,14.87,0,0,0,0.0763637,0,3.27132,6.31333,0,6.14185,0,2.67312,20.0694,0.87589,5.57481,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",66.4737,0,18.0895,2.37264,0,0,0.0763637,0,4.06168,6.31333,0,6.14185,0,2.25239,19.3206,0.87589,5.38537,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",74.9951,0,20.0086,9.95111,0,0,0.0763637,0,4.61315,6.31333,0,6.14185,0,2.46275,19.2101,0.87589,5.31379,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",73.9528,0,19.7875,9.83148,0,0,0.0763637,0,4.55769,6.31333,0,6.14185,0,2.88348,18.3211,0.87589,5.13591,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",233.738,0,84.7283,86.333,0,0,0.0763637,0,19.6797,6.31333,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",127.426,0,45.8229,22.2107,0,0,0.0763637,0,10.2965,6.31333,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",138.962,0,50.071,24.3951,0,0,0.0763637,0,11.3091,6.31333,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,-1.25092
"MtrElec",1,2,9,"",96.9929,0,33.1845,15.9543,0,0,0.0763637,0,7.39613,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-20.0133
"MtrElec",1,2,10,"",99.745,0,29.7062,14.3782,0,0,0.0763637,0,6.64299,6.31333,0,6.14185,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-11.5952
"MtrElec",1,2,11,"",83.2716,0,26.608,1.39541,0,0,0.0763637,0,5.79898,6.31333,0,6.14185,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-9.65372
"MtrElec",1,2,12,"",58.6407,0,17.6814,0,0,0,0.0763637,0,3.79049,6.31333,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-21.7827
"MtrElec",1,2,13,"",41.8641,0,14.1063,0,0,0,0.0763637,0,2.9921,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-27.5476
"MtrElec",1,2,14,"",5.53397,0,8.82841,0,0.186713,0,0.0763637,0,1.85881,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-64.7464
"MtrElec",1,2,15,"",-29.6898,0,5.09963,0,0.186713,0,0.0763637,0,1.06695,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-90.7532
"MtrElec",1,2,16,"",-21.2336,0,5.92867,0,0.186713,0,0.0763637,0,1.24517,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10903,0,0,0,0.366933,0,0,0,-81.3293
"MtrElec",1,2,17,"",53.2309,0,8.78853,0,0.186713,0,0.0763637,0,1.86237,6.31333,0,6.14185,0,12.1601,30.9818,0.361781,6.20829,0,0,0,0.811486,0,0,0,-20.6617
"MtrElec",1,2,18,"",79.5283,0,11.8512,0,0,0,0.0763637,0,2.52083,6.31333,0,6.14185,0,10.3962,33.352,0.70452,6.81012,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",100.278,0,11.3359,0,0,0,0.0763637,0,2.39837,6.31333,0,6.14185,0,13.8616,35.1059,0.933013,7.44075,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",98.8404,0,13.1032,0,0,0,0.0763637,0,2.78388,6.31333,0,6.14185,0,17.3326,36.7715,1.23767,7.52364,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",93.8334,0,15.1324,0,0,0,0.0763637,0,3.23061,6.31333,0,6.14185,0,15.8555,37.9399,1.73274,7.11431,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",91.2619,0,14.4774,0,0,0,0.0763637,0,3.09827,6.31333,0,6.14185,0,13.9016,37.4974,1.99931,6.73327,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",83.7993,0,18.3687,0,0,0,0.0763637,0,3.94418,6.31333,0,6.14185,0,8.31665,32.1726,1.73274,6.27562,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",80.2608,0,21.383,2.72903,0,0,0.0763637,0,4.68403,6.31333,0,6.14185,0,4.77676,27.193,1.19959,5.69331,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",74.8623,0,16.2685,7.93494,0,0,0.0763637,0,3.73065,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",78.6062,0,21.7903,9.66032,0,0,0.0763637,0,5.08953,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",84.6432,0,26.7987,10.9898,0,0,0.0763637,0,6.36138,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",90.7683,0,30.7312,12.1351,0,0,0.0763637,0,7.37745,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",95.138,0,34.3491,12.6377,0,0,0.0763637,0,8.35141,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",165.949,0,76.5663,28.8145,0,0,0.0763637,0,18.2491,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",144.335,0,59.4999,21.4447,0,0,0.0763637,0,13.899,6.31333,0,6.14185,0,5.60667,22.2653,0.837808,5.28269,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",118.263,0,65.7528,28.4183,0.186713,0,0.0763637,0,15.2056,6.31333,0,6.14185,0,6.15556,24.4078,0.780684,5.78884,0,1.22368,3.76025,0.190523,0,0,0,-46.1392
"MtrElec",1,3,9,"",8.00105,0,39.8607,13.7848,0.186713,0,0.0763637,0,8.96501,6.31333,0,6.14185,0,7.5917,23.5797,0.685479,6.72665,0,1.58822,3.92862,0.338707,0,0,0,-111.767
"MtrElec",1,3,10,"",-61.0224,0,31.2375,11.7598,0.186713,0,0.0763637,0,6.97636,6.31333,0,6.14185,0,7.47813,23.4713,0.571233,6.48804,0,1.65933,0.364414,0.338707,0,0,0,-164.085
"MtrElec",1,3,11,"",-102.991,0,22.7805,9.56291,0.186713,0,0.0763637,0,5.04858,6.31333,0,6.14185,0,7.43359,24.0007,0.456986,6.38609,1.87284,0.153917,2.45388,0.324594,0,0,0,-196.184
"MtrElec",1,3,12,"",-125.06,0,15.777,7.27173,0.186713,0,0.0763637,0,3.47105,6.31333,0,6.14185,0,7.22323,23.6659,0.304657,6.49455,5.54949,1.03645,3.34254,0.388102,0,0,0,-212.303
"MtrElec",1,3,13,"",-133.265,0,16.3713,7.76424,0.186713,0,0.0763637,0,3.59935,6.31333,0,6.14185,0,5.23141,22.9301,0.228493,6.60349,0,1.41179,1.19283,0.444553,0,0,0,-211.761
"MtrElec",1,3,14,"",-111.214,0,16.7055,7.89692,0.186713,0,0.0763637,0,3.67345,6.31333,0,6.14185,0,5.23141,23.5685,0.209452,6.68008,0,0.503817,2.35037,0.416328,0,0,0,-191.169
"MtrElec",1,3,15,"",-71.1059,0,16.799,7.64624,0.186713,0,0.0763637,0,3.69985,6.31333,0,6.14185,0,5.23141,24.6219,0.209452,6.55818,0,0.992727,2.33895,0.437497,0,0,0,-152.359
"MtrElec",1,3,16,"",-6.84591,0,20.0283,8.48824,0.186713,0,0.0763637,0,4.42931,6.31333,0,6.14185,0,5.75733,25.7918,0.228493,6.81199,0,0.987901,3.36318,0.479835,0,0,0,-95.9305
"MtrElec",1,3,17,"",71.127,0,26.0393,10.3267,0.186713,0,0.0763637,0,5.80702,6.31333,0,6.14185,0,6.28324,28.7068,0.361781,6.53659,0,1.42051,0.472187,0.642132,0,0,0,-28.1875
"MtrElec",1,3,18,"",114.603,0,33.6489,12.5169,0,0,0.0763637,0,7.60796,6.31333,0,6.14185,0,6.62189,31.9054,0.723561,6.98478,0,0.199438,0.882206,0.980839,0,0,0,0
"MtrElec",1,3,19,"",124.526,0,36.4223,12.4493,0,0,0.0763637,0,8.27367,6.31333,0,6.14185,0,10.6357,33.9347,0.913972,7.67314,0,0.372617,0.408911,0.910275,0,0,0,0
"MtrElec",1,3,20,"",115.496,0,25.016,7.95815,0,0,0.0763637,0,5.80059,6.31333,0,6.14185,0,13.9962,35.0984,1.14247,7.48804,4.94912,0.172712,0.835025,0.508061,0,0,0,0
"MtrElec",1,3,21,"",120.601,0,27.0228,8.17873,0,0,0.0763637,0,6.3004,6.31333,0,6.14185,0,13.5754,36.3223,1.58041,7.24075,6.4822,0.352689,0.787964,0.225805,0,0,0,0
"MtrElec",1,3,22,"",125.923,0,33.6977,9.10755,0,0,0.0763637,0,7.99863,6.31333,0,6.14185,0,11.6768,35.8749,1.86603,6.94429,3.41592,0.332812,2.37838,0.0987896,0,0,0,0
"MtrElec",1,3,23,"",126.066,0,43.5165,10.0752,0,0,0.0763637,0,10.6535,6.31333,0,6.14185,0,8.17815,32.1773,1.61849,6.24726,0,1.00456,0,0.0635076,0,0,0,0
"MtrElec",1,3,24,"",121.418,0,43.0104,15.8468,0,0,0.0763637,0,10.8863,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.48515,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,1,"",125.822,0,45.9664,21.2028,0,0,0.0763637,0,11.7243,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,4,2,"",129.256,0,49.2112,25.3266,0,0,0.0763637,0,12.6523,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
