16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 19:49:19"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier1\cz08\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,1.85033,0,0.0223809,0,0.906753,1.79559,6.45223,0.256709,0,0,11.284,0,0,0,0,0.223909,0,0,0.006564,0,0,0.230473,0,0,0,0,0,0,0,0,0,0,0,27.5798,353.349,0,0.000249403,0.004509,
1,1,2,0,0,1.85033,0,0.0223809,0,0.783447,1.70879,5.94853,0.256709,0,0,10.5702,0,0,0,0,0.109918,0,0,0.0052512,0,0,0.115169,0,0,0,0,0,0,0,0,0,0,0,27.559,353.349,0,0.000249051,0.004509,
1,1,3,0,0,1.85033,0,0.0223809,0,0.660138,1.66899,5.64672,0.251128,0,0,10.0997,0,0,0,0,0.0838803,0,0,0.0039384,0,0,0.0878187,0,0,0,0,0,0,0,0,0,0,0,27.4755,353.349,0,0.000248744,0.004509,
1,1,4,0,0,1.85033,0,0.0223809,0,0.721791,1.62417,5.63198,0.251128,0,0,10.1018,0,0,0,0,0.0806544,0,0,0.0039384,0,0,0.0845928,0,0,0,0,0,0,0,0,0,0,0,27.4081,353.349,0,0.000244034,0.004509,
1,1,5,0,0,1.85033,0,0.0223809,0,0.8451,1.55668,5.35381,0.256709,0,0,9.88501,0,0,0,0,0.0872952,0,0,0.0039384,0,0,0.0912336,0,0,0,0,0,0,0,0,0,0,0,27.4525,353.349,0,0.000247897,0.004509,
1,1,6,0,0,1.85033,0,0.0223809,0,1.15337,1.54469,5.79361,0.251128,0,0,10.6155,0,0,0,0,0.817628,0,0,0.006564,0,0,0.824192,0,0,0,0,0,0,0,0,0,0,0,27.5712,353.349,0,0.000250017,0.004509,
1,1,7,0.0102661,0,1.85033,0,0.0223809,0,1.49247,1.99314,6.4932,0.245547,0,0,12.1073,0.0151494,0,0,0,0.436721,0,0,0.013128,0,0,0.464998,0,0,0,0,0,0,0,0,0,0,0,27.5977,353.349,0,0.000250652,0.004509,
1,1,8,1.09755,0,1.85033,0,0.0223809,0,1.64524,3.48373,7.11301,0.228805,-0.0645149,0,15.3765,1.61962,0,0,0,0.857004,0,0,0.160029,0,0,2.63665,0,0,0,0,0,0,0,0,0,0,0,27.5814,353.349,0,0.000250171,0.004509,
1,1,9,0.594141,0,1.85033,0,0.0543252,0,1.43755,3.73862,6.70668,0.200902,-0.146657,0,14.4359,0.876752,0,0,0,1.23591,0,0,0.525414,0,0,2.63808,0,0,0,0,0,0,0,0,0,0,0,27.3832,353.349,0,0.000245568,0.004509,
1,1,10,0.257312,0,1.85033,0,0.0543252,0,1.28342,6.81707,6.45569,0.167419,-0.309004,0,16.5766,0.379706,0,0,0,1.09739,0,0,0.361256,0,0,1.83835,0,0,0,0,0,0,0,0,0,0,0,25.7237,353.349,0,0.000205897,0.004509,
1,1,11,0.113319,0,1.85033,0,0.0543252,0,1.27036,6.79507,6.61084,0.133935,-0.405472,0,16.4227,0.16722,0,0,0,0.729084,0,0,1.09974,0,0,1.99604,0,0,0,0,0,0,0,0,0,0,0,25.127,353.349,0,0.000187311,0.004509,
1,1,12,0.0735088,0,1.85033,0,0.0543252,0,1.20871,4.73886,6.51272,0.0892899,-0.538268,0,13.9895,0.108474,0,0,0,0.739158,0,0,0.681648,0,0,1.52928,0,0,0,0,0,0,0,0,0,0,0,24.7171,353.349,0,0.000172385,0.004509,
1,1,13,0.0387394,0,1.85033,0,0.0543252,0,1.2933,4.23626,6.69613,0.0669675,-0.555475,0,13.6806,0.0571663,0,0,0,0.463382,0,0,0.0894516,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,24.7255,353.349,0,0.000162633,0.004509,
1,1,14,0.0107172,0,1.85033,0,0.0543252,0,1.2933,2.46842,6.88324,0.0613869,-0.534833,0,12.0869,0.015815,0,0,0,0.238263,0,0,0.167222,0,0,0.4213,0,0,0,0,0,0,0,0,0,0,0,24.7169,353.349,0,0.000167705,0.004509,
