16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 20:07:39"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier1\cz11\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,16.9697,0,1.85033,0,0.0223809,0,1.93299,3.34286,5.08716,0,0,0,29.2054,0,0,0,0,0.321408,0,0,0.135015,0,0,0.456423,0,0,0,0,0,0,0,0,0,0,0,27.9703,352.219,0,0.000247243,0.004509,
1,1,2,18.8003,0,1.85033,0,0.0223809,0,1.63121,3.31038,4.81685,0,0,0,30.4315,0,0,0,0,0.16251,0,0,0.127717,0,0,0.290227,0,0,0,0,0,0,0,0,0,0,0,27.9545,352.219,0,0.000246894,0.004509,
1,1,3,18.2495,0,1.85033,0,0.0223809,0,1.32942,3.29414,4.68171,0,0,0,29.4275,0,0,0,0,0.127294,0,0,0.124068,0,0,0.251362,0,0,0,0,0,0,0,0,0,0,0,27.8978,352.219,0,0.000246589,0.004509,
1,1,4,18.1373,0,1.85033,0,0.0223809,0,1.48032,3.29414,4.68171,0,0,0,29.4661,0,0,0,0,0.122907,0,0,0.124068,0,0,0.246975,0,0,0,0,0,0,0,0,0,0,0,27.8049,352.219,0,0.000241921,0.004509,
1,1,5,18.0527,0,1.85033,0,0.0223809,0,1.7821,3.26165,4.4114,0,0,0,29.3806,0,0,0,0,0.131702,0,0,0.11677,0,0,0.248471,0,0,0,0,0,0,0,0,0,0,0,27.9253,352.219,0,0.00024575,0.004509,
1,1,6,17.912,0,1.85033,0,0.0223809,0,2.53656,3.32662,4.95202,0,0,0,30.5999,0,0,0,0,1.15213,0,0,0.131366,0,0,1.2835,0,0,0,0,0,0,0,0,0,0,0,27.9662,352.219,0,0.000247852,0.004509,
1,1,7,17.7311,0,1.85033,0,0.0223809,0,3.36647,3.42408,5.76295,0,0,0,32.1573,0,0,0,0,0.607918,0,0,0.15326,0,0,0.761178,0,0,0,0,0,0,0,0,0,0,0,27.9881,352.219,0,0.000248481,0.004509,
1,1,8,26.5056,0,1.85033,0,0.0223809,0,3.47462,3.45656,6.18177,0,0,0,41.4912,0,0,0,0,1.17538,0,0,0.160558,0,0,1.33594,0,0,0,0,0,0,0,0,0,0,0,27.9779,352.219,0,0.000248005,0.004509,
1,1,9,22.0013,0,1.85033,0,0.0223809,0,2.9546,3.34286,5.24379,0,0,0,35.4152,0,0,0,0,1.73369,0,0,0.135015,0,0,1.8687,0,0,0,0,0,0,0,0,0,0,0,27.9627,352.219,0,0.000243441,0.004509,
1,1,10,14.1354,0,1.85033,0,0.0223809,0,2.57737,3.26165,4.568,0,0,0,26.4151,0,0,0,0,1.64209,0,0,0.11677,0,0,1.75886,0,0,0,0,0,0,0,0,0,0,0,27.4741,352.219,0,0.000204114,0.004509,
1,1,11,9.70757,0,1.85033,0,0.0223809,0,2.47508,3.2779,4.75176,0,0,0,22.085,0,0,0,0,1.12243,0,0,0.120419,0,0,1.24285,0,0,0,0,0,0,0,0,0,0,0,27.2223,352.219,0,0.000185689,0.004509,
1,1,12,6.70622,0,1.85033,0,0.0223809,0,2.32419,3.2779,4.75176,0,0,0,18.9328,0,0,0,0,1.30769,0,0,0.120419,0,0,1.42811,0,0,0,0,0,0,0,0,0,0,0,26.8149,352.219,0,0.000170892,0.004509,
1,1,13,2.60631,0,1.85033,0,0.0223809,0,2.2303,3.26165,4.85689,0,0,0,14.8279,0,0,0,0,0.890973,0,0,0.11677,0,0,1.00774,0,0,0,0,0,0,0,0,0,0,0,26.259,352.219,0,0.000161225,0.004509,
1,1,14,2.00616,0,1.85033,0,0.0223809,0,2.2303,3.2779,4.99206,0,0,0,14.3791,0,0,0,0,0.527077,0,0,0.120419,0,0,0.647496,0,0,0,0,0,0,0,0,0,0,0,26.7029,352.219,0,0.000166253,0.004509,
1,1,15,0.864741,0,1.85033,0,0.0223809,0,2.2303,3.31038,5.26237,0,0,0,13.5405,0,0,0,0,0.708747,0,0,0.127717,0,0,0.836464,0,0,0,0,0,0,0,0,0,0,0,26.4887,352.219,0,0.000166712,0.004509,
