16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 20:41:25"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2\cz02\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,7.1404,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,18.3686,0,0,0,0,0.254055,0,0,0.006564,0,0,0.260619,0,0,0,0,0,0,0,0,0,0,0,27.9224,352.219,0,0.000247243,0.004509,
1,1,2,7.85934,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,18.3881,0,0,0,0,0.130564,0,0,0.0052512,0,0,0.135815,0,0,0,0,0,0,0,0,0,0,0,27.9066,352.219,0,0.000246894,0.004509,
1,1,3,10.6201,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,20.6879,0,0,0,0,0.103534,0,0,0.0039384,0,0,0.107472,0,0,0,0,0,0,0,0,0,0,0,27.85,352.219,0,0.000246589,0.004509,
1,1,4,10.8904,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,20.9674,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.7571,352.219,0,0.000241921,0.004509,
1,1,5,7.41346,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,17.278,0,0,0,0,0.106904,0,0,0.0039384,0,0,0.110842,0,0,0,0,0,0,0,0,0,0,0,27.8774,352.219,0,0.00024575,0.004509,
1,1,6,5.86797,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,16.4709,0,0,0,0,0.901073,0,0,0.006564,0,0,0.907637,0,0,0,0,0,0,0,0,0,0,0,27.9184,352.219,0,0.000247852,0.004509,
1,1,7,3.20508,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,15.2961,0,0,0,0,0.473701,0,0,0.013128,0,0,0.486829,0,0,0,0,0,0,0,0,0,0,0,27.9403,352.219,0,0.000248481,0.004509,
1,1,8,8.13601,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,22.477,0,0,0,0,0.909676,0,0,0.160029,0,0,1.0697,0,0,0,0,0,0,0,0,0,0,0,27.93,352.219,0,0.000248005,0.004509,
1,1,9,5.53219,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.713505,0,18.7639,0,0,0,0,1.34339,0,0,0.525414,0,0,1.8688,0,0,0,0,0,0,0,0,0,0,0,27.9148,352.219,0,0.000243441,0.004509,
1,1,10,2.85937,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-3.20976,0,16.2278,0,0,0,0,1.26838,0,0,0.361256,0,0,1.62964,0,0,0,0,0,0,0,0,0,0,0,27.4262,352.219,0,0.000204114,0.004509,
1,1,11,2.12011,0,1.85033,0,0.0223809,0,1.27036,6.77498,6.61084,0.133935,-9.22137,0,9.56158,0,0,0,0,0.868266,0,0,1.09974,0,0,1.968,0,0,0,0,0,0,0,0,0,0,0,27.1744,352.219,0,0.000185689,0.004509,
1,1,12,2.43391,0,1.85033,0,0.0223809,0,1.20871,4.71102,6.51272,0.0892899,-15.1663,0,1.66209,0,0,0,0,1.01715,0,0,0.681648,0,0,1.6988,0,0,0,0,0,0,0,0,0,0,0,26.767,352.219,0,0.000170892,0.004509,
1,1,13,2.50375,0,1.85033,0,0.0223809,0,1.2933,4.19872,6.69613,0.0669675,-13.1032,0,3.52842,0,0,0,0,0.692802,0,0,0.0894516,0,0,0.782254,0,0,0,0,0,0,0,0,0,0,0,26.2111,352.219,0,0.000161225,0.004509,
1,1,14,2.93218,0,1.85033,0,0.0223809,0,1.2933,2.42374,6.88324,0.0613869,-7.84508,0,7.62148,0,0,0,0,0.412192,0,0,0.167222,0,0,0.579414,0,0,0,0,0,0,0,0,0,0,0,26.655,352.219,0,0.000166253,0.004509,
1,1,15,2.66619,0,1.85033,0,0.0223809,0,1.2933,2.53633,7.19194,0.0613869,-10.3201,0,5.30172,0,0,0,0,0.551663,0,0,0.145835,0,0,0.697498,0,0,0,0,0,0,0,0,0,0,0,26.4408,352.219,0,0.000166712,0.004509,
