"",002
"Thu 28-Jan-21   9:40:40 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",44.6723,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,3.09384,22.015,0.87589,6.12073,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",42.2435,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.83833,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",40.6395,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.71088,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",40.6533,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",41.1693,0,0.772962,0.304994,0,0,0.0763637,0,0.171584,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.34044,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",46.4643,0,2.4936,1.0079,0,0,0.0763637,0,0.553047,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.28301,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",50.2875,0,1.7037,0.733403,0,0,0.0763637,0,0.375393,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.36118,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",81.4453,0,16.7583,14.4744,0,0,0.0763637,0,3.89265,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.85397,0,0.602657,5.29585,0.190523,0,0,0,-8.81847
"MtrElec",1,1,9,"",-14.2803,0,12.141,6.2887,0.146916,0,0.0763637,0,2.71919,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.76613,0,2.23681,3.41576,0.338707,0,0,0,-89.3386
"MtrElec",1,1,10,"",-88.5874,0,5.97878,0,0.146916,0,0.0763637,0,1.26715,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.54325,3.02482,1.44271,11.9037,0.338707,0,0,0,-158.742
"MtrElec",1,1,11,"",-151.365,0,3.8873,0,0.146916,0,0.0763637,0,0.815342,6.31333,0,0,0,4.33448,22.5562,0.456986,6.46102,4.39771,5.02777,6.97994,0.324594,0,0,0,-213.143
"MtrElec",1,1,12,"",-132.405,0,3.2183,0,0.146916,0,0.0763637,0,0.673179,6.31333,0,0,0,4.12411,22.2214,0.304657,6.61281,6.16207,2.94812,0.0772521,0.388102,0,0,0,-185.671
"MtrElec",1,1,13,"",-126.666,0,2.51157,0,0.146916,0,0.0763637,0,0.524641,6.31333,0,0,0,4.41274,22.8472,0.228493,6.74441,6.21322,0.032629,1.02809,0.444553,0,0,0,-178.19
"MtrElec",1,1,14,"",-160.489,0,1.25437,0,0.146916,0,0.0763637,0,0.261109,6.31333,0,0,0,4.41274,23.4856,0.209452,6.822,0,0.434236,0.738049,0.416328,0,0,0,-205.06
"MtrElec",1,1,15,"",-86.6751,0,0.857084,0,0.146916,0,0.0763637,0,0.177987,6.31333,0,0,0,4.41274,24.5389,0.209452,6.7122,0,0.31173,1.34655,0.437497,0,0,0,-132.216
"MtrElec",1,1,16,"",-36.2376,0,0.773133,0,0.146916,0,0.0763637,0,0.16056,6.31333,0,0,0,4.93865,25.7089,0.228493,6.9405,0,0.568744,1.30337,0.479835,0,0,0,-83.8764
"MtrElec",1,1,17,"",40.9153,0,0.888963,0,0,0,0.0763637,0,0.184853,6.31333,0,0,0,5.46456,28.6239,0.361781,6.73388,0,0.550504,6.29167,0.642132,0,0,0,-15.2166
"MtrElec",1,1,18,"",62.6105,0,1.17699,0,0,0,0.0763637,0,0.245349,6.31333,0,0,0,6.74902,31.933,0.723561,7.17514,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.8067,0,1.55873,0,0,0,0.0763637,0,0.326178,6.31333,0,0,0,10.8458,34.0729,0.913972,7.80695,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",80.9505,0,1.10227,0,0,0,0.0763637,0,0.231817,6.31333,0,6.14185,0,14.2339,35.2642,1.14247,7.64173,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",74.7653,0,1.36127,0,0,0,0.0763637,0,0.287202,6.31333,0,6.14185,0,13.8131,36.4881,1.58041,7.41605,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",74.4706,0,1.38107,0,0,0,0.0763637,0,0.291446,6.31333,0,6.14185,0,12.025,36.1513,1.86603,7.10668,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",65.7382,0,2.98463,0,0,0,0.0763637,0,0.633117,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.45885,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",53.4249,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.60858,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",45.5633,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.81714,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",45.6334,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.67312,20.0694,0.87589,5.68734,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",43.2927,0,0.753563,0.334165,0,0,0.0763637,0,0.165885,6.31333,0,6.14185,0,2.25239,19.3206,0.87589,5.47462,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",44.9624,0,2.68877,1.19648,0,0,0.0763637,0,0.596287,6.31333,0,6.14185,0,2.46275,19.2101,0.87589,5.37237,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",47.0675,0,4.38138,1.88478,0,0,0.0763637,0,0.982067,6.31333,0,6.14185,0,2.88348,18.3211,0.87589,5.17904,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",204.954,0,69.3143,76.0595,0,0,0.0763637,0,16.555,6.31333,0,6.14185,0,4.44966,19.9323,0.70452,5.30837,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",116.88,0,39.1885,19.6999,0,0,0.0763637,0,8.88538,6.31333,0,6.14185,0,6.3584,23.3625,0.666438,6.05316,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",62.0927,0,37.0875,23.9418,0.146916,0,0.0763637,0,8.42017,6.31333,0,6.14185,0,8.42304,25.9428,0.647397,6.72108,0,0,0,0.17641,0,0,0,-61.9459
"MtrElec",1,2,9,"",-2.09248,0,16.8076,2.46085,0.146916,0,0.0763637,0,3.62077,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.49637,1.3606,0,1.75036,0.183466,0,0,0,-85.6068
"MtrElec",1,2,10,"",-63.1981,0,8.81371,0,0.146916,0,0.0763637,0,1.85485,6.31333,0,0,0,11.9498,25.8051,0.53315,5.94732,1.11435,0.739299,1.8495,0.155241,0,0,0,-128.497
"MtrElec",1,2,11,"",-100.466,0,5.37405,0,0.146916,0,0.0763637,0,1.12086,6.31333,0,0,0,11.7394,26.0582,0.418904,5.79831,0,0.781173,1.67248,0.148184,0,0,0,-160.114
"MtrElec",1,2,12,"",-118.763,0,2.75726,0,0.146916,0,0.0763637,0,0.572374,6.31333,0,0,0,11.529,26.0582,0.285616,5.8991,0,0.706407,1.78428,0.204636,0,0,0,-175.097
"MtrElec",1,2,13,"",-50.6402,0,2.27591,0,0.146916,0,0.0763637,0,0.471608,6.31333,0,0,0,11.1083,26.085,0.228493,6.14126,1.41802,0.753625,0,0.246974,0,0,0,-105.906
"MtrElec",1,2,14,"",32.814,0,1.31884,0,0,0,0.0763637,0,0.272559,6.31333,0,0,0,11.1083,26.5565,0.209452,6.00008,1.0564,0,7.93763,0.225805,0,0,0,-28.2613
"MtrElec",1,2,15,"",38.9237,0,1.13549,0,0,0,0.0763637,0,0.234653,6.31333,0,0,0,11.1083,27.3386,0.209452,6.14096,0,3.35262,0,0.239918,0,0,0,-17.226
"MtrElec",1,2,16,"",51.585,0,1.22517,0,0,0,0.0763637,0,0.253672,6.31333,0,0,0,11.6342,28.0067,0.228493,6.19079,0,0,0,0.366933,0,0,0,-2.71071
"MtrElec",1,2,17,"",57.1856,0,1.26575,0,0,0,0.0763637,0,0.26237,6.31333,0,0,0,12.1601,30.9818,0.361781,6.30998,0,0,0,0.811486,0,0,0,-1.35734
"MtrElec",1,2,18,"",62.5586,0,2.84135,0,0,0,0.0763637,0,0.59103,6.31333,0,0,0,10.3962,33.352,0.70452,6.92189,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",85.9333,0,4.48345,0,0,0,0.0763637,0,0.935385,6.31333,0,0,0,13.8616,35.1059,0.933013,7.5529,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",83.1327,0,5.14598,0,0,0,0.0763637,0,1.07542,6.31333,0,0,0,17.3326,36.7715,1.23767,7.62345,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",76.3432,0,5.69732,0,0,0,0.0763637,0,1.19121,6.31333,0,0,0,15.8555,37.9399,1.73274,7.24045,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",74.4625,0,5.59456,0,0,0,0.0763637,0,1.17258,6.31333,0,0,0,13.9016,37.4974,1.99931,6.88423,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",64.0554,0,7.06637,0,0,0,0.0763637,0,1.48438,6.31333,0,0,0,8.31665,32.1726,1.73274,6.43578,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",51.8617,0,5.24629,0,0,0,0.0763637,0,1.10294,6.31333,0,0,0,4.77676,27.193,1.19959,5.88288,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",40.9151,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.02966,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",36.0273,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.76397,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",34.4388,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.65211,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",34.4586,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.51186,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",33.7349,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.29746,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",60.289,0,19.6536,0,0,0,0.0763637,0,4.39324,6.31333,0,0,0,3.9353,19.7678,0.856849,5.25725,0,0,0,0.035282,0,0,0,0
