"",002
"Thu 04-Feb-21  11:12:01 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",99.469,0,30.8149,11.7669,0,0,0.0763637,0,8.99704,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",106.587,0,35.0891,15.3052,0,0,0.0763637,0,10.3658,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",107.56,0,36.3523,16.175,0,0,0.0763637,0,10.7514,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",111.793,0,38.5553,16.9924,0,0,0.0763637,0,11.4489,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",118.316,0,42.6471,18.0886,0,0,0.0763637,0,12.7881,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",120.779,0,41.4584,17.4877,0,0,0.0763637,0,12.3996,6.31333,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",118.45,0,36.4884,15.807,0,0,0.0763637,0,10.79,6.31333,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,1,8,"",147.388,0,52.0223,22.9737,0,0,0.0763637,0,15.1192,6.31333,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",106.7,0,40.9334,2.46546,0,0,0.0763637,0,11.3905,6.31333,0,6.14185,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,10,"",68.7288,0,21.1432,0,0,0,0.0763637,0,5.68715,6.31333,0,0,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,11,"",51.2059,0,7.10548,0,0,0,0.0763637,0,1.86859,6.31333,0,0,0,8.44497,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,12,"",45.0925,0,2.678,0,0,0,0.0763637,0,0.697493,6.31333,0,0,0,7.93012,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,13,"",43.4016,0,1.3513,0,0,0,0.0763637,0,0.350392,6.31333,0,0,0,7.60979,16.5717,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,14,"",42.7062,0,0.389133,0,0,0,0.0763637,0,0.100511,6.31333,0,0,0,7.60979,17.0329,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,15,"",43.6884,0,0.348688,0,0,0,0.0763637,0,0.0900688,6.31333,0,0,0,7.60979,17.9552,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,16,"",46.0512,0,0.382312,0,0,0,0.0763637,0,0.0989387,6.31333,0,0,0,8.8969,18.8775,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,17,"",51.0076,0,0.424496,0,0,0,0.0763637,0,0.110067,6.31333,0,0,0,10.184,22.1055,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,18,"",59.0585,0,0.621506,0,0,0,0.0763637,0,0.161759,6.31333,0,0,0,13.4476,26.1454,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,1,19,"",72.2788,0,1.06591,0,0,0,0.0763637,0,0.279049,6.31333,0,0,0,23.6339,28.3406,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,1,20,"",81.3602,0,0.638915,0,0,0,0.0763637,0,0.167768,6.31333,0,0,0,32.3034,29.18,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,21,"",86.5456,0,0.945103,0,0,0,0.0763637,0,0.248993,6.31333,0,0,0,31.0163,30.1023,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,1,22,"",81.4532,0,1.19553,0,0,0,0.0763637,0,0.315455,6.31333,0,0,0,26.6401,29.18,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,23,"",72.2991,0,5.88156,0,0,0,0.0763637,0,1.57178,6.31333,0,0,0,16.8923,24.2747,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,1,24,"",68.6088,0,6.00821,0,0,0,0.0763637,0,1.66452,6.31333,0,6.14185,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,2,1,"",62.6691,0,11.5687,0,0,0,0.0763637,0,3.21021,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,2,"",67.2834,0,16.8168,0,0,0,0.0763637,0,4.63926,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,3,"",66.6979,0,17.5859,0,0,0,0.0763637,0,4.83081,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,4,"",59.7644,0,16.587,0,0,0,0.0763637,0,4.52327,6.31333,0,0,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,5,"",59.9205,0,16.7209,0,0,0,0.0763637,0,4.54894,6.31333,0,0,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,6,"",189.519,0,74.3112,50.1145,0,0,0.0763637,0,21.1768,6.31333,0,0,0,9.16911,17.0068,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,2,7,"",102.601,0,40.3268,0,0,0,0.0763637,0,10.966,6.31333,0,0,0,12.7525,20.4831,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,2,8,"",111.335,0,44.1449,0,0,0,0.0763637,0,12.0247,6.31333,0,0,0,14.6649,22.3174,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,9,"",97.125,0,32.8887,0,0,0,0.0763637,0,8.83541,6.31333,0,0,0,16.6919,20.9134,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,10,"",92.3295,0,30.4731,0,0,0,0.0763637,0,8.21408,6.31333,0,0,0,16.3647,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,11,"",86.0218,0,25.5214,0,0,0,0.0763637,0,6.85632,6.31333,0,0,0,15.8499,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
