"",002
"Thu 04-Feb-21  11:17:09 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",56.1672,0,6.78366,3.24314,0,0,0.0763637,0,1.62141,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.96744,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",55.3981,0,7.74817,3.6664,0,0,0.0763637,0,1.87665,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.70171,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",57.265,0,9.77333,4.64574,0,0,0.0763637,0,2.33282,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.58452,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",63.9125,0,13.8397,6.23377,0,0,0.0763637,0,3.30703,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.44347,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",72.1939,0,19.4662,8.25065,0,0,0.0763637,0,4.67624,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22152,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",77.401,0,21.3919,8.52585,0,0,0.0763637,0,5.16415,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",81.4872,0,20.9758,8.0715,0,0,0.0763637,0,5.04333,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",117.414,0,38.0817,24.7671,0,0,0.0763637,0,8.97231,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-9.48072
"MtrElec",1,1,9,"",75.7987,0,29.4915,16.5966,0,0,0.0763637,0,6.78075,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-30.7933
"MtrElec",1,1,10,"",33.5928,0,15.4518,4.13281,0.106145,0,0.0763637,0,3.40838,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-52.2129
"MtrElec",1,1,11,"",-10.8928,0,7.18343,0,0.106145,0,0.0763637,0,1.52366,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38611,4.39771,5.02777,6.97994,0.324594,0,0,0,-82.7014
"MtrElec",1,1,12,"",-99.7818,0,3.67783,0,0.106145,0,0.0763637,0,0.770751,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49953,6.16207,2.94812,0.0772521,0.388102,0,0,0,-153.451
"MtrElec",1,1,13,"",-114.147,0,1.99313,0,0.106145,0,0.0763637,0,0.413729,6.31333,0,0,0,4.41274,22.8472,0.228493,6.61892,6.21322,0.032629,1.02809,0.444553,0,0,0,-164.876
"MtrElec",1,1,14,"",-86.2606,0,0.560969,0,0.106145,0,0.0763637,0,0.115962,6.31333,0,0,0,4.41274,23.4856,0.209452,6.71624,0,0.434236,0.738049,0.416328,0,0,0,-129.846
"MtrElec",1,1,15,"",-29.4223,0,0.410869,0,0.106145,0,0.0763637,0,0.0848409,6.31333,0,0,0,4.41274,24.5389,0.209452,6.61606,0,0.31173,1.34655,0.437497,0,0,0,-74.2868
"MtrElec",1,1,16,"",17.508,0,0.418683,0,0.106145,0,0.0763637,0,0.0865507,6.31333,0,0,0,4.93865,25.7089,0.228493,6.86773,0,0.568744,1.30337,0.479835,0,0,0,-29.5888
"MtrElec",1,1,17,"",52.9898,0,0.523764,0,0,0,0.0763637,0,0.108508,6.31333,0,0,0,5.46456,28.6239,0.361781,6.62372,0,0.550504,6.29167,0.642132,0,0,0,-2.59037
"MtrElec",1,1,18,"",62.0513,0,0.801627,0,0,0,0.0763637,0,0.166392,6.31333,0,0,0,6.74902,31.933,0.723561,7.07024,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.1484,0,1.07201,0,0,0,0.0763637,0,0.223118,6.31333,0,0,0,10.8458,34.0729,0.913972,7.7384,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",74.0011,0,0.495686,0,0,0,0.0763637,0,0.10324,6.31333,0,0,0,14.2339,35.2642,1.14247,7.56931,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.7996,0,0.744768,0,0,0,0.0763637,0,0.155667,6.31333,0,0,0,13.8131,36.4881,1.58041,7.34029,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",67.7033,0,0.920047,0,0,0,0.0763637,0,0.192672,6.31333,0,0,0,12.025,36.1513,1.86603,7.04098,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",65.267,0,2.66942,0,0,0,0.0763637,0,0.562765,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.37322,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",56.2777,0,2.3888,0,0,0,0.0763637,0,0.518273,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.55425,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",49.0664,0,2.94058,0,0,0,0.0763637,0,0.64135,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.73831,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",42.7475,0,2.72167,0,0,0,0.0763637,0,0.591058,6.31333,0,0,0,2.67312,20.0694,0.87589,5.63063,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",39.3627,0,2.88103,0,0,0,0.0763637,0,0.626131,6.31333,0,0,0,2.25239,19.3206,0.87589,5.43295,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",38.2552,0,3.23104,0,0,0,0.0763637,0,0.705476,6.31333,0,0,0,2.46275,19.2101,0.87589,5.35205,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",38.252,0,3.75647,0,0,0,0.0763637,0,0.826665,6.31333,0,0,0,2.88348,18.3211,0.87589,5.1704,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",145.275,0,52.7323,43.7411,0,0,0.0763637,0,11.9168,6.31333,0,0,0,4.44966,19.9323,0.70452,5.30974,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",75.9702,0,27.1372,0,0,0,0.0763637,0,5.8598,6.31333,0,0,0,6.3584,23.3625,0.666438,6.06208,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",85.3145,0,30.4096,0,0,0,0.0763637,0,6.59115,6.31333,0,0,0,8.42304,25.9428,0.647397,6.73438,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",83.1057,0,18.8502,0,0,0,0.0763637,0,4.03304,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.50796,1.3606,0,1.75036,0.183466,0,0,0,-0.267312
"MtrElec",1,2,10,"",76.0246,0,18.2924,0,0,0,0.0763637,0,3.93235,6.31333,0,6.14185,0,11.9498,25.8051,0.53315,5.94768,1.11435,0.739299,1.8495,0.155241,0,0,0,-6.82579
"MtrElec",1,2,11,"",65.2353,0,18.225,0,0,0,0.0763637,0,3.92885,6.31333,0,6.14185,0,11.7394,26.0582,0.418904,5.7743,0,0.781173,1.67248,0.148184,0,0,0,-16.0428
"MtrElec",1,2,12,"",63.9015,0,14.8603,0,0,0,0.0763637,0,3.19409,6.31333,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-13.1044
"MtrElec",1,2,13,"",39.996,0,12.6411,0,0,0,0.0763637,0,2.70012,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-27.6585
"MtrElec",1,2,14,"",34.147,0,8.20057,0,0,0,0.0763637,0,1.74105,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-35.201
"MtrElec",1,2,15,"",34.9765,0,6.22757,0,0,0,0.0763637,0,1.31569,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-27.2769
"MtrElec",1,2,16,"",54.9226,0,8.09466,0,0,0,0.0763637,0,1.71901,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10795,0,0,0,0.366933,0,0,0,-7.62508
"MtrElec",1,2,17,"",54.4476,0,5.80456,0,0,0,0.0763637,0,1.22654,6.31333,0,0,0,12.1601,30.9818,0.361781,6.20182,0,0,0,0.811486,0,0,0,-9.49012
"MtrElec",1,2,18,"",67.5097,0,7.01799,0,0,0,0.0763637,0,1.47861,6.31333,0,0,0,10.3962,33.352,0.70452,6.80873,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",88.9123,0,7.02662,0,0,0,0.0763637,0,1.47601,6.31333,0,0,0,13.8616,35.1059,0.933013,7.44807,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",85.6693,0,7.30921,0,0,0,0.0763637,0,1.53546,6.31333,0,0,0,17.3326,36.7715,1.23767,7.53671,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",78.8172,0,7.82143,0,0,0,0.0763637,0,1.6435,6.31333,0,0,0,15.8555,37.9399,1.73274,7.13804,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",76.8183,0,7.63393,0,0,0,0.0763637,0,1.60488,6.31333,0,0,0,13.9016,37.4974,1.99931,6.76837,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",66.9928,0,9.58518,0,0,0,0.0763637,0,2.0201,6.31333,0,0,0,8.31665,32.1726,1.73274,6.31858,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",55.6173,0,8.4473,0,0,0,0.0763637,0,1.79249,6.31333,0,0,0,4.77676,27.193,1.19959,5.74793,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",51.9356,0,4.07176,0,0,0,0.0763637,0,0.902128,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.93447,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",52.5365,0,7.60719,1.10365,0,0,0.0763637,0,1.73992,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.68057,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",64.9113,0,14.2075,6.88365,0,0,0.0763637,0,3.32275,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56886,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",69.3838,0,16.889,7.9996,0,0,0.0763637,0,3.97067,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",71.3534,0,18.4521,8.75562,0,0,0.0763637,0,4.34593,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",130.577,0,45.6293,31.9764,0,0,0.0763637,0,10.6518,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",99.3184,0,31.969,10.6882,0,0,0.0763637,0,7.16929,6.31333,0,6.14185,0,5.60667,22.2653,0.837808,5.28269,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",54.8739,0,33.9282,3.34915,0.106145,0,0.0763637,0,7.47322,6.31333,0,6.14185,0,6.15556,24.4078,0.780684,5.78884,0,1.22368,3.76025,0.190523,0,0,0,-44.8216
"MtrElec",1,3,9,"",-33.0111,0,16.5723,0,0.106145,0,0.0763637,0,3.52735,6.31333,0,6.14185,0,7.5917,23.5797,0.685479,6.72666,0,1.58822,3.92862,0.338707,0,0,0,-110.187
"MtrElec",1,3,10,"",-95.65,0,11.6395,0,0.106145,0,0.0763637,0,2.46148,6.31333,0,6.14185,0,7.47813,23.4713,0.571233,6.4909,0,1.65933,0.364414,0.338707,0,0,0,-162.763
"MtrElec",1,3,11,"",-137.174,0,9.16887,0,0.106145,0,0.0763637,0,1.9305,6.31333,0,0,0,7.43359,24.0007,0.456986,6.39593,1.87284,0.153917,2.45388,0.324594,0,0,0,-197.861
"MtrElec",1,3,12,"",-149.615,0,6.75977,0,0.106145,0,0.0763637,0,1.41728,6.31333,0,0,0,7.22323,23.6659,0.304657,6.51113,5.54949,1.03645,3.34254,0.388102,0,0,0,-212.31
