"",002
"Thu 04-Feb-21  11:36:23 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",50.3445,0,4.7873,0,0,0,0.0763637,0,1.05505,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.95059,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",48.3943,0,5.15578,0,0,0,0.0763637,0,1.14086,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.69245,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",47.3132,0,5.56189,0,0,0,0.0763637,0,1.23582,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.5869,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",48.256,0,6.32811,0,0,0,0.0763637,0,1.39288,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.44641,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",48.5528,0,7.1807,0,0,0,0.0763637,0,1.56797,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22485,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",41.9454,0,4.74289,0,0,0,0.0763637,0,1.02489,6.31333,0,0,0,3.9353,19.7678,0.856849,5.19267,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.5674,0,2.72655,0,0,0,0.0763637,0,0.585674,6.31333,0,0,0,5.09231,22.1548,0.837808,5.28319,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",76.4146,0,17.4844,0,0,0,0.0763637,0,3.85356,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.7922,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",73.8284,0,17.5064,0,0,0,0.0763637,0,3.81965,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72926,0,2.23681,3.41576,0.338707,0,0,0,-1.22327
"MtrElec",1,1,10,"",66.0467,0,12.0471,0,0,0,0.0763637,0,2.57502,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48844,3.02482,1.44271,11.9037,0.338707,0,0,0,-11.2824
"MtrElec",1,1,11,"",33.1115,0,8.12781,0,0,0,0.0763637,0,1.72356,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-39.7353
