16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-04 11:35:53"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2env\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.51237,0,1.85033,0,0.0223809,0,0.906753,1.75436,6.45223,0.256709,0,0,14.7551,0,0,0,0,0.246089,0,0,0.006564,0,0,0.252653,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,3.64551,0,1.85033,0,0.0223809,0,0.783447,1.67663,5.94853,0.256709,0,0,14.1835,0,0,0,0,0.129366,0,0,0.0052512,0,0,0.134617,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,3.79237,0,1.85033,0,0.0223809,0,0.660138,1.64363,5.64672,0.251128,0,0,13.8667,0,0,0,0,0.103417,0,0,0.0039384,0,0,0.107355,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,4.06297,0,1.85033,0,0.0223809,0,0.721791,1.60246,5.63198,0.251128,0,0,14.143,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,4.36416,0,1.85033,0,0.0223809,0,0.8451,1.53752,5.35381,0.256709,0,0,14.23,0,0,0,0,0.106669,0,0,0.0039384,0,0,0.110607,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,1.69044,0,1.85033,0,0.0223809,0,1.15337,1.53223,5.79361,0.251128,0,0,12.2935,0,0,0,0,0.855995,0,0,0.006564,0,0,0.862559,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,0.970757,0,1.85033,0,0.0223809,0,1.49247,1.98728,6.4932,0.245547,0,0,13.062,0,0,0,0,0.457262,0,0,0.013128,0,0,0.47039,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,8.05387,0,1.85033,0,0.0223809,0,1.64524,3.48219,7.11301,0.228805,0,0,22.3958,0,0,0,0,0.875263,0,0,0.160029,0,0,1.03529,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,8.05038,0,1.85033,0,0.0223809,0,1.43755,3.72818,6.70668,0.200902,-0.00353218,0,21.9929,0,0,0,0,1.28545,0,0,0.525414,0,0,1.81086,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,6.08557,0,1.85033,0,0.0223809,0,1.28342,6.79906,6.45569,0.167419,-0.0325777,0,22.6313,0,0,0,0,1.21903,0,0,0.361256,0,0,1.58029,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,4.68734,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.114735,0,21.2354,0,0,0,0,0.836426,0,0,1.09974,0,0,1.93616,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,5.22328,0,1.85033,0,0.0223809,0,1.20871,4.71026,6.51272,0.0892899,-0.0999642,0,19.517,0,0,0,0,0.971384,0,0,0.681648,0,0,1.65303,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,3.27763,0,1.85033,0,0.0223809,0,1.2933,4.19722,6.69613,0.0669675,-0.0330744,0,17.3709,0,0,0,0,0.665388,0,0,0.0894516,0,0,0.75484,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,2.51129,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-0.0295982,0,15.0156,0,0,0,0,0.397571,0,0,0.167222,0,0,0.564793,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
