"",002
"Tue 16-Feb-21   7:07:58 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",69.61,0,16.1742,5.29801,0,0,0.0763637,0,3.68536,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",56.6366,0,11.9596,0,0,0,0.0763637,0,2.611,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",55.64,0,12.4323,0,0,0,0.0763637,0,2.71445,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",57.7697,0,14.1363,0,0,0,0.0763637,0,3.10887,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",61.2267,0,16.7778,0.908639,0,0,0.0763637,0,3.74041,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",61.9746,0,15.4228,0.803432,0,0,0.0763637,0,3.42933,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",61.198,0,11.3213,0,0,0,0.0763637,0,2.48014,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",81.2058,0,24.1279,0,0,0,0.0763637,0,5.33878,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-3.33419
"MtrElec",1,1,9,"",60.2485,0,17.2623,0,0,0,0.0763637,0,3.72524,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-8.32027
"MtrElec",1,1,10,"",28.2653,0,8.61919,0,0.186713,0,0.0763637,0,1.81639,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-38.9217
"MtrElec",1,1,11,"",25.7958,0,6.13088,0,0.186713,0,0.0763637,0,1.28662,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38741,4.39771,5.02777,6.97994,0.324594,0,0,0,-38.6633
"MtrElec",1,1,12,"",13.0375,0,7.18506,0,0.186713,0,0.0763637,0,1.5128,6.31333,0,0,0,4.12411,22.2214,0.304657,6.50024,6.16207,2.94812,0.0772521,0.388102,0,0,0,-44.9627
