"",002
"Thu 04-Feb-21   5:35:49 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.2763,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.86661,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.8565,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.59318,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.2569,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.47016,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.2664,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.31965,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.5012,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.06376,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",35.9948,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.00988,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.8503,0,0,0,0,0,0.0763637,0,0.815461,6.31333,0,0,0,5.09231,22.1548,0.837808,5.06279,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",56.7936,0,0,0,0,0,0.0763637,0,8.04636,6.31333,0,0,0,5.61357,24.2696,0.780684,5.60468,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",51.2438,0,0,0,0,0,0.0763637,0,3.70169,6.31333,0,0,0,4.90493,22.8832,0.685479,6.7163,0,2.23681,3.41576,0.338707,0,0,0,-0.0287811
"MtrElec",1,1,10,"",58.7114,0,0,0,0,0,0.0763637,0,2.27609,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.129474
"MtrElec",1,1,11,"",58.0829,0,0,0,0.143133,0,0.0763637,0,1.45821,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.371969
"MtrElec",1,1,12,"",50.1186,0,0,0,0.143133,0,0.0763637,0,1.47734,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.611773
"MtrElec",1,1,13,"",49.2992,0,0,0,0.143133,0,0.0763637,0,1.48575,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.528552
"MtrElec",1,1,14,"",44.0554,0,0,0,0.143133,0,0.0763637,0,1.46295,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.316453
"MtrElec",1,1,15,"",45.2399,0,0,0,0.143133,0,0.0763637,0,1.30826,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.41629
"MtrElec",1,1,16,"",47.2537,0,0,0,0.143133,0,0.0763637,0,1.04715,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.366163
"MtrElec",1,1,17,"",55.5095,0,0,0,0.143133,0,0.0763637,0,0.690749,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.18505
"MtrElec",1,1,18,"",61.8123,0,0,0,0,0,0.0763637,0,0.812013,6.31333,0,0,0,6.74902,31.933,0.723561,6.98725,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.6206,0,0,0,0,0,0.0763637,0,0.827652,6.31333,0,0,0,10.8458,34.0729,0.913972,7.67812,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",74.0634,0,0,0,0,0,0.0763637,0,0.73457,6.31333,0,0,0,14.2339,35.2642,1.14247,7.49606,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.8558,0,0,0,0,0,0.0763637,0,1.04607,6.31333,0,0,0,13.8131,36.4881,1.58041,7.2508,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",68.0725,0,0,0,0,0,0.0763637,0,1.57566,6.31333,0,0,0,12.025,36.1513,1.86603,6.9473,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",58.1185,0,0,0,0,0,0.0763637,0,2.3515,6.31333,0,0,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.176,0,0,0,0,0,0.0763637,0,0.0163102,6.31333,0,0,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.2506,0,0,0,0,0,0.0763637,0,0.046173,6.31333,0,0,0,3.09384,21.9549,0.87589,5.60015,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.359,0,0,0,0,0,0.0763637,0,0.0913455,6.31333,0,0,0,2.67312,20.0694,0.87589,5.46348,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.7725,0,0,0,0,0,0.0763637,0,0.127333,6.31333,0,0,0,2.25239,19.3206,0.87589,5.2226,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.378,0,0,0,0,0,0.0763637,0,0.29687,6.31333,0,0,0,2.46275,19.2101,0.87589,5.11443,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",34.101,0,0,0,0,0,0.0763637,0,0.729863,6.31333,0,0,0,2.88348,18.3211,0.87589,4.87275,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",47.3865,0,0,0,0,0,0.0763637,0,10.8816,6.31333,0,0,0,4.44966,19.9323,0.70452,4.93002,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",51.6105,0,0,0,0,0,0.0763637,0,8.95954,6.31333,0,0,0,6.3584,23.3625,0.666438,5.7398,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",63.221,0,0,0,0,0,0.0763637,0,15.0775,6.31333,0,0,0,8.42304,25.9428,0.647397,6.56414,0,0,0,0.17641,0,0,0,0
