"",002
"Thu 04-Feb-21   5:59:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",51.1354,0,5.40236,0,0,0,0.0763637,0,1.22115,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.96035,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",49.1649,0,5.75246,0,0,0,0.0763637,0,1.30632,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.70088,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",47.22,0,5.46736,0,0,0,0.0763637,0,1.23444,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.58967,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",40.9738,0,5.36599,0,0,0,0.0763637,0,1.20891,6.31333,0,0,0,2.46275,19.2163,0.856849,5.4522,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",40.2517,0,5.38541,0,0,0,0.0763637,0,1.19882,6.31333,0,0,0,2.88348,18.2672,0.87589,5.22999,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",41.3702,0,4.25522,0,0,0,0.0763637,0,0.935539,6.31333,0,0,0,3.9353,19.7678,0.856849,5.19457,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",45.1434,0,3.1918,0,0,0,0.0763637,0,0.696141,6.31333,0,0,0,5.09231,22.1548,0.837808,5.28344,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",67.9689,0,15.6007,0,0,0,0.0763637,0,3.43449,6.31333,0,0,0,5.61357,24.2696,0.780684,5.79113,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",64.1592,0,13.6273,0,0,0,0.0763637,0,2.94908,6.31333,0,0,0,4.90493,22.8832,0.685479,6.7282,0,2.23681,3.41576,0.338707,0,0,0,0
"MtrElec",1,1,10,"",64.6349,0,8.65569,0,0,0,0.0763637,0,1.83193,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48846,3.02482,1.44271,11.9037,0.338707,0,0,0,-2.41789
