"",002
"Thu 04-Feb-21   6:14:24 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",52.7416,0,4.73269,2.285,0,0,0.0763637,0,1.1067,6.31333,0,6.14185,0,3.09384,22.015,0.87589,6.06568,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",51.7828,0,5.55835,2.71486,0,0,0.0763637,0,1.31685,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.78759,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",51.6755,0,6.41309,3.12308,0,0,0.0763637,0,1.54061,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.6701,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",52.9271,0,7.13102,3.45287,0,0,0.0763637,0,1.73371,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.52089,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",53.6662,0,8.0148,3.79786,0,0,0.0763637,0,1.97895,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.29529,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",56.0947,0,8.02446,3.71446,0,0,0.0763637,0,1.98255,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.2465,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",59.3674,0,6.97766,3.25952,0,0,0.0763637,0,1.69383,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.32254,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",93.7227,0,22.5854,19.215,0,0,0.0763637,0,5.28873,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.81311,0,0.602657,5.29585,0.190523,0,0,0,-8.46395
"MtrElec",1,1,9,"",35.3258,0,16.24,4.42641,0,0,0.0763637,0,3.59411,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.73712,0,2.23681,3.41576,0.338707,0,0,0,-42.6683
"MtrElec",1,1,10,"",-15.0941,0,6.2583,0,0,0,0.0763637,0,1.31946,6.31333,0,0,0,4.37902,22.0268,0.571233,6.50141,3.02482,1.44271,11.9037,0.338707,0,0,0,-79.25
"MtrElec",1,1,11,"",-56.4071,0,3.59868,0,0,0,0.0763637,0,0.74924,6.31333,0,0,0,4.33448,22.5562,0.456986,6.41141,4.39771,5.02777,6.97994,0.324594,0,0,0,-117.634
"MtrElec",1,1,12,"",-92.7384,0,2.29967,0,0,0,0.0763637,0,0.474696,6.31333,0,0,0,4.12411,22.2214,0.304657,6.55555,6.16207,2.94812,0.0772521,0.388102,0,0,0,-144.684
"MtrElec",1,1,13,"",-109.915,0,1.19297,0,0,0,0.0763637,0,0.244811,6.31333,0,0,0,4.41274,22.8472,0.228493,6.70278,6.21322,0.032629,1.02809,0.444553,0,0,0,-159.652
"MtrElec",1,1,14,"",-111.672,0,0.387884,0,0,0,0.0763637,0,0.0793758,6.31333,0,0,0,4.41274,23.4856,0.209452,6.8106,0,0.434236,0.738049,0.416328,0,0,0,-155.036
"MtrElec",1,1,15,"",-60.6857,0,0.343942,0,0,0,0.0763637,0,0.0703762,6.31333,0,0,0,4.41274,24.5389,0.209452,6.72165,0,0.31173,1.34655,0.437497,0,0,0,-105.468
"MtrElec",1,1,16,"",-14.7083,0,0.355931,0,0,0,0.0763637,0,0.0729648,6.31333,0,0,0,4.93865,25.7089,0.228493,6.95273,0,0.568744,1.30337,0.479835,0,0,0,-61.7076
"MtrElec",1,1,17,"",47.746,0,0.474624,0,0,0,0.0763637,0,0.097911,6.31333,0,0,0,5.46456,28.6239,0.361781,6.75558,0,0.550504,6.29167,0.642132,0,0,0,-7.90633
"MtrElec",1,1,18,"",62.2673,0,0.880594,0,0,0,0.0763637,0,0.182817,6.31333,0,0,0,6.74902,31.933,0.723561,7.19085,0,2.65741,4.57947,0.980839,0,0,0,0
