"",002
"Tue 16-Feb-21   4:39:22 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",51.9831,0,6.38702,0,0,0,0.0763637,0,1.11491,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.92959,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",51.4459,0,7.98523,0,0,0,0.0763637,0,1.38262,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.67289,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",52.9884,0,10.6663,0,0,0,0.0763637,0,1.82717,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56635,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",54.4833,0,11.9234,0,0,0,0.0763637,0,2.03541,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",53.8729,0,12.0279,0,0,0,0.0763637,0,2.0452,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",55.1783,0,10.9962,0,0,0,0.0763637,0,1.86303,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",58.2697,0,9.30342,0,0,0,0.0763637,0,1.56975,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",84.1292,0,24.8016,0,0,0,0.0763637,0,4.25429,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",84.2426,0,26.1128,0,0,0,0.0763637,0,4.4302,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-0.0235272
"MtrElec",1,1,10,"",86.8381,0,20.6991,0,0,0,0.0763637,0,3.46761,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0351776
