"",002
"Tue 16-Feb-21   4:50:53 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",44.6371,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,3.09384,22.015,0.87589,6.08552,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",42.2108,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.80562,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",40.606,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.67742,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",40.6192,0,0,0,0,0,0.0763637,0,0,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.53063,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",40.8987,0,0.649632,0.256712,0,0,0.0763637,0,0.112402,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.30065,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",46.1956,0,2.42538,0.984259,0,0,0.0763637,0,0.418909,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.24031,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",50.1099,0,1.67595,0.723548,0,0,0.0763637,0,0.287311,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.30925,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",81.5152,0,17.0621,15.1095,0,0,0.0763637,0,3.07436,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.80348,0,0.602657,5.29585,0.190523,0,0,0,-8.81861
"MtrElec",1,1,9,"",-14.3737,0,12.482,6.58705,0,0,0.0763637,0,2.16832,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.73267,0,2.23681,3.41576,0.338707,0,0,0,-89.3401
"MtrElec",1,1,10,"",-88.9101,0,6.11396,0,0,0,0.0763637,0,1.00573,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.49635,3.02482,1.44271,11.9037,0.338707,0,0,0,-158.745
"MtrElec",1,1,11,"",-151.594,0,4.01515,0,0,0,0.0763637,0,0.654356,6.31333,0,0,0,4.33448,22.5562,0.456986,6.41573,4.39771,5.02777,6.97994,0.324594,0,0,0,-213.147
"MtrElec",1,1,12,"",-132.658,0,3.29782,0,0,0,0.0763637,0,0.536087,6.31333,0,0,0,4.12411,22.2214,0.304657,6.56752,6.16207,2.94812,0.0772521,0.388102,0,0,0,-185.675
"MtrElec",1,1,13,"",-126.91,0,2.56904,0,0,0,0.0763637,0,0.417103,6.31333,0,0,0,4.41274,22.8472,0.228493,6.7005,6.21322,0.032629,1.02809,0.444553,0,0,0,-178.193
