"",002
"Tue 16-Feb-21   7:22:25 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",129.456,0,49.1523,17.6069,0,0,0.0763637,0,14.8062,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",136.753,0,55.2294,18.8772,0,0,0.0763637,0,16.8189,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",133.573,0,53.5812,19.482,0,0,0.0763637,0,16.2282,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",137.574,0,55.8387,19.9545,0,0,0.0763637,0,16.9851,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",147.553,0,62.9299,20.4034,0,0,0.0763637,0,19.4272,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",152.922,0,63.8933,19.8975,0,0,0.0763637,0,19.6983,6.31333,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",147.981,0,56.4879,19.0181,0,0,0.0763637,0,17.1106,6.31333,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,1,8,"",196.653,0,76.6961,39.7467,0,0,0.0763637,0,22.937,6.31333,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",159.227,0,60.8779,28.6489,0,0,0.0763637,0,17.7899,6.31333,0,6.14185,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,10,"",105.168,0,40.6052,5.19343,0,0,0.0763637,0,11.3293,6.31333,0,6.14185,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,11,"",67.4194,0,19.86,0,0,0,0.0763637,0,5.32766,6.31333,0,0,0,8.44497,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,12,"",55.5887,0,10.9751,0,0,0,0.0763637,0,2.89658,6.31333,0,0,0,7.93012,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,13,"",45.8127,0,3.26096,0,0,0,0.0763637,0,0.851781,6.31333,0,0,0,7.60979,16.5717,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,14,"",43.1831,0,0.766921,0,0,0,0.0763637,0,0.199652,6.31333,0,0,0,7.60979,17.0329,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,15,"",43.9369,0,0.545469,0,0,0,0.0763637,0,0.1418,6.31333,0,0,0,7.60979,17.9552,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,16,"",46.2454,0,0.536081,0,0,0,0.0763637,0,0.139437,6.31333,0,0,0,8.8969,18.8775,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,17,"",51.4167,0,0.748705,0,0,0,0.0763637,0,0.195007,6.31333,0,0,0,10.184,22.1055,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,18,"",60.5148,0,1.77512,0,0,0,0.0763637,0,0.46446,6.31333,0,0,0,13.4476,26.1454,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,1,19,"",74.0671,0,2.48187,0,0,0,0.0763637,0,0.651363,6.31333,0,0,0,23.6339,28.3406,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,1,20,"",83.0011,0,1.93729,0,0,0,0.0763637,0,0.510216,6.31333,0,0,0,32.3034,29.18,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,21,"",89.9761,0,3.65366,0,0,0,0.0763637,0,0.970873,6.31333,0,0,0,31.0163,30.1023,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,1,22,"",95.5355,0,7.44013,0,0,0,0.0763637,0,2.01131,6.31333,0,6.14185,0,26.6401,29.18,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,23,"",96.7845,0,20.2581,0,0,0,0.0763637,0,5.53873,6.31333,0,6.14185,0,16.8923,24.2747,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,1,24,"",98.4076,0,26.7313,3.21283,0,0,0.0763637,0,7.52738,6.31333,0,6.14185,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,2,1,"",104.403,0,32.4711,14.6167,0,0,0.0763637,0,9.42452,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,2,"",110.754,0,37.5446,16.3909,0,0,0.0763637,0,10.9908,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,3,"",116.228,0,42.0699,17.4646,0,0,0.0763637,0,12.4121,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,4,"",112.618,0,39.3624,16.9218,0,0,0.0763637,0,11.5375,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,5,"",108.136,0,36.3296,16.4462,0,0,0.0763637,0,10.5673,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,6,"",315.62,0,115.067,115.938,0,0,0.0763637,0,34.5564,6.31333,0,6.14185,0,9.16911,17.0068,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,2,7,"",151.776,0,68.7024,6.44615,0,0,0.0763637,0,19.1771,6.31333,0,6.14185,0,12.7525,20.4831,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,2,8,"",154.36,0,70.7128,2.63091,0,0,0.0763637,0,19.7083,6.31333,0,6.14185,0,14.6649,22.3174,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,9,"",122.686,0,48.0417,0,0,0,0.0763637,0,13.1012,6.31333,0,6.14185,0,16.6919,20.9134,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,10,"",97.9692,0,34.8995,0,0,0,0.0763637,0,9.42732,6.31333,0,0,0,16.3647,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,11,"",87.3515,0,26.5846,0,0,0,0.0763637,0,7.12276,6.31333,0,0,0,15.8499,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,12,"",84.9909,0,25.1149,0,0,0,0.0763637,0,6.74667,6.31333,0,0,0,15.335,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,13,"",95.9023,0,30.0365,0,0,0,0.0763637,0,8.14087,6.31333,0,6.14185,0,14.3054,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,14,"",100.456,0,33.1599,0,0,0,0.0763637,0,9.05422,6.31333,0,6.14185,0,14.3054,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,15,"",101.039,0,32.802,0,0,0,0.0763637,0,8.96192,6.31333,0,6.14185,0,14.3054,21.1427,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,16,"",100.359,0,30.4643,0,0,0,0.0763637,0,8.30004,6.31333,0,6.14185,0,15.5925,22.065,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,17,"",100.114,0,26.4498,0,0,0,0.0763637,0,7.16596,6.31333,0,6.14185,0,16.8796,25.293,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,18,"",105.284,0,27.9188,0,0,0,0.0763637,0,7.55051,6.31333,0,6.14185,0,17.0948,27.8957,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,2,19,"",115.527,0,27.1436,0,0,0,0.0763637,0,7.31524,6.31333,0,6.14185,0,26.6498,29.3171,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,2,20,"",120.107,0,23.0646,0,0,0,0.0763637,0,6.18928,6.31333,0,6.14185,0,35.4021,30.2394,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,2,21,"",120.411,0,20.5871,0,0,0,0.0763637,0,5.50481,6.31333,0,6.14185,0,33.0587,30.8853,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,2,22,"",106.696,0,19.1469,0,0,0,0.0763637,0,5.1136,6.31333,0,0,0,28.5167,29.7972,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,2,23,"",98.1214,0,25.0327,0,0,0,0.0763637,0,6.71158,6.31333,0,0,0,17.9078,24.7906,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,2,24,"",87.487,0,25.7451,0,0,0,0.0763637,0,6.94775,6.31333,0,0,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,3,1,"",65.0575,0,18.325,0,0,0,0.0763637,0,4.98411,6.31333,0,0,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,3,2,"",66.7517,0,21.2538,0,0,0,0.0763637,0,5.81238,6.31333,0,0,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,3,3,"",78.0719,0,26.4669,0,0,0,0.0763637,0,7.32386,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,3,4,"",83.467,0,30.2218,0,0,0,0.0763637,0,8.44929,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,3,5,"",107.356,0,37.5209,14.0876,0,0,0.0763637,0,10.9547,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,3,6,"",181.338,0,73.4268,36.7954,0,0,0.0763637,0,21.683,6.31333,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,3,7,"",153.069,0,56.4852,24.3544,0,0,0.0763637,0,16.24,6.31333,0,6.14185,0,12.0008,19.7737,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,3,8,"",164.952,0,60.2853,29.363,0,0,0.0763637,0,17.3505,6.31333,0,6.14185,0,12.3974,21.2304,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,3,9,"",94.2253,0,27.4886,3.97119,0,0,0.0763637,0,7.47206,6.31333,0,6.14185,0,12.7679,18.5882,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,3,10,"",63.507,0,13.4843,0,0,0,0.0763637,0,3.58066,6.31333,0,0,0,11.8931,17.0305,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,3,11,"",58.7564,0,9.4787,0,0,0,0.0763637,0,2.50225,6.31333,0,0,0,11.5441,17.6575,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,3,12,"",55.5316,0,7.33809,0,0,0,0.0763637,0,1.93289,6.31333,0,0,0,11.0292,17.6575,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,3,13,"",51.4258,0,6.98632,0,0,0,0.0763637,0,1.83791,6.31333,0,0,0,8.42846,16.6546,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,3,14,"",50.7435,0,6.03934,0,0,0,0.0763637,0,1.58606,6.31333,0,0,0,8.42846,17.1158,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,3,15,"",50.632,0,5.13455,0,0,0,0.0763637,0,1.34617,6.31333,0,0,0,8.42846,18.0381,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,3,16,"",52.8002,0,5.01384,0,0,0,0.0763637,0,1.31484,6.31333,0,0,0,9.71557,18.9604,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,3,17,"",59.0975,0,6.11501,0,0,0,0.0763637,0,1.60784,6.31333,0,0,0,11.0027,22.1885,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,3,18,"",68.7854,0,8.43707,0,0,0,0.0763637,0,2.2279,6.31333,0,0,0,13.3205,26.1177,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,3,19,"",90.9561,0,11.2428,0,0,0,0.0763637,0,2.98581,6.31333,0,6.14185,0,23.4239,28.2024,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,3,20,"",92.4983,0,4.90432,0,0,0,0.0763637,0,1.30211,6.31333,0,6.14185,0,32.0657,29.0142,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,3,21,"",99.1888,0,6.39359,0,0,0,0.0763637,0,1.7053,6.31333,0,6.14185,0,30.7786,29.9365,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,3,22,"",99.6743,0,10.3355,1.0509,0,0,0.0763637,0,2.82841,6.31333,0,6.14185,0,26.2919,28.9036,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,3,23,"",97.5127,0,14.4242,6.18137,0,0,0.0763637,0,4.13042,6.31333,0,6.14185,0,17.7693,25.1867,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,3,24,"",88.2183,0,15.8829,6.74436,0,0,0.0763637,0,4.65493,6.31333,0,6.14185,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,4,1,"",96.6114,0,28.6201,11.7246,0,0,0.0763637,0,8.37641,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,4,2,"",104.044,0,34.1309,14.0542,0,0,0.0763637,0,10.0319,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,4,3,"",112.41,0,40.2394,15.9424,0,0,0.0763637,0,11.9474,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,4,4,"",123.479,0,46.9836,17.5884,0,0,0.0763637,0,14.1109,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,4,5,"",132.478,0,52.7158,18.9814,0,0,0.0763637,0,15.9884,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,4,6,"",142.15,0,56.6408,18.7796,0,0,0.0763637,0,17.2962,6.31333,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,4,7,"",151.818,0,59.8041,18.3325,0,0,0.0763637,0,18.3175,6.31333,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,4,8,"",182.244,0,69.3231,34.9833,0,0,0.0763637,0,20.6646,6.31333,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
