"",002
"Tue 16-Feb-21   7:22:27 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",74.8298,0,18.6366,7.26934,0,0,0.0763637,0,4.461,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.9113,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",81.7772,0,24.5906,9.20071,0,0,0.0763637,0,5.91931,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66141,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",80.9756,0,24.7347,9.83287,0,0,0.0763637,0,5.91478,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",84.2925,0,26.8335,10.4877,0,0,0.0763637,0,6.44665,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",90.6753,0,31.7946,11.306,0,0,0.0763637,0,7.77502,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",93.518,0,32.2925,11.0249,0,0,0.0763637,0,7.88154,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",90.7702,0,27.0075,9.92015,0,0,0.0763637,0,6.44595,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",120.447,0,42.6776,26.5431,0,0,0.0763637,0,10.0026,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-13.8496
"MtrElec",1,1,9,"",63.5753,0,31.3535,17.0805,0.192601,0,0.0763637,0,7.1732,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-45.9477
"MtrElec",1,1,10,"",28.2832,0,15.1175,2.30231,0.192601,0,0.0763637,0,3.28715,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-55.323
"MtrElec",1,1,11,"",-57.2183,0,5.14425,0,0.192601,0,0.0763637,0,1.08302,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38611,4.39771,5.02777,6.97994,0.324594,0,0,0,-120.492
"MtrElec",1,1,12,"",-46.5907,0,3.24156,0,0.192601,0,0.0763637,0,0.676071,6.31333,0,0,0,4.12411,22.2214,0.304657,6.50353,6.16207,2.94812,0.0772521,0.388102,0,0,0,-99.8198
"MtrElec",1,1,13,"",-93.6873,0,1.93122,0,0.192601,0,0.0763637,0,0.400388,6.31333,0,0,0,4.41274,22.8472,0.228493,6.62604,6.21322,0.032629,1.02809,0.444553,0,0,0,-144.434
"MtrElec",1,1,14,"",-90.8116,0,0.618917,0,0.192601,0,0.0763637,0,0.127829,6.31333,0,0,0,4.41274,23.4856,0.209452,6.71675,0,0.434236,0.738049,0.416328,0,0,0,-134.554
"MtrElec",1,1,15,"",-35.2679,0,0.429364,0,0.192601,0,0.0763637,0,0.0885218,6.31333,0,0,0,4.41274,24.5389,0.209452,6.61378,0,0.31173,1.34655,0.437497,0,0,0,-80.2387
"MtrElec",1,1,16,"",23.6858,0,0.420244,0,0,0,0.0763637,0,0.0866948,6.31333,0,0,0,4.93865,25.7089,0.228493,6.86576,0,0.568744,1.30337,0.479835,0,0,0,-23.3046
"MtrElec",1,1,17,"",52.6031,0,0.488423,0,0,0,0.0763637,0,0.10095,6.31333,0,0,0,5.46456,28.6239,0.361781,6.62004,0,0.550504,6.29167,0.642132,0,0,0,-2.93048
"MtrElec",1,1,18,"",62.0451,0,0.798856,0,0,0,0.0763637,0,0.165627,6.31333,0,0,0,6.74902,31.933,0.723561,7.06758,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.2196,0,1.13207,0,0,0,0.0763637,0,0.235553,6.31333,0,0,0,10.8458,34.0729,0.913972,7.73716,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",74.0518,0,0.539875,0,0,0,0.0763637,0,0.112607,6.31333,0,0,0,14.2339,35.2642,1.14247,7.56652,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.9208,0,0.848776,0,0,0,0.0763637,0,0.177649,6.31333,0,0,0,13.8131,36.4881,1.58041,7.33544,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",74.3237,0,1.32027,0,0,0,0.0763637,0,0.277803,6.31333,0,6.14185,0,12.025,36.1513,1.86603,7.03422,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",68.2221,0,5.11175,0,0,0,0.0763637,0,1.09291,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.35585,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",59.7801,0,4.72175,0.643816,0,0,0.0763637,0,1.05964,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.53853,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",55.9464,0,6.04988,3.02593,0,0,0.0763637,0,1.40884,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.71564,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",57.3229,0,6.84039,3.3234,0,0,0.0763637,0,1.60948,6.31333,0,6.14185,0,2.67312,20.0694,0.87589,5.60362,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",64.0092,0,13.0769,5.92643,0,0,0.0763637,0,3.04581,6.31333,0,6.14185,0,2.25239,19.3206,0.87589,5.39567,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",64.9127,0,14.4005,6.76137,0,0,0.0763637,0,3.32841,6.31333,0,6.14185,0,2.46275,19.2101,0.87589,5.31381,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",64.2082,0,14.1752,7.00618,0,0,0.0763637,0,3.25066,6.31333,0,6.14185,0,2.88348,18.3211,0.87589,5.13591,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",225.942,0,75.8352,89.22,0,0,0.0763637,0,17.8894,6.31333,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",104.28,0,41.2915,4.80132,0,0,0.0763637,0,9.09177,6.31333,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",98.6169,0,43.9006,1.81001,0,0,0.0763637,0,9.65203,6.31333,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,-11.1834
"MtrElec",1,2,9,"",85.7161,0,26.4485,0,0,0,0.0763637,0,5.67495,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-6.87865
"MtrElec",1,2,10,"",50.571,0,17.3777,0,0,0,0.0763637,0,3.69301,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-24.9706
"MtrElec",1,2,11,"",35.7427,0,12.4803,0,0,0,0.0763637,0,2.63831,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-32.3569
"MtrElec",1,2,12,"",47.2072,0,11.4203,0,0,0,0.0763637,0,2.41897,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-19.4418
"MtrElec",1,2,13,"",59.4772,0,14.9194,0,0,0,0.0763637,0,3.18662,6.31333,0,6.14185,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-17.084
"MtrElec",1,2,14,"",70.9919,0,15.5093,0,0,0,0.0763637,0,3.32842,6.31333,0,6.14185,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-13.3941
"MtrElec",1,2,15,"",70.4278,0,14.3702,0,0,0,0.0763637,0,3.07924,6.31333,0,6.14185,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-7.87358
"MtrElec",1,2,16,"",74.1739,0,15.5484,0,0,0,0.0763637,0,3.3413,6.31333,0,6.14185,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-3.59075
"MtrElec",1,2,17,"",77.2176,0,11.6779,0,0,0,0.0763637,0,2.49138,6.31333,0,6.14185,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,0
"MtrElec",1,2,18,"",78.8595,0,11.3013,0,0,0,0.0763637,0,2.40582,6.31333,0,6.14185,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",100.261,0,11.3194,0,0,0,0.0763637,0,2.39867,6.31333,0,6.14185,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",97.0984,0,11.6713,0,0,0,0.0763637,0,2.47414,6.31333,0,6.14185,0,17.3326,36.7715,1.23767,7.52321,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",89.4499,0,11.535,0,0,0,0.0763637,0,2.44178,6.31333,0,6.14185,0,15.8555,37.9399,1.73274,7.11696,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",79.7433,0,10.062,0,0,0,0.0763637,0,2.12694,6.31333,0,0,0,13.9016,37.4974,1.99931,6.74319,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",69.9252,0,12.0151,0,0,0,0.0763637,0,2.54779,6.31333,0,0,0,8.31665,32.1726,1.73274,6.29343,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",57.7853,0,10.2516,0,0,0,0.0763637,0,2.18764,6.31333,0,0,0,4.77676,27.193,1.19959,5.71644,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",45.5972,0,3.9435,0,0,0,0.0763637,0,0.85774,6.31333,0,0,0,3.09384,22.015,0.87589,5.91058,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",44.5652,0,7.10312,0,0,0,0.0763637,0,1.53638,6.31333,0,0,0,2.67312,20.2964,0.87589,5.66231,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",53.4886,0,10.6649,0,0,0,0.0763637,0,2.3304,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",57.0605,0,13.5429,0,0,0,0.0763637,0,2.99303,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",70.3234,0,18.5553,7.67773,0,0,0.0763637,0,4.29061,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",125.109,0,45.9294,26.1624,0,0,0.0763637,0,10.6979,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",105.431,0,32.823,15.6851,0,0,0.0763637,0,7.4314,6.31333,0,6.14185,0,5.60667,22.2653,0.837808,5.28269,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",73.6631,0,37.5475,20.2446,0.192601,0,0.0763637,0,8.53458,6.31333,0,6.14185,0,6.15556,24.4078,0.780684,5.78884,0,1.22368,3.76025,0.190523,0,0,0,-47.6951
"MtrElec",1,3,9,"",-30.2653,0,17.2842,2.54292,0.192601,0,0.0763637,0,3.71961,6.31333,0,6.14185,0,7.5917,23.5797,0.685479,6.72667,0,1.58822,3.92862,0.338707,0,0,0,-110.975
"MtrElec",1,3,10,"",-102.788,0,10.2214,0,0.192601,0,0.0763637,0,2.15484,6.31333,0,0,0,7.47813,23.4713,0.571233,6.49205,0,1.65933,0.364414,0.338707,0,0,0,-162.122
"MtrElec",1,3,11,"",-139.218,0,7.55624,0,0.192601,0,0.0763637,0,1.58372,6.31333,0,0,0,7.43359,24.0007,0.456986,6.40408,1.87284,0.153917,2.45388,0.324594,0,0,0,-198.041
"MtrElec",1,3,12,"",-152.491,0,5.86965,0,0.192601,0,0.0763637,0,1.22735,6.31333,0,0,0,7.22323,23.6659,0.304657,6.53253,5.54949,1.03645,3.34254,0.388102,0,0,0,-214.213
"MtrElec",1,3,13,"",-160.98,0,5.58627,0,0.192601,0,0.0763637,0,1.16632,6.31333,0,0,0,5.23141,22.9301,0.228493,6.66252,0,1.41179,1.19283,0.444553,0,0,0,-212.417
"MtrElec",1,3,14,"",-140.434,0,4.8603,0,0.192601,0,0.0763637,0,1.01286,6.31333,0,0,0,5.23141,23.5685,0.209452,6.75364,0,0.503817,2.35037,0.416328,0,0,0,-191.923
"MtrElec",1,3,15,"",-98.405,0,4.17511,0,0.192601,0,0.0763637,0,0.86846,6.31333,0,0,0,5.23141,24.6219,0.209452,6.64987,0,0.992727,2.33895,0.437497,0,0,0,-150.513
"MtrElec",1,3,16,"",-38.6989,0,4.09142,0,0.192601,0,0.0763637,0,0.851271,6.31333,0,0,0,5.75733,25.7918,0.228493,6.89882,0,0.987901,3.36318,0.479835,0,0,0,-93.7312
"MtrElec",1,3,17,"",28.475,0,4.86111,0,0.192601,0,0.0763637,0,1.01434,6.31333,0,0,0,6.28324,28.7068,0.361781,6.68815,0,1.42051,0.472187,0.642132,0,0,0,-28.5575
"MtrElec",1,3,18,"",62.7258,0,6.52298,0,0,0,0.0763637,0,1.3672,6.31333,0,0,0,6.62189,31.9054,0.723561,7.13267,0,0.199438,0.882206,0.980839,0,0,0,0
"MtrElec",1,3,19,"",77.9186,0,8.62646,0,0,0,0.0763637,0,1.81906,6.31333,0,6.14185,0,10.6357,33.9347,0.913972,7.76532,0,0.372617,0.408911,0.910275,0,0,0,0
"MtrElec",1,3,20,"",80.2947,0,2.875,0,0,0,0.0763637,0,0.606039,6.31333,0,6.14185,0,13.9962,35.0984,1.14247,7.58015,4.94912,0.172712,0.835025,0.508061,0,0,0,0
"MtrElec",1,3,21,"",82.7959,0,2.97013,0,0,0,0.0763637,0,0.626558,6.31333,0,6.14185,0,13.5754,36.3223,1.58041,7.34091,6.4822,0.352689,0.787964,0.225805,0,0,0,0
"MtrElec",1,3,22,"",81.319,0,4.54092,0.584134,0,0,0.0763637,0,0.975162,6.31333,0,6.14185,0,11.6768,35.8749,1.86603,7.04359,3.41592,0.332812,2.37838,0.0987896,0,0,0,0
"MtrElec",1,3,23,"",75.454,0,7.99641,3.71699,0,0,0.0763637,0,1.79396,6.31333,0,6.14185,0,8.17815,32.1773,1.61849,6.37305,0,1.00456,0,0.0635076,0,0,0,0
"MtrElec",1,3,24,"",62.3401,0,6.2251,2.91964,0,0,0.0763637,0,1.45457,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.55161,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,1,"",60.0619,0,7.68954,3.54942,0,0,0.0763637,0,1.82981,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.96591,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,4,2,"",56.1932,0,8.26692,3.84092,0,0,0.0763637,0,1.98041,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.69971,0,0,0,0.0282256,0,0,0,0
