"",002
"Tue 16-Feb-21   7:08:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",49.977,0,5.44727,0,0,0,0.0763637,0,1.2052,5.14616,0,6.14185,0,3.09384,22.015,0.87589,5.94018,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",48.0053,0,5.79717,0,0,0,0.0763637,0,1.28753,5.14616,0,6.14185,0,2.67312,20.2964,0.87589,5.68259,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",48.1055,0,7.1772,0,0,0,0.0763637,0,1.58999,5.14616,0,6.14185,0,2.25239,19.2666,0.856849,5.57686,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",50.5912,0,9.21476,0,0,0,0.0763637,0,2.01774,5.14616,0,6.14185,0,2.46275,19.2163,0.856849,5.43728,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",50.7214,0,9.92569,0,0,0,0.0763637,0,2.16312,5.14616,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",43.0758,0,6.63557,0,0,0,0.0763637,0,1.43014,5.14616,0,0,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.383,0,3.53623,0,0,0,0.0763637,0,0.759282,5.14616,0,0,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",77.3242,0,19.1952,0,0,0,0.0763637,0,4.22296,5.14616,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",75.4648,0,19.8126,0,0,0,0.0763637,0,4.31959,5.14616,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-1.22326
"MtrElec",1,1,10,"",67.1951,0,13.9493,0,0,0,0.0763637,0,2.98862,5.14616,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-11.2823
"MtrElec",1,1,11,"",33.6821,0,9.55691,0,0,0,0.0763637,0,2.03173,5.14616,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-39.7347
"MtrElec",1,1,12,"",33.309,0,11.4146,0,0,0,0.0763637,0,2.42863,5.14616,0,6.14185,0,4.12411,22.2214,0.304657,6.4952,6.16207,2.94812,0.0772521,0.388102,0,0,0,-34.6194
"MtrElec",1,1,13,"",48.5304,0,10.6853,0,0,0,0.0763637,0,2.26766,5.14616,0,0,0,4.41274,22.8472,0.228493,6.6023,6.21322,0.032629,1.02809,0.444553,0,0,0,-11.4542
"MtrElec",1,1,14,"",41.4896,0,8.36862,0,0,0,0.0763637,0,1.7728,5.14616,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-10.2504
"MtrElec",1,1,15,"",45.7895,0,10.7548,0,0,0,0.0763637,0,2.30089,5.14616,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-10.3038
"MtrElec",1,1,16,"",62.3016,0,14.5816,0,0,0,0.0763637,0,3.15638,5.14616,0,6.14185,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-6.8407
"MtrElec",1,1,17,"",73.9391,0,13.3359,0,0,0,0.0763637,0,2.88664,5.14616,0,6.14185,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-2.11886
"MtrElec",1,1,18,"",78.133,0,10.0011,0,0,0,0.0763637,0,2.15944,5.14616,0,6.14185,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",80.2145,0,9.42352,0,0,0,0.0763637,0,2.0281,5.14616,0,6.14185,0,10.8458,34.0729,0.913972,7.6733,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",84.4926,0,5.10304,0,0,0,0.0763637,0,1.09271,5.14616,0,6.14185,0,14.2339,35.2642,1.14247,7.48932,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",78.3872,0,5.44354,0,0,0,0.0763637,0,1.16645,5.14616,0,6.14185,0,13.8131,36.4881,1.58041,7.24368,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",79.4384,0,6.55589,0,0,0,0.0763637,0,1.41089,5.14616,0,6.14185,0,12.025,36.1513,1.86603,6.94732,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",73.1805,0,10.2243,0,0,0,0.0763637,0,2.21002,5.14616,0,6.14185,0,7.30113,31.2653,1.61849,6.25169,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",63.6685,0,9.46764,0,0,0,0.0763637,0,2.06449,5.14616,0,6.14185,0,4.77676,26.7221,1.12342,6.48716,0,0.745052,0.882172,0.035282,0,0,0,0
