"",002
"Tue 16-Feb-21   7:16:18 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.2281,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.81835,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.8042,0,0,0,0,0,0.0763637,0,0.0407824,6.31333,0,0,0,2.67312,20.2964,0.87589,5.50005,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.5955,0,0,0,0,0,0.0763637,0,0.463636,6.31333,0,0,0,2.25239,19.2666,0.856849,5.34511,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.9832,0,0,0,0,0,0.0763637,0,0.850637,6.31333,0,0,0,2.46275,19.2163,0.856849,5.1858,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.444,0,0,0,0,0,0.0763637,0,1.10109,6.31333,0,0,0,2.88348,18.2672,0.87589,4.9055,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.0956,0,0,0,0,0,0.0763637,0,1.27811,6.31333,0,0,0,3.9353,19.7678,0.856849,4.83254,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",49.9749,0,0,0,0,0,0.0763637,0,9.1702,6.31333,0,0,0,5.09231,22.1548,0.837808,4.83274,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",64.18,0,0,0,0,0,0.0763637,0,15.4916,6.31333,0,0,0,5.61357,24.2696,0.780684,5.54586,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",57.5954,0,0,0,0,0,0.0763637,0,10.0993,6.31333,0,0,0,4.90493,22.8832,0.685479,6.69175,0,2.23681,3.41576,0.338707,0,0,0,-0.0501547
"MtrElec",1,1,10,"",64.2225,0,0,0,0,0,0.0763637,0,7.84015,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.18242
"MtrElec",1,1,11,"",63.3776,0,0,0,0,0,0.0763637,0,6.71485,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.190714
"MtrElec",1,1,12,"",55.3915,0,0,0,0,0,0.0763637,0,6.54481,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.26322
"MtrElec",1,1,13,"",54.2747,0,0,0,0,0,0.0763637,0,6.38508,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.309218
"MtrElec",1,1,14,"",48.4484,0,0,0,0,0,0.0763637,0,6.07639,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.393685
"MtrElec",1,1,15,"",49.6907,0,0,0,0,0,0.0763637,0,5.84907,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.363119
"MtrElec",1,1,16,"",52.142,0,0,0,0,0,0.0763637,0,5.81477,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.102408
"MtrElec",1,1,17,"",60.4013,0,0,0,0,0,0.0763637,0,5.54195,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.00135759
"MtrElec",1,1,18,"",66.1442,0,0,0,0,0,0.0763637,0,5.14647,6.31333,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",68.7807,0,0,0,0,0,0.0763637,0,4.99265,6.31333,0,0,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",77.8801,0,0,0,0,0,0.0763637,0,4.55926,6.31333,0,0,0,14.2339,35.2642,1.14247,7.48804,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",71.5627,0,0,0,0,0,0.0763637,0,4.76302,6.31333,0,0,0,13.8131,36.4881,1.58041,7.24075,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",71.3553,0,0,0,0,0,0.0763637,0,4.86145,6.31333,0,0,0,12.025,36.1513,1.86603,6.94429,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",61.1229,0,0,0,0,0,0.0763637,0,5.35594,6.31333,0,0,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.6592,0,0,0,0,0,0.0763637,0,0.499535,6.31333,0,0,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.7211,0,0,0,0,0,0.0763637,0,0.568265,6.31333,0,0,0,3.09384,21.9549,0.87589,5.54853,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.9846,0,0,0,0,0,0.0763637,0,0.800177,6.31333,0,0,0,2.67312,20.0694,0.87589,5.38024,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",36.9007,0,0,0,0,0,0.0763637,0,1.35001,6.31333,0,0,0,2.25239,19.3206,0.87589,5.12808,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",35.754,0,0,0,0,0,0.0763637,0,1.76199,6.31333,0,0,0,2.46275,19.2101,0.87589,5.02534,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",35.5269,0,0,0,0,0,0.0763637,0,2.24841,6.31333,0,0,0,2.88348,18.3211,0.87589,4.78008,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",51.1915,0,0,0,0,0,0.0763637,0,14.7987,6.31333,0,0,0,4.44966,19.9323,0.70452,4.81789,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",56.9936,0,0,0,0,0,0.0763637,0,14.4259,6.31333,0,0,0,6.3584,23.3625,0.666438,5.65652,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",67.0137,0,0,0,0,0,0.0763637,0,18.8835,6.31333,0,0,0,8.42304,25.9428,0.647397,6.55084,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",65.9513,0,0,0,0,0,0.0763637,0,11.8408,6.31333,0,0,0,11.5157,26.0117,0.628356,6.44849,1.3606,0,1.75036,0.183466,0,0,0,-0.177949
"MtrElec",1,2,10,"",63.8074,0,0,0,0,0,0.0763637,0,9.71851,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.382092
"MtrElec",1,2,11,"",61.6896,0,0,0,0,0,0.0763637,0,8.85157,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-0.142985
"MtrElec",1,2,12,"",60.6652,0,0,0,0,0,0.0763637,0,8.02322,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-0.167659
"MtrElec",1,2,13,"",59.6695,0,0,0,0,0,0.0763637,0,7.52688,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-0.170711
"MtrElec",1,2,14,"",65.9992,0,0,0,0,0,0.0763637,0,6.77857,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-0.185742
"MtrElec",1,2,15,"",61.0206,0,0,0,0,0,0.0763637,0,6.44081,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-0.130329
"MtrElec",1,2,16,"",59.54,0,0,0,0,0,0.0763637,0,6.81455,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-0.00759705
"MtrElec",1,2,17,"",63.4737,0,0,0,0,0,0.0763637,0,6.56712,6.31333,0,0,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,0
"MtrElec",1,2,18,"",65.2505,0,0,0,0,0,0.0763637,0,6.23997,6.31333,0,0,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",86.0692,0,0,0,0,0,0.0763637,0,5.66805,6.31333,0,0,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",82.4259,0,0,0,0,0,0.0763637,0,5.62105,6.31333,0,0,0,17.3326,36.7715,1.23767,7.51696,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",75.1027,0,0,0,0,0,0.0763637,0,5.7866,6.31333,0,0,0,15.8555,37.9399,1.73274,7.10192,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",73.3132,0,0,0,0,0,0.0763637,0,5.779,6.31333,0,0,0,13.9016,37.4974,1.99931,6.72304,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",61.8027,0,0,0,0,0,0.0763637,0,6.46415,6.31333,0,0,0,8.31665,32.1726,1.73274,6.26967,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",46.9046,0,0,0,0,0,0.0763637,0,1.58374,6.31333,0,0,0,4.77676,27.193,1.19959,5.69122,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",40.6883,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.80295,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",36.3537,0,0,0,0,0,0.0763637,0,0.615811,6.31333,0,0,0,2.67312,20.2964,0.87589,5.47449,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",35.2858,0,0,0,0,0,0.0763637,0,1.17246,6.31333,0,0,0,2.25239,19.2666,0.856849,5.32662,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",35.6686,0,0,0,0,0,0.0763637,0,1.55738,6.31333,0,0,0,2.46275,19.2163,0.856849,5.16454,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",35.666,0,0,0,0,0,0.0763637,0,2.35123,6.31333,0,0,0,2.88348,18.2672,0.87589,4.8773,0,0,0,0.0211692,0,0,0,0
