"",002
"Tue 16-Feb-21   6:38:24 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",52.3617,0,6.4336,0,0,0,0.0763637,0,1.44897,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.92753,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",52.2131,0,8.28765,0,0,0,0.0763637,0,1.84898,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.6713,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",53.7067,0,10.8207,0,0,0,0.0763637,0,2.39216,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56532,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",55.2049,0,12.0288,0,0,0,0.0763637,0,2.65157,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",54.4181,0,11.987,0,0,0,0.0763637,0,2.63131,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",55.9102,0,11.1501,0,0,0,0.0763637,0,2.44105,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",59.1465,0,9.64601,0,0,0,0.0763637,0,2.10393,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",85.8648,0,25.2195,0,0,0,0.0763637,0,5.57198,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",82.2575,0,25.1262,0,0,0,0.0763637,0,5.49166,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-2.08343
"MtrElec",1,1,10,"",83.6373,0,19.7723,0,0,0,0.0763637,0,4.27353,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-3.11512
"MtrElec",1,1,11,"",72.438,0,16.0579,0,0,0,0.0763637,0,3.45149,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-10.0668
"MtrElec",1,1,12,"",60.4479,0,17.6339,0,0,0,0.0763637,0,3.81141,6.31333,0,6.14185,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-16.2492
"MtrElec",1,1,13,"",47.534,0,15.6451,0,0,0,0.0763637,0,3.37721,6.31333,0,6.14185,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-25.829
"MtrElec",1,1,14,"",13.0819,0,13.1675,0,0.238122,0,0.0763637,0,2.84077,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-45.9302
"MtrElec",1,1,15,"",31.8954,0,12.7147,0,0.238122,0,0.0763637,0,2.74306,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-28.0053
"MtrElec",1,1,16,"",42.0137,0,10.996,0,0,0,0.0763637,0,2.36265,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-17.7745
"MtrElec",1,1,17,"",61.5648,0,7.6839,0,0,0,0.0763637,0,1.6442,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-2.62402
"MtrElec",1,1,18,"",68.0138,0,5.78041,0,0,0,0.0763637,0,1.23566,6.31333,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",77.4955,0,6.22759,0,0,0,0.0763637,0,1.3347,6.31333,0,6.14185,0,10.8458,34.0729,0.913972,7.67645,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",85.1961,0,4.71434,0,0,0,0.0763637,0,1.01122,6.31333,0,6.14185,0,14.2339,35.2642,1.14247,7.49592,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",79.7367,0,5.57737,0,0,0,0.0763637,0,1.2059,6.31333,0,6.14185,0,13.8131,36.4881,1.58041,7.2527,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",81.3555,0,7.14486,0,0,0,0.0763637,0,1.56357,6.31333,0,6.14185,0,12.025,36.1513,1.86603,6.95561,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",77.4355,0,12.7138,0,0,0,0.0763637,0,2.8032,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.25691,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",71.9608,0,13.7177,1.83643,0,0,0.0763637,0,3.10281,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.48752,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",75.5428,0,17.4169,8.67871,0,0,0.0763637,0,4.04376,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.65731,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",78.4829,0,19.2207,9.25981,0,0,0.0763637,0,4.48154,6.31333,0,6.14185,0,2.67312,20.0694,0.87589,5.57481,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",78.9062,0,21.6339,10.2512,0,0,0.0763637,0,5.07126,6.31333,0,6.14185,0,2.25239,19.3206,0.87589,5.38537,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",79.7851,0,23.1065,10.8206,0,0,0.0763637,0,5.43564,6.31333,0,6.14185,0,2.46275,19.2101,0.87589,5.31379,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",82.5266,0,25.2991,11.4603,0,0,0.0763637,0,5.99105,6.31333,0,6.14185,0,2.88348,18.3211,0.87589,5.13591,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",265.31,0,97.8201,101.389,0,0,0.0763637,0,23.1037,6.31333,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",145.52,0,56.4248,27.1058,0,0,0.0763637,0,12.894,6.31333,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",160.588,0,60.9276,31.253,0,0,0.0763637,0,13.9699,6.31333,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",126.021,0,41.7435,18.8608,0,0,0.0763637,0,9.46103,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-4.51569
"MtrElec",1,2,10,"",101.878,0,34.3457,16.3019,0,0,0.0763637,0,7.76496,6.31333,0,6.14185,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-17.1478
"MtrElec",1,2,11,"",95.1857,0,30.3982,14.9464,0,0,0.0763637,0,6.86908,6.31333,0,6.14185,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-16.1509
"MtrElec",1,2,12,"",83.5113,0,28.2622,0,0,0,0.0763637,0,6.21423,6.31333,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-9.91672
"MtrElec",1,2,13,"",21.3656,0,22.5579,0,0.238122,0,0.0763637,0,4.89972,6.31333,0,6.14185,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-64.7852
"MtrElec",1,2,14,"",41.2341,0,16.8305,0,0.238122,0,0.0763637,0,3.62359,6.31333,0,6.14185,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-45.0064
"MtrElec",1,2,15,"",48.8559,0,14.506,0,0.238122,0,0.0763637,0,3.11292,6.31333,0,6.14185,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-29.8532
"MtrElec",1,2,16,"",20.4048,0,13.1868,0,0.238122,0,0.0763637,0,2.82772,6.31333,0,6.14185,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-54.7227
"MtrElec",1,2,17,"",75.761,0,15.4921,0,0,0,0.0763637,0,3.34144,6.31333,0,6.14185,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-6.12097
"MtrElec",1,2,18,"",85.8468,0,17.0232,0,0,0,0.0763637,0,3.67121,6.31333,0,6.14185,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",108.777,0,16.8527,1.73304,0,0,0.0763637,0,3.64835,6.31333,0,6.14185,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",119.584,0,21.8946,9.83929,0,0,0.0763637,0,4.90127,6.31333,0,6.14185,0,17.3326,36.7715,1.23767,7.51897,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",123.086,0,28.8878,12.2157,0,0,0.0763637,0,6.52296,6.31333,0,6.14185,0,15.8555,37.9399,1.73274,7.1036,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",125.503,0,31.7385,12.8522,0,0,0.0763637,0,7.2359,6.31333,0,6.14185,0,13.9016,37.4974,1.99931,6.72304,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",128.225,0,41.5413,15.5903,0,0,0.0763637,0,9.61295,6.31333,0,6.14185,0,8.31665,32.1726,1.73274,6.26967,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",122.25,0,44.5787,15.619,0,0,0.0763637,0,10.5897,6.31333,0,6.14185,0,4.77676,27.193,1.19959,5.69122,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",102.862,0,34.2257,13.2386,0,0,0.0763637,0,8.46959,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",110.655,0,38.2245,20.8564,0,0,0.0763637,0,9.50843,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",114.403,0,39.9877,23.947,0,0,0.0763637,0,9.97452,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",114.494,0,40.4976,23.3871,0,0,0.0763637,0,10.0849,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",122.183,0,43.9382,27.5035,0,0,0.0763637,0,10.9418,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",230.243,0,98.0929,66.1559,0,0,0.0763637,0,23.6755,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",186.927,0,80.7708,37.398,0,0,0.0763637,0,19.2663,6.31333,0,6.14185,0,5.60667,22.2653,0.837808,5.28269,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",197.834,0,92.3208,43.5537,0,0,0.0763637,0,21.9555,6.31333,0,6.14185,0,6.15556,24.4078,0.780684,5.78884,0,1.22368,3.76025,0.190523,0,0,0,-14.8346
"MtrElec",1,3,9,"",53.0637,0,56.1675,17.1847,0.238122,0,0.0763637,0,13.0212,6.31333,0,6.14185,0,7.5917,23.5797,0.685479,6.72665,0,1.58822,3.92862,0.338707,0,0,0,-90.5183
"MtrElec",1,3,10,"",-34.1315,0,36.0653,13.9472,0.238122,0,0.0763637,0,8.15009,6.31333,0,6.14185,0,7.47813,23.4713,0.571233,6.48804,0,1.65933,0.364414,0.338707,0,0,0,-145.435
"MtrElec",1,3,11,"",-85.0838,0,23.277,10.1708,0.238122,0,0.0763637,0,5.17342,6.31333,0,6.14185,0,7.43359,24.0007,0.456986,6.38609,1.87284,0.153917,2.45388,0.324594,0,0,0,-179.557
"MtrElec",1,3,12,"",-115.962,0,16.3394,0,0.238122,0,0.0763637,0,3.50398,6.31333,0,6.14185,0,7.22323,23.6659,0.304657,6.49455,5.54949,1.03645,3.34254,0.388102,0,0,0,-196.58
"MtrElec",1,3,13,"",-126.027,0,14.6456,0,0.238122,0,0.0763637,0,3.125,6.31333,0,6.14185,0,5.23141,22.9301,0.228493,6.60481,0,1.41179,1.19283,0.444553,0,0,0,-194.612
"MtrElec",1,3,14,"",-106.588,0,13.004,0,0.238122,0,0.0763637,0,2.76404,6.31333,0,6.14185,0,5.23141,23.5685,0.209452,6.68434,0,0.503817,2.35037,0.416328,0,0,0,-174.09
"MtrElec",1,3,15,"",-67.0104,0,11.8957,0,0.238122,0,0.0763637,0,2.52104,6.31333,0,6.14185,0,5.23141,24.6219,0.209452,6.56641,0,0.992727,2.33895,0.437497,0,0,0,-134.595
"MtrElec",1,3,16,"",-8.91037,0,11.4213,0,0.238122,0,0.0763637,0,2.41811,6.31333,0,6.14185,0,5.75733,25.7918,0.228493,6.82418,0,0.987901,3.36318,0.479835,0,0,0,-78.9521
"MtrElec",1,3,17,"",50.6639,0,13.3502,0,0.238122,0,0.0763637,0,2.84261,6.31333,0,6.14185,0,6.28324,28.7068,0.361781,6.56512,0,1.42051,0.472187,0.642132,0,0,0,-22.7503
"MtrElec",1,3,18,"",85.5311,0,18.0254,2.71654,0,0,0.0763637,0,3.93119,6.31333,0,6.14185,0,6.62189,31.9054,0.723561,7.01314,0,0.199438,0.882206,0.980839,0,0,0,0
"MtrElec",1,3,19,"",104.747,0,22.4809,9.8116,0,0,0.0763637,0,5.06132,6.31333,0,6.14185,0,10.6357,33.9347,0.913972,7.68583,0,0.372617,0.408911,0.910275,0,0,0,0
"MtrElec",1,3,20,"",102.825,0,16.0374,6.33062,0,0,0.0763637,0,3.72907,6.31333,0,6.14185,0,13.9962,35.0984,1.14247,7.49484,4.94912,0.172712,0.835025,0.508061,0,0,0,0
"MtrElec",1,3,21,"",110.381,0,19.4292,7.32783,0,0,0.0763637,0,4.52426,6.31333,0,6.14185,0,13.5754,36.3223,1.58041,7.24144,6.4822,0.352689,0.787964,0.225805,0,0,0,0
"MtrElec",1,3,22,"",115.263,0,25.2672,8.92372,0,0,0.0763637,0,5.95301,6.31333,0,6.14185,0,11.6768,35.8749,1.86603,6.94429,3.41592,0.332812,2.37838,0.0987896,0,0,0,0
"MtrElec",1,3,23,"",112.941,0,32.4876,10.8278,0,0,0.0763637,0,7.80453,6.31333,0,6.14185,0,8.17815,32.1773,1.61849,6.24726,0,1.00456,0,0.0635076,0,0,0,0
"MtrElec",1,3,24,"",103.919,0,32.6643,11.5025,0,0,0.0763637,0,8.07788,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.48515,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,1,"",112.867,0,36.7607,20.035,0,0,0.0763637,0,9.14317,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.90091,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,4,2,"",118.441,0,40.4104,25.8636,0,0,0.0763637,0,10.1009,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,4,3,"",121.779,0,40.9045,27.2158,0,0,0.0763637,0,10.233,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,2.93223,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,4,"",126.605,0,43.66,29.4896,0,0,0.0763637,0,10.9124,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,2.01875,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,5,"",128.354,0,46.4838,30.4899,0,0,0.0763637,0,11.5806,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,6,"",132.117,0,47.854,30.0763,0,0,0.0763637,0,11.8675,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,7,"",138.066,0,49.0639,29.7988,0,0,0.0763637,0,12.1293,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.10431,0.070564,0,0,0,0
"MtrElec",1,4,8,"",172.346,0,72.4752,43.3321,0,0,0.0763637,0,17.6488,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,2.31831,0.466428,1.95186,0.190523,0,0,0,-15.0212
"MtrElec",1,4,9,"",110.164,0,59.9188,25.8993,0.238122,0,0.0763637,0,14.3995,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,2.63279,0.824407,1.35481,0.338707,0,0,0,-43.1746
"MtrElec",1,4,10,"",4.84434,0,38.7659,13.7752,0.238122,0,0.0763637,0,9.07442,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,0,0.57223,3.33459,0.338707,0,0,0,-107.252
"MtrElec",1,4,11,"",-86.8411,0,22.4403,9.33367,0.238122,0,0.0763637,0,5.10124,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,0,1.40843,3.63303,0.324594,0,0,0,-175.586
"MtrElec",1,4,12,"",-113.046,0,13.5835,4.51181,0.238122,0,0.0763637,0,3.01025,6.31333,0,6.14185,0,4.12411,22.2214,0.304657,6.49455,2.31838,1.53448,2.24647,0.388102,0,0,0,-186.553
"MtrElec",1,4,13,"",-118.562,0,8.43716,0,0.238122,0,0.0763637,0,1.80939,6.31333,0,6.14185,0,4.41274,22.8472,0.228493,6.60229,2.63314,0.948843,2.25336,0.444553,0,0,0,-181.949
"MtrElec",1,4,14,"",-87.7381,0,6.67257,0,0.238122,0,0.0763637,0,1.42965,6.31333,0,6.14185,0,4.41274,23.4856,0.209452,6.68025,0,0.951753,0,0.416328,0,0,0,-144.766
"MtrElec",1,4,15,"",-65.127,0,5.40276,0,0.238122,0,0.0763637,0,1.14982,6.31333,0,6.14185,0,4.41274,24.5389,0.209452,6.56173,0,0,2.33895,0.437497,0,0,0,-122.949
"MtrElec",1,4,16,"",-0.821625,0,5.98415,0,0.238122,0,0.0763637,0,1.27954,6.31333,0,6.14185,0,4.93865,25.7089,0.228493,6.81878,0,0.987901,1.59922,0.479835,0,0,0,-61.6167
"MtrElec",1,4,17,"",50.9767,0,8.43898,0,0,0,0.0763637,0,1.83211,6.31333,0,6.14185,0,5.46456,28.6239,0.361781,6.54865,0,0.675462,0.472187,0.642132,0,0,0,-14.6145
