16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-02-16 18:47:18"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat19-win\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,8.91219,0,1.85033,0,0.0223809,0,0.906753,1.7398,6.45223,0.256709,0,0,20.1404,0,0,0,0,0.251554,0,0,0.006564,0,0,0.258118,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,5.96825,0,1.85033,0,0.0223809,0,0.783447,1.66738,5.94853,0.256709,0,0,16.497,0,0,0,0,0.130207,0,0,0.0052512,0,0,0.135458,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,6.23332,0,1.85033,0,0.0223809,0,0.660138,1.63712,5.64672,0.251128,0,0,16.3011,0,0,0,0,0.103506,0,0,0.0039384,0,0,0.107444,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,7.00492,0,1.85033,0,0.0223809,0,0.721791,1.5994,5.63198,0.251128,0,0,17.0819,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,8.28574,0,1.85033,0,0.0223809,0,0.8451,1.53625,5.35381,0.256709,0,0,18.1503,0,0,0,0,0.106848,0,0,0.0039384,0,0,0.110786,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,7.78841,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,18.3913,0,0,0,0,0.886639,0,0,0.006564,0,0,0.893203,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,6.0946,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,18.1857,0,0,0,0,0.468725,0,0,0.013128,0,0,0.481853,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,10.476,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,-0.0119259,0,24.805,0,0,0,0,0.89902,0,0,0.160029,0,0,1.05905,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,6.19736,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.0297603,0,20.1129,0,0,0,0,1.32553,0,0,0.525414,0,0,1.85094,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,3.00859,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-0.139217,0,19.4475,0,0,0,0,1.25308,0,0,0.361256,0,0,1.61434,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,2.05312,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.138292,0,18.5776,0,0,0,0,0.858426,0,0,1.09974,0,0,1.95816,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,2.43832,0,1.85033,0,0.0223809,0,1.20871,4.71057,6.51272,0.0892899,-0.160824,0,16.6715,0,0,0,0,1.00278,0,0,0.681648,0,0,1.68443,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,2.43623,0,1.85033,0,0.0223809,0,1.2933,4.19748,6.69613,0.0669675,-0.263489,0,16.2993,0,0,0,0,0.684288,0,0,0.0894516,0,0,0.77374,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,2.76898,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-0.232831,0,15.0701,0,0,0,0,0.407723,0,0,0.167222,0,0,0.574945,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
