climate,:climate_zone,:weather_station,:exterior_wall_cons,:exterior_wall_cons_2,:ceiling_below_attic_cons
cz01,ClimateZone1,CTZ01S22A,17.85,0,32.3
cz02,ClimateZone2,CTZ02S22A,17.85,0,32.3
cz03,ClimateZone3,CTZ03S22A,17.85,0,25.5
cz04,ClimateZone4,CTZ04S22A,17.85,0,32.3
cz05,ClimateZone5,CTZ05S22A,17.85,0,25.5
cz06,ClimateZone6,CTZ06S22A,17.85,0,25.5
cz07,ClimateZone7,CTZ07S22A,17.85,0,25.5
cz08,ClimateZone8,CTZ08S22A,17.85,0,32.3
cz09,ClimateZone9,CTZ09S22A,17.85,0,32.3
cz10,ClimateZone10,CTZ10S22A,17.85,0,32.3
cz11,ClimateZone11,CTZ11S22A,17.85,0,32.3
cz12,ClimateZone12,CTZ12S22A,17.85,0,32.3
cz13,ClimateZone13,CTZ13S22A,17.85,0,32.3
cz14,ClimateZone14,CTZ14S22A,17.85,0,32.3
cz15,ClimateZone15,CTZ15S22A,17.85,0,32.3
cz16,ClimateZone16,CTZ16S22A,17.85,0,32.3
