Index,Zone_Name,Count,ThermalZone_Name,Vent_Name
1,ZnSys F10 1-Bed N,2,Thermal Zone: F10 1-Bed N,Bal F10 1-Bed N
2,ZnSys F2-9 1-Bed N,16,Thermal Zone: F2-9 1-Bed N,Bal F2-9 1-Bed N
3,ZnSys F10 1-Bed SE,2,Thermal Zone: F10 1-Bed SE,Bal F10 1-Bed SE
4,ZnSys F10 1-Bed SW,2,Thermal Zone: F10 1-Bed SW,Bal F10 1-Bed SW
5,ZnSys F10 2-Bed N Core,1,Thermal Zone: F10 2-Bed N Core,Bal F10 2-Bed N Core
6,ZnSys F10 2-Bed NE,1,Thermal Zone: F10 2-Bed NE,Bal F10 2-Bed NE
7,ZnSys F10 2-Bed NW,1,Thermal Zone: F10 2-Bed NW,Bal F10 2-Bed NW
8,ZnSys F10 2-Bed SE,1,Thermal Zone: F10 2-Bed SE,Bal F10 2-Bed SE
9,ZnSys F10 2-Bed SW,1,Thermal Zone: F10 2-Bed SW,Bal F10 2-Bed SW
10,ZnSys F10 Studio N,2,Thermal Zone: F10 Studio N,Bal F10 Studio N
11,ZnSys F2-9 1-Bed SE,16,Thermal Zone: F2-9 1-Bed SE,Bal F2-9 1-Bed SE
12,ZnSys F2-9 1-Bed SW,16,Thermal Zone: F2-9 1-Bed SW,Bal F2-9 1-Bed SW
13,ZnSys F2-9 2-Bed N Core,8,Thermal Zone: F2-9 2-Bed N Core,Bal F2-9 2-Bed N Core
14,ZnSys F2-9 2-Bed NE,8,Thermal Zone: F2-9 2-Bed NE,Bal F2-9 2-Bed NE
15,ZnSys F2-9 2-Bed NW,8,Thermal Zone: F2-9 2-Bed NW,Bal F2-9 2-Bed NW
16,ZnSys F2-9 2-Bed SE,8,Thermal Zone: F2-9 2-Bed SE,Bal F2-9 2-Bed SE
17,ZnSys F2-9 2-Bed SW,8,Thermal Zone: F2-9 2-Bed SW,Bal F2-9 2-Bed SW
18,ZnSys F2-9 Studio N,16,Thermal Zone: F2-9 Studio N,Bal F2-9 Studio N
19,ZnSys F2-9 Laundry,8,Thermal Zone: F2-9 Laundry,Bal F2-9 Laundry
20,ZnSys F10 Laundry,1,Thermal Zone: F10 Laundry,Bal F10 Laundry
21,ZnSys F2-9 Corridor,8,Thermal Zone: F2-9 Corridor,Bal F2-9 Corridor
22,ZnSys F10 Corridor,1,Thermal Zone: F10 Corridor,Bal F10 Corridor
